N	2gram	Tiupa_Hudo_1	Marksizm
1	может быть	14	28
2	и пр	1	25
3	и в	19	19
4	как бы	9	19
5	и не	15	19
6	не может	7	18
7	точки зрения	10	17
8	то же	10	16
9	и его	12	16
10	как мы	1	15
11	в этом	11	15
12	в сущности	1	14
13	таким образом	3	14
14	лишь в	4	14
15	не только	16	13
16	с точки	3	13
17	связи с	1	13
18	речи и	3	13
19	в нем	5	11
20	высказывания и	2	11
21	если бы	3	11
22	вовсе не	2	11
23	не в	7	10
24	так и	11	10
25	и т.п	4	10
26	но и	10	10
27	в пределах	3	10
28	том что	8	10
29	при этом	13	9
30	как и	2	9
31	для него	4	9
32	в основе	4	9
33	а не	9	9
34	на почве	3	9
35	с его	6	8
36	по отношению	9	8
37	высказывание в	1	8
38	в то	6	8
39	же время	5	8
40	только в	5	8
41	слова в	2	8
42	отнюдь не	2	8
43	не является	4	8
44	отношению к	9	8
45	внутренней речи	14	7
46	его в	2	7
47	высказывания как	1	7
48	и более	2	7
49	высказывания в	4	7
50	одна из	2	7
51	никогда не	2	7
52	в том	18	7
53	прежде всего	4	7
54	в связи	1	7
55	и для	2	7
56	но в	7	7
57	в таком	1	7
58	во всех	3	6
59	и как	3	6
60	в самом	5	6
61	если мы	2	6
62	слова и	2	6
63	ни в	5	6
64	того чтобы	2	6
65	к тому	4	6
66	для того	2	6
67	же самое	1	6
68	быть и	2	6
69	между тем	4	6
70	более того	1	6
71	ни было	1	6
72	в свою	3	6
73	того же	2	5
74	к другому	1	5
75	и на	2	5
76	является не	1	5
77	то ни	1	5
78	лишь на	1	5
79	в данном	4	5
80	в их	5	5
81	свою очередь	2	5
82	и здесь	1	5
83	к нему	3	5
84	в его	9	5
85	в форме	4	5
86	отношении к	2	5
87	или иной	7	5
88	целого высказывания	1	5
89	в той	3	5
90	этого слова	2	5
91	в контексте	3	5
92	и того	2	5
93	тем более	1	5
94	так же	2	5
95	а как	1	4
96	и ее	3	4
97	обратное влияние	1	4
98	бы то	1	4
99	в себе	9	4
100	на то	1	4
101	в единстве	1	4
102	значение в	1	4
103	это не	2	4
104	было бы	1	4
105	и тем	2	4
106	в слове	3	4
107	одного и	2	4
108	тому что	2	4
109	в отношении	3	4
110	русском языке	1	4
111	и т.д	3	4
112	той или	4	4
113	для себя	2	4
114	в русском	1	4
115	того что	4	4
116	в формах	2	4
117	с ними	1	4
118	что он	3	4
