N	2gram	Bakhtin_Fr_4	Otkroven
1	у него	5	22
2	и в	29	19
3	но и	9	13
4	и не	16	13
5	в этом	11	12
6	не только	10	11
7	может быть	2	11
8	человека и	1	10
9	в нем	5	10
10	и все	13	10
11	в самой	1	9
12	прежде всего	8	9
13	никогда не	2	9
14	потому что	1	9
15	он был	2	8
16	и он	1	8
17	в его	8	7
18	человек не	1	7
19	он не	3	7
20	до конца	5	7
21	ни с	2	7
22	нет ничего	2	7
23	но он	6	7
24	от него	1	7
25	как и	12	6
26	все это	4	6
27	отношение к	1	5
28	в том	7	5
29	в самом	1	5
30	в этой	13	5
31	для него	1	5
32	в россии	1	5
33	о его	2	5
34	то что	4	5
35	он сам	1	4
36	с его	4	4
37	все в	2	4
38	все эти	9	4
39	него и	1	4
40	на земле	1	4
41	в самую	1	4
42	не может	2	4
43	того чтобы	3	4
44	и мысли	1	4
45	и его	8	4
46	что в	1	4
47	только и	1	4
48	нем нет	1	3
49	и есть	4	3
50	быть может	2	3
51	о том	2	3
52	еще не	4	3
53	во имя	1	3
54	к нему	3	3
55	того что	3	3
56	что он	4	3
57	и ее	1	3
58	в себе	3	3
59	о природе	2	3
60	и вот	3	3
61	для того	3	3
62	это было	1	3
63	это не	5	3
64	мысли и	1	3
65	как бы	8	3
66	с ним	2	3
67	и от	1	3
68	в этих	2	3
69	в своих	2	3
70	все что	1	3
71	и с	9	2
72	и то	2	2
73	в ее	3	2
74	этого мира	1	2
75	что у	3	2
76	так и	11	2
77	и о	5	2
78	был еще	2	2
79	и на	11	2
80	не все	1	2
81	что и	1	2
82	что они	2	2
83	как к	3	2
84	в своем	3	2
85	все же	3	2
86	и к	2	2
87	в этот	1	2
88	и потому	1	2
89	и этим	2	2
90	в которой	4	2
91	он в	1	2
92	уже в	2	2
93	о которой	1	2
94	ведь это	3	2
95	которую он	4	2
96	так как	7	2
97	тем что	4	2
98	в других	2	2
99	даже и	2	2
100	момент в	1	2
101	этом он	2	2
102	его в	9	2
103	сказать что	5	2
104	и очень	1	2
105	подойти к	1	2
106	том что	3	2
107	к этому	2	2
108	и там	1	2
109	можно ли	1	2
110	и для	2	2
111	ничего не	1	2
112	жизни в	2	2
113	легенда о	1	2
114	в своей	5	2
115	что все	1	2
116	хотя и	2	2
117	но в	12	2
118	смысле слова	1	1
119	нет такого	1	1
120	и это	2	1
121	женщины и	3	1
122	отношения к	1	1
123	также и	4	1
124	с образом	2	1
125	связана с	4	1
126	в виду	2	1
127	с кем	1	1
128	на нем	2	1
129	людей в	1	1
130	на самом	4	1
131	это раскрывает	1	1
132	уже с	1	1
133	из самых	1	1
134	это для	1	1
135	и до	5	1
136	уже указывали	1	1
137	должна быть	1	1
138	видеть в	1	1
139	природе своей	1	1
140	легенды о	1	1
141	можно было	1	1
142	по природе	1	1
143	собой в	1	1
144	в борьбе	1	1
145	загадке с	1	1
146	и страстная	1	1
147	мы не	1	1
148	ту же	1	1
149	уверен что	1	1
150	связан с	4	1
151	в первый	1	1
152	эпоху возрождения	1	1
153	если бы	1	1
154	в эпоху	15	1
155	и природной	1	1
156	с утра	1	1
157	все и	1	1
158	в сущности	6	1
159	находится в	1	1
160	не вполне	1	1
161	жизни как	1	1
162	но к	1	1
163	и был	1	1
164	в ней	3	1
165	в народном	1	1
166	и что	1	1
167	с того	1	1
168	все его	1	1
169	и хлеб	1	1
170	это была	1	1
171	самом деле	1	1
172	что люди	1	1
173	которого не	1	1
174	но не	2	1
175	то он	2	1
176	в противоречии	1	1
177	в новом	2	1
178	отметить что	3	1
179	в форме	1	1
180	вообще и	1	1
181	все время	3	1
182	этой загадке	1	1
183	в одной	2	1
184	как в	2	1
185	кто уже	1	1
186	в частности	3	1
187	один из	4	1
188	и как	3	1
189	с ними	3	1
190	самом начале	1	1
191	то в	3	1
192	за собой	1	1
193	поэтому он	1	1
194	свой особый	1	1
195	начало в	1	1
196	не хочет	1	1
197	бы и	1	1
198	что это	5	1
199	между этими	1	1
200	за это	1	1
201	сторон он	1	1
202	со всеми	1	1
203	это единственная	1	1
204	с одного	1	1
205	думать что	1	1
206	же и	3	1
207	с их	1	1
208	только один	1	1
209	уже не	2	1
210	говорят о	1	1
211	ее как	1	1
212	и человеческие	1	1
213	на то	1	1
214	что она	1	1
215	на этих	1	1
216	свободу и	1	1
217	и других	3	1
218	да и	2	1
219	у самого	1	1
220	речи и	1	1
221	из них	6	1
222	после этого	2	1
223	его и	2	1
224	мир в	2	1
225	был бы	1	1
226	к одному	1	1
227	в силу	1	1
228	в одном	1	1
229	вовсе не	9	1
230	и сам	3	1
231	у нее	1	1
232	вот с	1	1
233	противоречии с	1	1
234	уж тут	2	1
235	и вечно	1	1
236	людей и	1	1
237	этом отношении	1	1
238	от того	1	1
239	с великим	1	1
240	же не	2	1
