N	3gram	Nazirov_Tv_2	Problema
1	и т д	11	13
2	в том что	2	9
3	той или иной	1	8
4	в связи с	1	7
5	сами по себе	1	6
6	во всяком случае	2	6
7	и в этом	1	6
8	по крайней мере	2	5
9	с другой стороны	2	5
10	не может быть	3	5
11	т д и	1	4
12	в таком случае	2	4
13	в то же	7	4
14	д и т	1	4
15	в то время	1	4
16	дело в том	1	3
17	того или иного	1	3
18	в первую очередь	1	3
19	можно было бы	1	3
20	точно так же	1	3
21	содержит в себе	1	3
22	как будто бы	1	3
23	с первого взгляда	1	3
24	том смысле что	1	3
25	о том что	2	3
26	в том смысле	1	3
27	именно потому что	1	3
28	хотя и не	1	2
29	только потому что	1	2
30	о том как	1	2
31	же как и	1	2
32	до сих пор	3	2
33	в отличие от	2	2
34	в чем не	1	2
35	мы говорим о	1	2
36	то или иное	1	2
37	у нас не	1	2
38	потому что они	1	2
39	только то что	1	2
40	ничего общего с	1	2
41	ни в чем	1	2
42	не значит что	1	2
43	по себе не	1	1
44	создает условия для	1	1
45	в чем же	1	1
46	и нет ничего	1	1
47	имеет в виду	1	1
48	в третий раз	1	1
49	и не обязан	1	1
50	но это не	1	1
51	на этот вопрос	2	1
52	с присущей ему	1	1
53	в целом и	2	1
54	войне и мире	1	1
55	если не считать	2	1
56	как и в	1	1
57	тем что он	1	1
58	но при этом	1	1
59	и потому что	1	1
60	так что они	1	1
61	нам представляется что	1	1
62	все же не	2	1
63	это не значит	1	1
64	ответ на этот	1	1
65	так же как	2	1
66	никогда не является	1	1
67	а может быть	1	1
68	и это не	1	1
69	в основе же	1	1
70	т д все	1	1
71	мы не можем	1	1
72	и особенно в	1	1
73	так и в	2	1
74	нет ничего кроме	1	1
75	это и есть	1	1
76	и никогда не	1	1
77	но отнюдь не	1	1
78	что в нем	1	1
79	такие термины как	1	1
80	и без этого	1	1
81	даже не в	1	1
82	в самом деле	2	1
83	нам хотелось бы	1	1
84	по сути дела	3	1
85	относится и к	1	1
86	в конце своей	1	1
87	это казалось бы	1	1
88	и в литературе	1	1
89	новую жизнь и	1	1
90	и такие термины	1	1
91	может быть в	1	1
92	т д в	1	1
93	к тому же	1	1
94	не так как	1	1
95	д все это	1	1
