N	4gram	Vygotskiy__5	Morfolog
1	связи функций между собой	2	2
2	образом мы видим что	1	2
3	в то время как	4	2
4	в собственном смысле слова	1	2
5	состоит в том что	3	2
6	таким образом мы видим	1	2
7	в тех случаях когда	1	2
8	в том что он	2	1
9	мы видим что в	1	1
10	видим таким образом что	1	1
11	одно и то же	1	1
12	не что иное как	1	1
13	в тот момент когда	2	1
14	мы видим таким образом	1	1
15	мы постараемся показать что	1	1
16	все более и более	1	1
17	прежде чем перейти к	1	1
18	ответить на этот вопрос	1	1
19	есть не что иное	1	1
