N	2gram	Berdyaev_M_2	RusskieA
1	и в	46	29
2	т е	4	24
3	том что	4	22
4	в том	3	22
5	что в	4	22
6	как бы	8	18
7	так как	8	13
8	может быть	21	13
9	в землю	1	13
10	в этом	20	11
11	как и	13	11
12	не только	18	10
13	и с	3	10
14	е в	2	10
15	все это	1	10
16	во многих	1	9
17	о том	3	9
18	а в	2	9
19	его в	3	8
20	но и	15	8
21	ее в	2	8
22	как в	7	7
23	за руки	1	7
24	мы не	1	6
25	и на	3	6
26	того чтобы	4	6
27	на нее	1	6
28	для того	5	6
29	с тем	1	6
30	вместе с	2	6
31	но в	10	5
32	на земле	8	5
33	это не	5	5
34	не может	15	5
35	потому что	12	5
36	для этого	4	5
37	и что	2	5
38	к земле	1	5
39	эту силу	1	5
40	то что	5	5
41	с ней	1	5
42	к этому	1	5
43	же как	3	4
44	то же	5	4
45	вопрос о	6	4
46	на них	1	4
47	не все	1	4
48	уже не	4	4
49	их в	1	4
50	в них	3	4
51	а за	2	4
52	и потом	1	4
53	в которых	1	4
54	не в	9	4
55	земле и	1	4
56	у русских	2	4
57	тогда когда	2	4
58	у нас	11	4
59	а также	1	4
60	к нему	2	4
61	так что	2	4
62	а не	13	4
63	о чем	1	4
64	так же	6	4
65	и все	5	4
66	в xix	1	3
67	в ее	1	3
68	только тогда	1	3
69	что это	6	3
70	все эти	1	3
71	в этой	7	3
72	что она	5	3
73	подобно тому	2	3
74	на этом	2	3
75	в народе	6	3
76	и других	2	3
77	живет в	1	3
78	не всегда	2	3
79	в этих	2	3
80	в котором	1	3
81	но он	11	3
82	она не	8	3
83	не имеет	4	3
84	нас к	1	3
85	во всех	2	3
86	того что	6	3
87	к русским	1	3
88	между тем	2	3
89	связь с	1	3
90	в последний	1	3
91	друг друга	12	3
92	тем что	3	3
93	в природе	1	3
94	до конца	4	3
95	тому как	2	3
96	и там	6	3
97	и от	3	3
98	было бы	1	3
99	но если	1	3
100	и то	1	2
101	на самом	1	2
102	в стороне	1	2
103	это и	3	2
104	силу на	1	2
105	но она	2	2
106	что иное	3	2
107	на себя	1	2
108	иное как	3	2
109	не был	2	2
110	там и	6	2
111	с этим	1	2
112	и как	1	2
113	не было	11	2
114	та же	10	2
115	в которой	2	2
116	право на	1	2
117	если он	2	2
118	после этого	1	2
119	не к	2	2
120	людей и	3	2
121	в образе	3	2
122	об этом	1	2
123	для них	1	2
124	из нее	1	2
125	должно быть	2	2
126	в церкви	2	2
127	в своей	5	2
128	нас не	2	2
129	должны были	1	2
130	как можно	1	2
131	принадлежат к	3	2
132	того как	3	2
133	никогда не	18	2
134	к ней	2	2
135	на природу	2	2
136	во всем	5	2
137	связи с	2	2
138	что на	1	2
139	в момент	1	2
140	должен быть	4	2
141	вывод что	1	2
142	можно было	2	2
143	не с	1	2
144	еще в	2	2
145	жизнь и	4	2
146	а к	1	2
147	своей книге	1	2
148	с другим	3	2
149	после того	2	2
150	с другой	1	2
151	можно встретить	1	2
152	все в	1	2
153	у них	4	2
154	что и	4	2
155	также в	1	2
156	он есть	1	2
157	один из	5	2
158	совсем не	5	2
159	и ее	1	2
160	есть в	3	2
161	на эту	1	2
162	моментов в	1	2
163	связано с	3	2
164	ее на	1	2
165	церкви и	1	2
166	чем в	2	2
167	встреча и	1	2
168	а с	1	2
169	в церковь	1	2
170	прежде всего	12	2
171	можно будет	1	2
172	в европе	1	2
173	с этой	1	2
174	и для	7	2
175	ее и	2	2
176	жизни в	3	2
177	две формы	1	2
178	не что	3	2
179	из этого	1	2
180	приводит нас	1	2
181	в своих	3	2
182	это в	1	2
183	а между	1	1
184	с природой	1	1
185	элемент но	1	1
186	отношение к	8	1
187	человека и	7	1
188	другие народы	1	1
189	собой смерть	1	1
190	к этой	1	1
191	и есть	8	1
192	из самых	1	1
193	тут в	2	1
194	с таким	2	1
195	она в	1	1
196	что если	1	1
197	не была	1	1
198	есть царство	1	1
199	говорить о	1	1
200	в царство	1	1
201	полное и	1	1
202	в ней	11	1
203	земле что	1	1
204	в религии	1	1
205	этим не	1	1
206	тем как	1	1
207	землю и	2	1
208	если в	1	1
209	нет и	1	1
210	что они	3	1
211	независимо от	1	1
212	народа в	1	1
213	в своем	8	1
214	все остальные	1	1
215	человек на	1	1
216	хотя и	2	1
217	когда он	1	1
218	всего как	1	1
219	увидим что	2	1
220	есть ли	2	1
221	от этого	2	1
222	народам европы	1	1
223	в самом	5	1
224	уже в	2	1
225	он в	3	1
226	или во	1	1
227	не оставляет	1	1
228	и будущее	1	1
229	только один	1	1
230	ее как	1	1
231	как он	3	1
232	на то	1	1
233	но на	2	1
234	и если	2	1
235	в нем	22	1
236	как дети	1	1
237	он должен	1	1
238	есть та	1	1
239	только в	3	1
240	в нее	1	1
241	но все	1	1
242	что все	5	1
243	в другом	1	1
244	на все	3	1
245	из себя	1	1
246	которые выпадают	1	1
247	входит в	1	1
248	за ней	1	1
249	не соответствует	1	1
250	выходя из	1	1
251	из первых	1	1
252	нет в	4	1
253	перешедшего в	1	1
254	он из	1	1
255	для чего	3	1
256	в развитии	1	1
257	остается в	1	1
258	можно найти	1	1
259	не раскрывает	3	1
260	как все	1	1
261	в такой	3	1
262	уже к	1	1
263	в которые	2	1
264	и народ	1	1
265	место в	2	1
266	не от	2	1
267	своего рода	1	1
268	мир и	2	1
269	человеком и	1	1
270	но эта	2	1
271	но они	1	1
272	что есть	2	1
273	стоит в	2	1
274	природа не	1	1
275	и хозяйства	1	1
276	как о	1	1
277	в русской	6	1
278	все мы	1	1
279	в основе	2	1
280	избавляет от	1	1
281	следовательно и	1	1
282	есть уже	4	1
283	до самой	1	1
284	ничего не	2	1
285	учения о	1	1
286	можно видеть	1	1
287	по своей	3	1
288	наоборот он	1	1
289	образа и	2	1
290	мы то	1	1
291	и его	5	1
292	до того	1	1
293	как будто	2	1
294	этом отношении	1	1
295	представлять себе	1	1
296	погружение в	1	1
297	и здесь	6	1
298	него на	1	1
299	в духе	5	1
300	человеческого существа	2	1
301	чтобы сделать	1	1
302	и другим	1	1
303	и за	2	1
304	нужно совершить	1	1
305	оно не	2	1
306	быть назван	2	1
307	и это	5	1
308	себе в	2	1
309	совпадают с	1	1
310	не будет	3	1
311	не могу	6	1
312	народа то	1	1
313	это имело	1	1
314	и этим	2	1
315	в пределах	1	1
316	приводит к	1	1
317	что у	4	1
318	с собой	2	1
319	так и	4	1
320	мог бы	1	1
321	к тем	1	1
322	возможно что	1	1
323	думает что	1	1
324	но у	1	1
325	он был	9	1
326	них есть	2	1
327	если бы	3	1
328	нас нет	1	1
329	это обычно	1	1
330	с ним	3	1
331	означает что	4	1
332	находится в	1	1
333	и поэтому	2	1
334	которое потом	1	1
335	может не	1	1
336	и во	3	1
337	эта религия	1	1
338	нас в	2	1
339	как нет	1	1
340	в его	5	1
341	не надо	2	1
342	все время	2	1
343	жизнь но	1	1
344	и мир	2	1
345	это приводит	1	1
346	уходит в	2	1
347	быть и	2	1
348	но так	1	1
349	но с	2	1
350	с себя	1	1
351	тот же	2	1
352	к свету	2	1
353	что он	7	1
354	мы увидим	2	1
355	ли он	1	1
356	в какой	1	1
357	но ни	1	1
358	те которые	3	1
359	верно и	1	1
360	русское и	1	1
361	особенной силой	1	1
362	а после	1	1
363	же и	2	1
364	вопроса о	4	1
365	значение и	1	1
366	раньше чем	1	1
367	но есть	1	1
368	мир в	1	1
369	был бы	1	1
370	не будут	2	1
371	не так	3	1
372	для него	18	1
373	в пространстве	1	1
374	в конце	5	1
375	их во	1	1
376	ту сторону	1	1
377	последний раз	1	1
378	происходит на	1	1
379	как у	2	1
380	детскую игру	1	1
381	на поверхности	4	1
382	превращается в	2	1
383	в менее	1	1
384	и возвращается	1	1
385	и своим	2	1
386	на смерть	1	1
387	земли в	1	1
388	и поставил	1	1
389	него не	1	1
390	на которые	1	1
391	для использования	1	1
392	всем народам	1	1
393	свою судьбу	1	1
394	исходит от	1	1
395	и потому	7	1
396	что личность	2	1
397	другая сторона	1	1
398	к себе	2	1
399	на человеческую	1	1
400	во всю	1	1
401	природой он	1	1
402	по своему	1	1
403	что за	2	1
404	на тот	1	1
405	смысле этого	1	1
406	он может	1	1
407	и религию	1	1
408	что весь	1	1
409	если человек	2	1
410	а потом	1	1
411	есть одна	1	1
412	ко всему	1	1
413	многих других	1	1
414	убийство и	2	1
415	и людям	1	1
416	и более	1	1
417	и жизнь	1	1
418	этого слова	1	1
419	и не	18	1
420	этот не	1	1
421	последний день	2	1
422	но это	8	1
423	в который	2	1
424	бессмертия и	2	1
425	и тогда	3	1
426	основы ее	1	1
427	происходит не	1	1
428	в царстве	4	1
429	верили что	1	1
430	в угол	1	1
431	он по	1	1
432	тот кто	5	1
433	а может	1	1
434	мы должны	1	1
435	за него	1	1
436	его уже	1	1
437	его жизнь	1	1
438	только что	1	1
439	в мировом	1	1
440	которые в	2	1
441	его к	1	1
442	он же	3	1
443	только с	3	1
444	все еще	1	1
445	в свою	4	1
446	две стороны	1	1
447	сказать что	3	1
448	они как	1	1
449	когда в	1	1
450	есть и	3	1
451	исследование о	1	1
452	этим объясняется	1	1
453	и становится	1	1
454	это так	1	1
455	и эта	2	1
456	на лице	1	1
457	как на	1	1
458	все что	4	1
