N	4gram	Savitsky_E_1	Myshleni
1	в то время как	1	5
2	заключается в том что	2	5
3	одного и того же	1	4
4	несмотря на то что	1	2
5	в том смысле что	1	2
6	но так как мы	1	1
7	в пределах одного и	1	1
8	в том числе и	1	1
9	один и тот же	1	1
10	на то что в	1	1
11	в гораздо большей степени	1	1
12	того чтобы ответить на	1	1
13	с этой точки зрения	5	1
14	пределах одного и того	1	1
15	в связи с этим	1	1
16	для того чтобы ответить	1	1
17	ответить на этот вопрос	1	1
18	так же как и	3	1
19	чтобы ответить на этот	1	1
