1	в том что	8	15
2	с точки зрения	2	9
3	в том чтобы	1	8
4	по отношению к	6	8
5	в самом деле	1	7
6	с другой стороны	4	6
7	только потому что	1	6
8	той мере в	1	5
9	по крайней мере	1	5
10	в этом отношении	3	5
11	мере в какой	1	5
12	о том что	6	5
13	в той мере	1	5
14	до сих пор	1	4
15	тем не менее	3	4
16	том что он	1	4
17	а с другой	1	3
18	в этом смысле	1	3
19	того или иного	2	3
20	в связи с	2	3
21	можно было бы	2	3
22	более или менее	2	3
23	не может быть	5	3
24	в соответствии с	1	3
25	в свою очередь	3	3
26	состоит в том	3	3
27	так или иначе	2	2
28	и того же	1	2
29	так и в	1	2
30	одного и того	1	2
31	на самом деле	1	2
32	в свое время	1	2
33	именно в том	2	2
34	речь идет о	2	2
35	в то же	3	2
36	то же время	3	2
37	в первую очередь	1	2
38	но все же	4	2
39	том что оно	1	2
40	этой точки зрения	2	2
41	но именно это	1	1
42	и в особенности	1	1
43	тот или иной	1	1
44	не только в	2	1
45	что иное как	2	1
46	очевидно что в	1	1
47	той или иной	4	1
48	поскольку речь идет	1	1
49	из них как	1	1
50	тем более что	1	1
51	все то что	1	1
52	как это часто	1	1
53	тогда как в	2	1
54	с одной стороны	7	1
55	в отличие от	5	1
56	не что иное	2	1
57	друг от друга	1	1
58	внимание на некоторые	1	1
59	по аналогии с	1	1
60	сами по себе	2	1
61	и больше всего	1	1
62	далеко не всегда	1	1
63	с совершенно иными	1	1
64	то только потому	1	1
65	и в то	1	1
66	что несмотря на	1	1
67	они свидетельствуют о	1	1
68	точки зрения как	1	1
69	необходимо указать на	1	1
70	это часто бывает	1	1
71	дело не с	1	1
72	в данный момент	1	1
73	с этой точки	1	1
74	то что они	1	1
75	до наших дней	1	1
76	само по себе	1	1
77	в случае с	1	1
78	при этом что	1	1
79	и с точки	1	1
80	не то что	2	1
81	так и не	2	1
82	в этой фразе	1	1
83	точно так же	2	1
84	отношению к которому	2	1
85	что в этом	1	1
86	в силу которого	1	1
87	существенно разнится от	1	1
88	еще не является	1	1
89	является как бы	1	1
90	и тем самым	3	1
91	иметь в виду	1	1
92	а то и	1	1
93	в первом случае	2	1
94	с легкой руки	1	1
95	однако с другой	1	1
96	тех или иных	1	1
97	не могло не	1	1
98	в действительности и	1	1
99	вовсе не то	1	1
100	лет тому назад	1	1
101	к тому чтобы	1	1
102	так же как	2	1
103	она все же	1	1
104	и не в	4	1
