N	3gram	Berdyaev_V_1	Myslijsy
1	то что я	2	7
2	в том что	2	7
3	по крайней мере	1	5
4	а между тем	2	4
5	и в этом	1	4
6	вместе с тем	1	3
7	и т д	2	3
8	то и другое	1	2
9	хотя бы и	1	2
10	я представляю себе	1	2
11	есть то что	1	2
12	не могут быть	1	2
13	после того как	1	2
14	и есть то	1	1
15	если б и	1	1
16	и то и	1	1
17	но и в	2	1
18	другой стороны в	1	1
19	в последних словах	1	1
20	того что он	1	1
21	в первый раз	3	1
22	что не всегда	1	1
23	на том пути	1	1
24	с которым это	1	1
25	в одно целое	1	1
26	с другой стороны	1	1
27	в человека в	1	1
28	в истории и	1	1
29	и до того	1	1
30	и вместе с	1	1
31	и все это	1	1
32	состояние человеческого духа	1	1
33	никогда еще не	2	1
34	давно уже не	1	1
35	сама она и	1	1
36	к тому что	3	1
37	том пути на	1	1
38	как и в	1	1
