N	2gram	Berdyaev_O_1	VeschiIm
1	не есть	2	49
2	т е	4	42
3	не может	4	33
4	не только	11	31
5	может быть	11	29
6	и не	13	28
7	и в	19	26
8	то что	5	24
9	и есть	3	23
10	а не	11	20
11	что она	1	14
12	по себе	2	13
13	и что	1	13
14	того что	3	13
15	и то	2	12
16	есть не	1	12
17	все же	2	12
18	что это	1	12
19	было бы	3	12
20	и ее	3	12
21	но и	13	12
22	сказать что	2	12
23	что же	2	11
24	и больше	1	10
25	в ней	1	10
26	и имя	1	10
27	как бы	3	10
28	потому что	9	10
29	уже не	1	10
30	в самом	5	9
31	и с	2	9
32	вещей и	1	9
33	в том	5	9
34	что не	4	9
35	прежде всего	9	9
36	в себе	3	8
37	на то	1	8
38	и это	1	8
39	ничего не	2	8
40	но это	1	8
41	также и	1	7
42	в этом	12	7
43	его в	2	7
44	том что	2	7
45	указывает на	1	7
46	так как	2	7
47	и пр	1	7
48	совершенно не	1	7
49	со стороны	1	6
50	что они	2	6
51	и как	1	6
52	но в	2	6
53	бы и	1	6
54	это есть	1	6
55	бытие и	1	6
56	с ним	3	6
57	она не	1	6
58	отличается от	1	6
59	можно было	1	6
60	должно быть	2	6
61	так что	2	6
62	ни с	7	6
63	для него	5	6
64	жизни и	1	6
65	что в	4	6
66	и до	1	5
67	и тут	1	5
68	в сущности	1	5
69	но не	1	5
70	есть просто	1	5
71	как к	2	5
72	должна быть	1	5
73	же это	2	5
74	это не	3	5
75	с тем	2	5
76	не в	11	5
77	в отношении	1	5
78	одна из	1	5
79	только и	4	5
80	у нас	1	5
81	в ее	2	5
82	если бы	1	5
83	еще не	3	5
84	что для	2	5
85	и для	2	5
86	а в	5	5
87	мы не	1	4
88	для всякого	2	4
89	в своем	2	4
90	с чем	2	4
91	же не	1	4
92	как и	6	4
93	и более	1	4
94	что есть	2	4
95	можно ли	2	4
96	и о	2	4
97	о том	3	4
98	что и	2	4
99	рационализма и	2	4
100	из них	1	4
101	тем что	2	4
102	и даже	1	4
103	и потому	2	4
104	быть не	1	4
105	не существует	1	4
106	и все	10	4
107	от того	1	4
108	от самой	1	3
109	сам по	1	3
110	самом деле	1	3
111	к другому	1	3
112	отношения к	1	3
113	вопрос о	10	3
114	момент в	2	3
115	ее как	1	3
116	в нем	10	3
117	раз навсегда	1	3
118	ли сказать	2	3
119	что нужно	1	3
120	в жизни	1	3
121	и тогда	1	3
122	нисколько не	1	3
123	в своей	2	3
124	все это	6	3
125	ее с	1	3
126	в уме	1	3
127	само по	1	3
128	того чтобы	4	3
129	к ней	2	3
130	всегда есть	4	3
131	и самое	1	3
132	можно и	1	3
133	нет никакой	1	3
134	и сам	1	3
135	так и	2	3
136	один из	1	3
137	что он	3	3
138	а это	1	3
139	в одном	1	3
140	отношение к	5	3
141	даже и	2	3
142	никогда не	9	3
143	а с	1	3
144	да и	1	3
145	она должна	1	3
146	бы в	1	3
147	и ни	2	3
148	хотя бы	3	3
149	не быть	1	3
150	нем нет	3	2
151	от этого	1	2
152	как это	1	2
153	тем же	1	2
154	ту же	1	2
155	к чему	1	2
156	человека и	10	2
157	бы ни	1	2
158	себе что	1	2
159	мысли и	3	2
160	и всякий	1	2
161	не все	2	2
162	себе и	1	2
163	как в	1	2
164	и нет	2	2
165	когда он	3	2
166	то в	1	2
167	я имею	1	2
168	только один	1	2
169	он не	7	2
170	о которой	2	2
171	для того	3	2
172	в силу	1	2
173	и вот	3	2
174	различие между	3	2
175	которая была	1	2
176	только одно	3	2
177	вообще но	1	2
178	с которой	2	2
179	этого нужно	1	2
180	дело в	1	2
181	в науке	1	2
182	в разных	1	2
183	в самой	9	2
184	и его	4	2
185	ничто не	2	2
186	не потому	1	2
187	это для	1	2
188	и когда	1	2
189	не с	1	2
190	том как	1	2
191	находится в	1	2
192	в виду	1	2
193	но к	1	2
194	не стоит	1	2
195	это было	3	2
196	заключается в	1	2
197	подходит к	1	2
198	и можно	1	2
199	еще более	1	2
200	разум и	1	2
201	что только	1	2
202	его и	1	2
203	не случайно	1	2
204	а потому	1	2
205	и недостаточно	1	2
206	может ли	1	2
207	о чем	1	2
208	ближе к	1	2
209	но оно	1	2
210	в частности	1	2
211	ни к	1	2
212	есть уже	1	2
213	отношении к	1	2
214	жизни в	2	2
215	это все	1	2
216	состоит из	1	2
217	была бы	1	2
218	от всех	1	2
219	но можно	1	2
220	это так	1	2
221	но еще	1	2
222	в своих	3	2
223	во всяком	1	2
224	если вы	1	1
225	чтобы не	1	1
226	связана с	1	1
227	с кем	1	1
228	между двумя	1	1
229	чего не	1	1
230	от самого	2	1
231	из самых	1	1
232	не хочет	1	1
233	не имеют	1	1
234	в которой	2	1
235	раз уже	2	1
236	вместо того	2	1
237	жизни как	1	1
238	уже в	2	1
239	не иметь	1	1
240	и на	2	1
241	с его	4	1
242	возможности и	1	1
243	с трудом	1	1
244	ее внутреннее	1	1
245	и чем	1	1
246	в истории	2	1
247	что как	1	1
248	хотя и	2	1
249	и к	2	1
250	самом начале	1	1
251	чего же	1	1
252	может с	1	1
253	есть для	1	1
254	все эти	4	1
255	учение о	2	1
256	в этой	5	1
257	и кто	1	1
258	знания в	1	1
259	он ни	1	1
260	есть дело	1	1
261	они в	1	1
262	опять-таки не	1	1
263	самом последнем	1	1
264	он должен	1	1
265	к одному	1	1
266	во тьме	1	1
267	из него	1	1
268	это конечно	1	1
269	эту истину	1	1
270	до последней	1	1
271	по природе	1	1
272	должен был	2	1
273	в это	1	1
274	ней нужно	1	1
275	что сама	1	1
276	в них	1	1
277	она и	1	1
278	что природа	1	1
279	всегда и	1	1
280	он и	1	1
281	бога и	1	1
282	но почему	1	1
283	со всей	1	1
284	нет никакого	1	1
285	и без	1	1
286	в котором	1	1
287	бы самой	1	1
288	не уничтожает	1	1
289	него человек	1	1
290	что было	1	1
291	не могли	2	1
292	как от	1	1
293	и очень	2	1
294	судьбы ее	1	1
295	не имеет	2	1
296	было не	1	1
297	о природе	3	1
298	по своей	1	1
299	в сознании	1	1
300	внутренней жизни	1	1
301	с другом	1	1
302	свое собственное	1	1
303	не могут	3	1
304	могут быть	3	1
305	тут все	1	1
306	указать на	1	1
307	что красота	1	1
308	кем и	1	1
309	а ее	1	1
310	даже когда	1	1
311	всегда в	1	1
312	из всего	2	1
313	в конце	1	1
314	на нем	1	1
315	в стихию	1	1
316	с каким	1	1
317	и от	3	1
318	уже с	1	1
319	ни под	1	1
320	не те	1	1
321	стремиться к	1	1
322	до самого	5	1
323	природе своей	1	1
324	что у	2	1
325	в другом	2	1
326	имею в	1	1
327	бытие не	1	1
328	подойти к	2	1
329	быть может	3	1
330	но может	1	1
331	о нем	1	1
332	кого не	1	1
333	это я	1	1
334	почему же	1	1
335	словом только	1	1
336	самому себе	1	1
337	конечно какое-то	1	1
338	свете в	1	1
339	нуждается в	1	1
340	чем и	1	1
341	частью в	2	1
342	а именно	1	1
343	в сферу	1	1
344	его собственная	1	1
345	их жизни	1	1
346	не было	9	1
347	и все-таки	2	1
348	с какой	1	1
349	бытия но	1	1
350	чего бы	1	1
351	только единое	1	1
352	всяком случае	1	1
353	вовсе не	1	1
354	у него	22	1
355	в других	2	1
356	и прежде	1	1
357	было и	1	1
358	но о	1	1
359	говорит о	1	1
360	к человеку	9	1
361	стоит именно	1	1
362	в движении	1	1
363	последней глубины	1	1
364	стремится к	1	1
365	и самый	1	1
366	есть лишь	4	1
367	его как	1	1
368	выше всякого	1	1
369	ним когда	1	1
370	я хочу	1	1
371	нет ничего	7	1
372	не иное	1	1
373	он говорит	1	1
374	и дал	1	1
375	смысле этого	1	1
376	друг с	1	1
377	распадается на	1	1
378	этого слова	1	1
379	и формы	1	1
380	оба они	1	1
381	природу и	1	1
382	ничего кроме	2	1
383	его с	1	1
384	тогда уже	2	1
385	ее и	1	1
386	на человеческом	1	1
387	к его	1	1
388	жизни а	1	1
389	ее динамика	1	1
390	ли он	1	1
391	сила и	1	1
392	к этой	2	1
393	и эта	1	1
394	к этому	2	1
395	доступ к	1	1
396	думать что	1	1
