N	3gram	Tiupa_Narr_2	FransuaR
1	в том что	8	6
2	в той или	1	5
3	той или иной	3	5
4	до сих пор	1	4
5	в отличие от	5	4
6	то есть в	1	4
7	нового времени и	1	3
8	с точки зрения	2	3
9	в этом отношении	3	3
10	существенную роль в	2	2
11	к себе самому	3	2
12	прежде всего на	1	2
13	на самом деле	2	2
14	как раз и	1	2
15	и в других	1	2
16	не входит в	1	2
17	но и в	2	2
18	на этот вопрос	1	2
19	в основе своей	1	2
20	с одной стороны	5	2
21	так и в	1	2
22	в большинстве случаев	1	2
23	в области литературы	1	2
24	не знает и	1	2
25	можно сказать что	3	1
26	по своей природе	2	1
27	а между тем	1	1
28	или хотя бы	1	1
29	прямо или косвенно	1	1
30	точки зрения на	1	1
31	вовсе и не	1	1
32	в чем же	1	1
33	не только художественная	1	1
34	по отношению к	5	1
35	в самом деле	1	1
36	в неразрывном единстве	1	1
37	мысли и воображения	1	1
38	к небольшому числу	1	1
39	в чужой мир	1	1
40	что с точки	1	1
41	и не может	2	1
42	и он не	1	1
43	себе самому и	1	1
44	и здесь мы	1	1
45	тому же в	2	1
46	и т.п но	1	1
47	может быть только	1	1
48	то что было	1	1
49	как раз в	1	1
50	еще в самом	1	1
51	он вовсе не	1	1
52	это прежде всего	1	1
53	то и не	1	1
54	но при этом	3	1
55	в известном смысле	3	1
56	при этом между	1	1
57	играют существенную роль	2	1
58	в связи с	1	1
59	время в этой	1	1
60	во всяком случае	1	1
61	смысле они не	1	1
62	как бы в	2	1
63	не может быть	2	1
64	но одновременно и	1	1
65	то же время	3	1
66	и особенно в	1	1
67	начало и конец	1	1
68	в этой системе	1	1
69	для того чтобы	1	1
70	в то же	3	1
71	не только в	6	1
72	только в форме	1	1
73	в своем роде	1	1
74	все то что	2	1
75	к тому же	4	1
76	усматривает и в	1	1
