1	в то же	3	5
2	то же время	3	5
3	так и в	1	3
4	между этими двумя	2	2
5	и как бы	1	2
6	но в то	2	2
7	в отличие от	5	2
8	но все же	3	2
9	в том что	3	2
10	и в самом	1	2
11	может быть в	1	1
12	и он сам	1	1
13	и не может	9	1
14	к тому что	1	1
15	с самого начала	4	1
16	хотя бы и	1	1
17	прежде всего необходимо	1	1
18	смысле этого слова	2	1
19	не могут быть	2	1
20	в применении к	1	1
21	но при этом	2	1
22	в высшей степени	3	1
23	в этом случае	3	1
24	в связи с	7	1
25	том что он	1	1
26	в чем же	2	1
27	по природе своей	1	1
28	отнюдь не является	3	1
29	а между тем	1	1
30	во всяком случае	2	1
31	не может быть	13	1
32	связаны между собой	1	1
33	и потому как	1	1
34	и должно быть	1	1
35	вместо того чтобы	1	1
36	тем не менее	2	1
37	или как говорит	1	1
38	в самом деле	9	1
39	на страницах романа	1	1
40	в конце концов	3	1
41	это и есть	2	1
42	значение выходящее за	1	1
43	выходящее за пределы	1	1
44	как и все	2	1
45	принципиальный отказ от	1	1
46	не только не	1	1
47	все же не	1	1
