N	2gram	Losev_Prob_4	IolandNe
1	и с	7	3
2	и не	28	2
3	в этом	9	2
4	он не	2	2
5	что в	3	2
6	самого себя	1	2
7	ничего не	1	2
8	себя в	2	1
9	его произведения	1	1
10	все это	9	1
11	нисколько не	1	1
12	и др	1	1
13	и в	20	1
14	только что	2	1
15	и о	5	1
16	с жизнью	1	1
17	то и	5	1
18	бы в	1	1
19	униженных и	1	1
20	того же	2	1
21	значительной мере	2	1
22	с другой	7	1
23	это было	2	1
24	а в	4	1
25	вплоть до	3	1
26	к нам	1	1
27	так то	1	1
28	того что	1	1
29	в художественном	4	1
30	не дает	1	1
31	и без	6	1
32	это был	1	1
33	нечто и	1	1
34	как о	3	1
35	другой стороны	6	1
36	и еще	1	1
37	в первую	1	1
38	не так	3	1
39	нее и	1	1
40	для него	3	1
41	а также	6	1
42	нам в	1	1
43	ничего в	1	1
44	в основе	1	1
45	что для	1	1
46	что при	1	1
47	в значительной	2	1
48	говорить о	2	1
49	и сам	1	1
50	есть только	2	1
51	а если	3	1
52	так и	10	1
53	бы его	1	1
54	он с	2	1
55	же писатель	1	1
56	того чтобы	2	1
57	первую очередь	1	1
58	не случайно	1	1
59	никогда не	1	1
60	о ней	1	1
61	только для	3	1
62	жизни и	5	1
63	и очень	5	1
64	бы все	1	1
65	тем что	3	1
66	в целом	1	1
67	по поводу	1	1
68	бы всю	1	1
69	в них	5	1
70	все эти	16	1
71	от нее	1	1
72	со всеми	2	1
73	если бы	8	1
74	для того	3	1
75	и оскорбленных	1	1
76	другое дело	2	1
77	без этого	3	1
