N	3gram	Bakhtin_fo_2	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	1	7
3	с точки зрения	8	6
4	в том числе	3	5
5	до сих пор	2	5
6	друг с другом	4	5
7	для того чтобы	7	5
8	о том что	1	4
9	том числе и	2	4
10	и вместе с	1	4
11	но все же	1	4
12	а так как	1	3
13	в конце концов	1	3
14	в связи с	7	3
15	в том что	3	3
16	и связанные с	1	2
17	говорили о том	1	2
18	то же самое	2	2
19	сих пор еще	1	2
20	друг на друга	2	2
21	в этом отношении	2	2
22	в значительной мере	1	2
23	с тех пор	1	2
24	с этой точки	1	2
25	может быть и	2	2
26	по сравнению с	1	2
27	то же время	4	2
28	этой точки зрения	1	2
29	с самого начала	1	2
30	той или иной	1	2
31	можно сказать что	1	2
32	в то же	4	2
33	и в этом	3	2
34	каждая из этих	1	1
35	в так называемой	1	1
36	и в сущности	1	1
37	не похожи друг	1	1
38	и того же	1	1
39	даже там где	1	1
40	не может не	1	1
41	всему существующему и	1	1
42	в широком смысле	1	1
43	всем существом своим	1	1
44	что в этом	2	1
45	имеется и в	1	1
46	имеем в виду	3	1
47	в котором он	1	1
48	одного и того	1	1
49	он один может	1	1
50	о том как	3	1
51	обстоит дело с	1	1
52	а следовательно и	2	1
53	и в то	3	1
54	и смерть и	1	1
55	сами по себе	2	1
56	особенно важное значение	1	1
57	а вместе с	1	1
58	с тем что	1	1
59	все это мы	1	1
60	но и как	1	1
61	те же что	1	1
62	уже говорили о	1	1
63	в данном случае	1	1
64	но в то	1	1
65	но при этом	1	1
66	в отличие от	1	1
67	все более и	1	1
68	мы уже говорили	3	1
69	данном случае мы	1	1
70	том что они	1	1
71	все это было	1	1
72	с другой стороны	1	1
73	как бы в	1	1
74	в таком количестве	1	1
75	о каждом из	1	1
76	но в конце	1	1
77	не может быть	1	1
78	похожи друг на	2	1
79	же представление о	1	1
80	в то время	1	1
81	в свою очередь	1	1
82	все в мире	1	1
83	в одном из	1	1
84	более и более	1	1
85	и в результате	1	1
86	мы имеем в	2	1
87	же что и	1	1
88	все эти особенности	1	1
89	все это для	1	1
90	может показаться что	1	1
91	связи с тем	1	1
92	что и в	1	1
93	с собой на	1	1
94	в этом процессе	1	1
