N	3gram	Tiupa_Vved_1	Psycholo
1	в том что	3	12
2	все то что	1	11
3	о том что	4	10
4	то же самое	1	6
5	на то что	1	6
6	на самом деле	3	5
7	можно было бы	2	4
8	сами по себе	1	3
9	к тому чтобы	1	3
10	одна из них	1	3
11	в том чтобы	2	3
12	и в этом	1	3
13	то что он	1	3
14	во всяком случае	1	3
15	то что мы	1	3
16	с одной стороны	5	3
17	о том как	1	2
18	и если мы	1	2
19	если бы мы	1	2
20	одна и та	1	2
21	с другой стороны	1	2
22	вместо того чтобы	1	2
23	и в самом	1	2
24	речь идет о	1	2
25	что это не	1	2
26	что мы читаем	1	2
27	и та же	1	2
28	в сущности говоря	1	2
29	но если бы	1	2
30	к тому же	4	2
31	те же самые	1	2
32	что иное как	1	1
33	мы можем обозначить	1	1
34	это то что	1	1
35	прежде всего на	1	1
36	а не в	1	1
37	по отношению к	7	1
38	подобно тому как	2	1
39	в своем составе	1	1
40	а не все	2	1
41	том что на	1	1
42	начала и конца	1	1
43	мы не можем	1	1
44	в таком случае	1	1
45	именно то что	1	1
46	перед мысленным взором	1	1
47	не было бы	1	1
48	из того что	1	1
49	то же время	3	1
50	рассказе может быть	1	1
51	у него нет	1	1
52	при таком взгляде	1	1
53	в том или	1	1
54	на первый взгляд	1	1
55	и в то	1	1
56	в том как	1	1
57	что толстой в	1	1
58	это не так	1	1
59	а с другой	2	1
60	в свою очередь	4	1
61	тем же самым	1	1
62	из них не	1	1
63	но только в	1	1
64	и едва ли	1	1
65	а не только	1	1
66	и мы не	1	1
67	а на самом	1	1
68	как бы в	1	1
69	мысль о том	1	1
70	не может быть	3	1
71	к такого рода	1	1
72	на наших глазах	1	1
73	не что иное	1	1
74	то есть в	1	1
75	них не может	1	1
76	ни одна из	1	1
77	не только в	2	1
78	могло бы быть	1	1
79	в конечном счете	1	1
80	же самые слова	1	1
81	можно сказать что	1	1
82	в евгении онегине	1	1
83	в этом смысле	1	1
84	то что могло	1	1
85	в то же	4	1
86	но в этом	1	1
87	том или ином	1	1
