N	3gram	Voloshinov_1	Otkroven
1	в нем нет	2	3
2	для того чтобы	1	3
3	и в этом	2	2
4	не может быть	3	2
5	не могут быть	2	2
6	он прежде всего	1	2
7	человека и все	1	1
8	по сравнению с	3	1
9	новой науки о	1	1
10	в самом деле	2	1
11	вовлекающее в свой	1	1
12	и есть та	1	1
13	во всяком случае	3	1
14	и в этот	1	1
15	о том что	2	1
16	в этом отношении	1	1
17	и прежде всего	1	1
18	в том что	1	1
19	а иногда и	1	1
20	у него из	1	1
21	нужно отметить что	1	1
22	ним может быть	1	1
23	друг с другом	1	1
24	все что есть	1	1
