N	2gram	Bakhtin_Pr_1	ViktorSh
1	в книге	1	3
2	конце концов	5	2
3	и в	29	2
4	том что	7	2
5	в том	8	2
6	в конце	6	2
7	и только	1	1
8	крайней мере	1	1
9	в устах	1	1
10	под влиянием	1	1
11	тем новым	1	1
12	в другом	1	1
13	хотя бы	2	1
14	и не	31	1
15	все время	2	1
16	и его	14	1
17	потому что	8	1
18	я не	3	1
19	даже не	1	1
20	превратил в	1	1
21	самом деле	6	1
22	другом месте	1	1
23	все это	6	1
24	от других	1	1
25	именно в	5	1
26	по своим	2	1
27	в их	3	1
28	как же	4	1
29	дело в	1	1
30	в частности	1	1
31	одно и	1	1
32	все то	4	1
33	ведь это	2	1
34	в которых	2	1
35	материалов и	1	1
36	в самом	10	1
37	для них	1	1
38	только в	10	1
39	то же	14	1
40	так как	6	1
41	далеко не	3	1
42	бы уже	2	1
43	но это	4	1
44	в этом	22	1
45	по крайней	1	1
46	а только	1	1
47	по существу	3	1
48	к этому	1	1
