N	3gram	Bakhtin_sl_1	Mirosoze
1	не может быть	1	17
2	он весь в	1	4
3	но и в	1	4
4	и потому не	1	3
5	не может не	5	2
6	прежде всего в	1	2
7	уже не только	1	2
8	себя в своем	1	2
9	до сих пор	2	2
10	и не может	2	2
11	хотя бы и	3	2
12	в его романах	1	2
13	он никогда не	1	2
14	то время как	2	2
15	не только в	2	2
16	не могут быть	2	2
17	это не значит	1	2
18	в то время	2	2
19	никогда не может	1	2
20	для того чтобы	1	2
21	а не к	1	1
22	в которой все	1	1
23	а иногда и	1	1
24	не значит конечно	1	1
25	а вовсе не	2	1
26	значит конечно что	1	1
27	разных точек зрения	1	1
28	с одним из	1	1
29	но оно не	2	1
30	имеем в виду	1	1
31	и не было	1	1
32	все время находится	1	1
33	в своей книге	1	1
34	время находится в	1	1
35	в зависимости от	3	1
36	в отличие от	1	1
37	начале xx века	1	1
38	и т п	23	1
39	но это не	1	1
40	и у него	1	1
41	у него нет	1	1
42	может быть и	1	1
43	сам же он	1	1
44	до конца и	3	1
45	в значительной степени	1	1
46	во всех этих	1	1
47	и ничего не	1	1
48	во всяком случае	5	1
49	в отношении к	6	1
50	потому не может	1	1
51	что они не	1	1
52	у него до	1	1
53	как бы не	1	1
54	и в том	2	1
55	и в плане	1	1
56	в начале xx	1	1
57	на протяжении всего	1	1
58	оно не может	1	1
59	себя в них	1	1
60	не видят и	1	1
61	мы имеем в	1	1
62	о том что	1	1
63	для нас в	1	1
64	можно было бы	2	1
65	в том что	1	1
66	выходит за пределы	3	1
67	видят и не	1	1
