N	3gram	Nazirov_Tr_1	FransuaR
1	то же время	5	9
2	в то же	5	9
3	в том что	2	6
4	но в то	2	5
5	в связи с	1	5
6	в чем же	1	2
7	в отличие от	2	2
8	в известной мере	1	2
9	это очень важно	2	2
10	в данном случае	2	2
11	не может быть	1	2
12	все эти образы	1	2
13	xii и xiii	1	2
14	в году в	2	1
15	ко всему что	1	1
16	с начала и	1	1
17	не только о	1	1
18	в самом деле	1	1
19	и всегда будет	1	1
20	и до конца	1	1
21	же время он	1	1
22	как и все	1	1
23	что он не	1	1
24	начала и до	1	1
25	своего отца и	1	1
26	в своей книге	1	1
27	и в частности	2	1
28	так и в	3	1
29	как и в	1	1
30	о том что	2	1
31	и в самом	2	1
32	свою жизнь и	1	1
33	как своего рода	1	1
34	после того как	1	1
35	это не просто	1	1
36	тем не менее	1	1
