1	в том что	6	11
2	в отличие от	4	5
3	в то же	1	5
4	то же время	1	5
5	в связи с	1	4
6	не только в	1	4
7	и прежде всего	3	3
8	в этом отношении	3	2
9	с одной стороны	2	2
10	дело в том	2	2
11	но при этом	1	2
12	с точки зрения	3	2
13	во всяком случае	1	2
14	по отношению к	1	2
15	чуть ли не	1	2
16	и в литературе	2	1
17	и в частности	2	1
18	в том числе	10	1
19	по ту сторону	1	1
20	жизни но и	1	1
21	а как бы	1	1
22	это приводит к	1	1
23	никогда не остается	1	1
24	в xix веке	1	1
25	бы ни были	1	1
26	эти и подобные	1	1
27	к себе самому	2	1
28	и не только	1	1
29	а затем в	1	1
30	но дело в	1	1
31	том что он	1	1
32	языка на котором	1	1
33	в отношении к	1	1
34	и подобные им	1	1
35	в себя и	1	1
36	в значительной степени	2	1
37	культуры и в	1	1
38	как раз и	2	1
39	в сущности не	1	1
40	жизни и искусства	1	1
41	далеко не полно	1	1
42	не может быть	1	1
43	все более и	1	1
44	это уже не	3	1
45	к тому же	1	1
46	так и не	3	1
47	одно из величайших	1	1
48	во второй половине	2	1
49	в сущности только	1	1
50	на самом деле	2	1
51	во внешнем мире	1	1
52	в самом деле	1	1
53	теми или иными	1	1
54	себе самому и	1	1
55	но все же	2	1
56	не может стать	1	1
57	еще и в	1	1
58	более и более	1	1
59	в последнее время	1	1
60	с другой стороны	1	1
61	в целом ряде	1	1
62	но в то	1	1
63	в это время	2	1
64	тех или иных	1	1
65	в большинстве случаев	2	1
66	резко отличается от	1	1
67	к тому чтобы	1	1
68	до сих пор	4	1
