N	3gram	Tiupa_Teor_1	StatiiOP
1	в том что	8	16
2	о том что	1	11
3	для того чтобы	1	5
4	к тому что	2	5
5	дело в том	1	4
6	иметь в виду	1	3
7	так же как	1	3
8	обращает на себя	1	3
9	с другой стороны	5	3
10	том что в	1	2
11	в сочетании с	2	2
12	на себя внимание	1	2
13	в одной из	1	2
14	с точки зрения	3	2
15	в отличие от	6	2
16	бы то ни	1	2
17	как раз в	1	2
18	в значительной степени	1	2
19	то ни было	1	2
20	мере в какой	1	2
21	более или менее	2	2
22	не только не	2	2
23	той мере в	1	2
24	тем не менее	3	2
25	в той мере	1	2
26	том что она	1	1
27	а между тем	1	1
28	в виду что	1	1
29	следует подчеркнуть что	1	1
30	в этом смысле	2	1
31	между тем в	1	1
32	вследствие того что	1	1
33	с которыми он	1	1
34	точно так же	1	1
35	именно в этом	1	1
36	одно и то	1	1
37	не могло быть	2	1
38	в данном случае	5	1
39	себе отчет в	1	1
40	и то же	1	1
41	в известном смысле	1	1
42	по большей части	1	1
43	так или иначе	4	1
44	своем отношении к	1	1
45	в связи с	1	1
46	не только к	1	1
47	на вопрос о	1	1
48	относится не только	1	1
49	по отношению к	4	1
50	то же время	5	1
51	заключается в том	1	1
52	в то время	1	1
53	имея в виду	1	1
54	в свою очередь	2	1
55	но он не	1	1
56	в статье о	1	1
57	в данном отношении	1	1
58	в то же	5	1
59	в том-то и	1	1
60	в том числе	2	1
61	говорит что он	1	1
62	в отношении к	1	1
63	дело не в	1	1
