N	3gram	Propp_Morf_1	OGranits
1	с точки зрения	2	5
2	не может быть	9	4
3	по отношению к	4	3
4	одно и то	1	3
5	но так как	1	2
6	в данном случае	1	2
7	с одной стороны	1	2
8	и то же	1	2
9	с другой стороны	4	2
10	с самого начала	1	2
11	в том что	3	2
12	весь этот материал	1	1
13	связаны между собою	1	1
14	в нашей работе	1	1
15	между тем мы	1	1
16	с ними и	1	1
17	и вне этой	1	1
18	в чем же	1	1
19	иметь в виду	1	1
20	мы не сумеем	2	1
21	а вовсе не	1	1
22	всегда связана с	1	1
23	более или менее	2	1
24	на самом деле	4	1
25	подобно тому как	5	1
26	и в некоторых	1	1
27	во всей своей	1	1
28	еще тем что	1	1
29	в этом отношении	1	1
30	то что в	2	1
31	в собственном смысле	3	1
32	и пр на	1	1
33	может быть и	2	1
34	другой стороны оно	1	1
35	и пр с	1	1
36	для того чтобы	2	1
37	далеко не всегда	1	1
38	один из наиболее	1	1
39	состоит в том	2	1
40	а также и	3	1
41	не входит в	1	1
42	тем не менее	4	1
43	может быть объяснено	1	1
44	в одном случае	1	1
45	в связи с	8	1
46	это и не	2	1
47	собственном смысле слова	3	1
48	в тех случаях	2	1
49	не может входить	1	1
50	мы не можем	1	1
51	таким образом мы	5	1
52	на то что	2	1
53	тех случаях когда	2	1
54	к тому что	3	1
55	тех или иных	1	1
56	как и в	2	1
