N	4gram	Nazirov_Tr_1	Tvorches
1	в то же время	5	12
2	но в то же	2	4
3	в преступлении и наказании	2	3
4	то же время он	1	2
5	петербургские сновидения в стихах	1	1
6	и добро и зло	1	1
7	это как бы неточка	1	1
8	униженных и оскорбленных в	2	1
9	в романе униженные и	1	1
10	из униженных и оскорбленных	1	1
11	хотя бы и в	1	1
12	ведет к тому что	1	1
13	романе униженные и оскорбленные	1	1
14	сновидения в стихах и	1	1
15	бы неточка незванова прошедшая	1	1
16	мечтателя из белых ночей	1	1
17	в году в петербурге	1	1
18	как бы неточка незванова	1	1
19	записках из мертвого дома	2	1
20	в записках из мертвого	2	1
21	незванова прошедшая через каторгу	1	1
22	если так можно выразиться	1	1
23	к этой теме в	1	1
24	в стихах и прозе	1	1
25	в униженных и оскорбленных	6	1
26	неточка незванова прошедшая через	1	1
