N	4gram	Ircho_Kome_3	Problema
1	в то время как	2	3
2	в до н э	1	2
3	iii в н э	1	2
4	и о том что	1	2
5	ни малейшего намека на	1	1
6	у того же автора	1	1
7	бы то ни было	2	1
8	таким же образом как	1	1
9	в том что его	1	1
10	состоит в том что	1	1
11	в середине iv в	1	1
12	вопрос о том как	1	1
13	с этой точки зрения	1	1
14	в том числе и	1	1
15	и до сих пор	1	1
16	тем не менее в	1	1
17	вместе с тем он	1	1
18	с одной стороны он	1	1
19	в то же время	4	1
20	несмотря на то что	1	1
21	не говоря уже о	1	1
