N	3gram	Propp_Russ_1	Myshleni
1	в том что	15	19
2	по отношению к	1	10
3	с точки зрения	3	10
4	к тому что	4	7
5	так же как	1	6
6	в то время	1	6
7	можно сказать что	1	6
8	можно было бы	1	5
9	друг с другом	1	5
10	и того же	1	4
11	потому что он	1	4
12	на то что	1	4
13	одного и того	1	4
14	как мы видели	1	4
15	в этом отношении	1	3
16	друг к другу	2	3
17	состоит в том	8	2
18	понятия так как	1	2
19	это означает что	1	2
20	в этом случае	5	2
21	независимо от того	1	2
22	с тем что	1	2
23	на этот вопрос	1	2
24	прямо и непосредственно	1	2
25	одном и том	1	2
26	вместе с тем	6	2
27	и том же	1	2
28	с тем и	2	2
29	совершенно очевидно что	1	2
30	в связи с	4	2
31	эту точку зрения	1	2
32	том что в	6	1
33	что иное как	2	1
34	что в основе	1	1
35	но и по	1	1
36	не только по	2	1
37	не встречаются в	1	1
38	в настоящей работе	1	1
39	на самом деле	1	1
40	имеет место на	1	1
41	одна из основных	1	1
42	никак не может	1	1
43	в которых наиболее	1	1
44	же как и	1	1
45	тому что в	1	1
46	что мы имеем	1	1
47	в отличие от	1	1
48	было известно в	1	1
49	как это часто	1	1
50	в собственном смысле	1	1
51	точно так же	1	1
52	этот вопрос можно	1	1
53	это не имеет	1	1
54	приводят нас к	1	1
55	и могут быть	1	1
56	как мы знаем	1	1
57	не значит что	2	1
58	приводит к тому	1	1
59	в данном случае	1	1
60	не потому что	1	1
61	один из них	2	1
62	не только в	1	1
63	чем можно объяснить	1	1
64	этот вопрос был	1	1
65	и в этом	1	1
66	так как по	1	1
67	самом деле как	1	1
68	но вместе с	1	1
69	в том какие	1	1
70	это не значит	2	1
71	вопрос о том	1	1
72	потому что они	1	1
73	в совершенно ином	1	1
74	установить что в	1	1
75	и как бы	1	1
76	только тогда когда	1	1
77	мы не можем	3	1
78	не что иное	2	1
79	как и в	1	1
80	он должен был	1	1
81	в свою очередь	2	1
82	но совершенно очевидно	1	1
83	к выводу что	2	1
84	и в и	1	1
85	у нас в	1	1
86	во второй половине	1	1
87	после того как	2	1
88	тем не менее	3	1
89	при котором в	1	1
90	подобно тому как	1	1
91	ничего общего с	1	1
92	что и в	1	1
93	привела к тому	1	1
94	в настоящее время	3	1
95	том же а	1	1
