N	3gram	Berdyaev_O_1	Hudozhes
1	о том что	1	9
2	в том что	1	6
3	в самом деле	1	4
4	в этом отношении	1	3
5	и в самом	1	3
6	как и в	1	3
7	том что в	1	2
8	о том как	1	2
9	не в том	1	2
10	в этих словах	1	2
11	что у него	2	2
12	вместо того чтобы	1	2
13	не может быть	2	2
14	на то что	1	2
15	ничего не делает	1	1
16	прежде всего в	1	1
17	мысли как это	1	1
18	все та же	1	1
19	и в этом	2	1
20	человека а не	1	1
21	том случае если	1	1
22	в иных случаях	1	1
23	в его жизни	1	1
24	ошибочно было бы	1	1
25	ни с какой	1	1
26	заключает в себе	1	1
27	как и все	2	1
28	в том случае	1	1
29	которым можно было	1	1
30	которого они в	1	1
31	что в центре	1	1
32	чем у его	1	1
33	во всяком случае	1	1
34	как бы в	1	1
35	во внутренней своей	1	1
36	между этими двумя	1	1
37	как будто бы	1	1
38	в этом он	2	1
39	с тем что	2	1
40	утра до вечера	1	1
41	ни у кого	2	1
42	то что ведь	1	1
43	приходит в голову	1	1
44	друг с другом	1	1
45	с утра до	1	1
46	не растворяется в	1	1
