N	2gram	Potebnia_M_1	VLabPisa
1	таким образом	13	27
2	в этом	15	26
3	и в	39	25
4	и т	6	24
5	не только	21	22
6	может быть	27	21
7	хотя бы	2	20
8	и не	18	19
9	не может	22	17
10	т д	4	15
11	в его	5	15
12	в письме	1	14
13	этом отношении	1	13
14	в том	26	13
15	прежде всего	4	13
16	все это	1	12
17	с другой	7	11
18	из них	1	11
19	не могут	4	10
20	о том	2	10
21	то же	6	9
22	что в	22	9
23	по этому	2	9
24	для него	4	9
25	т п	4	9
26	но и	20	9
27	к этому	1	9
28	в своем	3	8
29	все эти	1	8
30	по словам	1	8
31	не следует	5	8
32	на основании	2	8
33	другой стороны	5	8
34	могут быть	9	8
35	во всех	5	7
36	по отношению	13	7
37	из этих	4	7
38	было бы	12	7
39	как и	9	7
40	том что	16	7
41	произведения и	1	7
42	не было	4	7
43	а не	21	7
44	вместе с	8	7
45	же в	2	7
46	отношению к	13	7
47	в зависимости	1	6
48	более или	1	6
49	в себе	13	6
50	в нем	20	6
51	это не	7	6
52	или менее	1	6
53	их в	1	6
54	том же	2	6
55	и его	5	6
56	в то	4	6
57	так и	13	6
58	между тем	5	6
59	у него	1	6
60	то что	10	6
61	одним из	2	5
62	и есть	2	5
63	в их	2	5
64	зависимости от	1	5
65	очевидно что	3	5
66	все же	6	5
67	и при	3	5
68	не в	15	5
69	тому что	3	5
70	же время	4	5
71	связи с	3	5
72	приводит к	1	5
73	один из	1	5
74	следует понимать	1	5
75	он говорит	1	5
76	как бы	6	5
77	в результате	1	5
78	сказать что	3	5
79	только в	25	5
80	их и	2	4
81	с его	1	4
82	в этой	3	4
83	перед нами	1	4
84	когда он	1	4
85	в самом	3	4
86	в целом	2	4
87	что все	3	4
88	них не	2	4
89	в них	3	4
90	даже в	1	4
91	никогда не	4	4
92	говорит следующее	2	4
93	к тому	4	4
94	должен быть	1	4
95	в ее	1	4
96	познания и	2	4
97	с ними	1	4
98	что он	1	4
99	в единстве	2	4
100	в одном	8	4
101	в связи	1	4
102	равно как	1	4
103	в своей	3	4
104	например в	1	3
105	человека и	1	3
106	в котором	1	3
107	из его	1	3
108	его не	1	3
109	имеет свою	1	3
110	в основных	1	3
111	в которых	1	3
112	видели что	1	3
113	но как	3	3
114	явлений и	3	3
115	что они	1	3
116	с этим	7	3
117	и как	6	3
118	следующим образом	1	3
119	в противоположность	1	3
