N	3gram	Tiupa_Anal_1	Komedia
1	до сих пор	1	9
2	в том что	9	9
3	в самом деле	2	6
4	для того чтобы	3	6
5	в свою очередь	1	6
6	в то же	8	4
7	о том что	3	4
8	то же время	6	4
9	к тому же	4	4
10	по отношению к	5	3
11	о том как	1	3
12	с точки зрения	4	3
13	и т п	3	3
14	вместе с тем	1	3
15	в связи с	1	3
16	во всяком случае	1	3
17	до тех пор	1	3
18	и в самом	1	3
19	с одной стороны	3	3
20	то же самое	2	3
21	состоит в том	3	2
22	бы то ни	3	2
23	в этом отношении	2	2
24	вместе с ним	2	2
25	только для того	1	2
26	в этой связи	1	2
27	то ни было	3	2
28	по отношению ко	1	2
29	с другой стороны	2	2
30	в конечном счете	4	2
31	не в состоянии	1	1
32	как уже говорилось	1	1
33	и к тому	2	1
34	на себя внимание	1	1
35	отношению ко всем	1	1
36	более или менее	1	1
37	равно как и	1	1
38	имеем в виду	1	1
39	не говоря уже	1	1
40	подобно тому как	3	1
41	в том числе	3	1
42	в соответствии с	1	1
43	так и не	1	1
44	событие о котором	1	1
45	говоря уже о	1	1
46	в зависимости от	1	1
47	не было и	1	1
48	в отличие от	6	1
49	и не может	4	1
50	а в качестве	1	1
51	с этой точки	1	1
52	по крайней мере	1	1
53	ему и не	1	1
54	и в частности	1	1
55	обращает на себя	1	1
56	в том чтобы	7	1
57	далеко не всегда	2	1
58	в первом случае	2	1
59	как он полагает	1	1
60	не сводится к	2	1
61	следует понимать как	1	1
62	и в пределах	1	1
63	если не будет	1	1
64	не в мире	1	1
65	этой точки зрения	1	1
66	приходится прибегать к	1	1
67	для них обоих	1	1
68	на вопрос почему	1	1
69	в основе своей	2	1
70	и остается в	1	1
71	мы имеем в	1	1
72	к тому что	1	1
73	даже если он	1	1
74	друг с другом	1	1
75	при известии о	1	1
76	в том же	1	1
77	том числе и	1	1
78	в свое время	2	1
