N	3gram	Vygotskiy__2	StatiiOP
1	и т д	2	21
2	в том что	17	17
3	о том что	4	11
4	для того чтобы	13	10
5	и т п	8	9
6	с точки зрения	10	8
7	можно было бы	4	8
8	до сих пор	5	7
9	в этом отношении	5	7
10	на самом деле	5	6
11	в данном случае	4	6
12	с другой стороны	2	6
13	во всяком случае	2	6
14	в самом деле	11	5
15	в этой области	2	5
16	не может быть	8	5
17	то же время	2	4
18	того или иного	2	4
19	что и в	3	4
20	нужно сказать что	1	4
21	на то что	6	4
22	в то же	2	4
23	том что в	2	3
24	что же касается	1	3
25	только в том	4	3
26	то или иное	1	3
27	так же как	4	3
28	должна была бы	1	3
29	в том как	1	3
30	заключается в том	10	3
31	ничего общего с	1	3
32	и в самом	4	3
33	т п в	1	3
34	за то что	1	3
35	не значит что	1	3
36	в свое время	1	2
37	что в этой	2	2
38	так как в	2	2
39	и даже не	1	2
40	в этом случае	1	2
41	и в том	2	2
42	но и в	1	2
43	и то что	2	2
44	по крайней мере	1	2
45	точки зрения их	1	2
46	то обстоятельство что	1	2
47	с одной стороны	1	2
48	в то время	3	2
49	имеем дело с	1	2
50	не в том	2	2
51	тем что в	1	2
52	не имеет ничего	1	2
53	он должен был	1	2
54	по этому поводу	1	2
55	в том смысле	1	2
56	тем не менее	4	2
57	как и в	2	2
58	то все же	1	1
59	а между тем	1	1
60	потому что он	1	1
61	само собой разумеется	1	1
62	ответ на этот	1	1
63	то ни стало	1	1
64	объясняется тем что	1	1
65	в этом смысле	1	1
66	того материала который	2	1
67	я позволю себе	1	1
68	в том и	2	1
69	а не по	1	1
70	том что он	3	1
71	свидетельствует о том	1	1
72	же как и	1	1
73	во что бы	1	1
74	в одну кучу	1	1
75	в зависимости от	1	1
76	сами по себе	3	1
77	что он не	2	1
78	бы то ни	2	1
79	все эти утверждения	1	1
80	только то что	1	1
81	точно так же	3	1
82	на этот вопрос	2	1
83	может быть даже	1	1
84	что в то	1	1
85	в том случае	4	1
86	и в этих	1	1
87	и в других	1	1
88	что бы то	1	1
89	но и это	1	1
90	о том как	1	1
91	ясно что и	1	1
92	то время как	2	1
93	все это очень	1	1
94	но вытекает ли	1	1
95	чтобы убедиться в	1	1
96	и что в	2	1
97	этом случае есть	1	1
98	тот факт что	1	1
99	домик в коломне	1	1
100	представление о том	2	1
101	то что для	1	1
102	в том чтобы	3	1
103	то что она	3	1
104	ясно что при	1	1
105	что оба эти	1	1
106	совершенно непонятным почему	1	1
107	который видит в	1	1
108	таким путем в	1	1
109	как будто бы	1	1
110	а с другой	1	1
111	то что было	1	1
112	что в таком	1	1
113	которые тем не	1	1
114	в каком случае	1	1
115	потому что она	2	1
116	это объясняется тем	1	1
117	это можно было	1	1
118	и таким образом	2	1
119	который заключается в	1	1
120	надо сказать что	2	1
121	ни в каком	2	1
122	таким образом в	2	1
123	и не имеет	1	1
124	собой разумеется что	1	1
125	том смысле что	1	1
126	те или иные	1	1
127	с того что	1	1
128	и никогда не	2	1
129	когда говорит о	1	1
130	и не может	2	1
131	в капитанской дочке	1	1
132	этих случаев в	1	1
133	целый ряд таких	1	1
134	каком случае не	1	1
135	друг от друга	1	1
136	же можно было	1	1
137	в рифме в	1	1
138	после того как	1	1
139	к тому что	2	1
140	в узком смысле	1	1
141	бы и сейчас	1	1
142	что в сознании	1	1
143	нечего и говорить	1	1
144	в конце концов	3	1
145	не только все	1	1
146	он не только	1	1
147	и так в	1	1
148	то что называют	2	1
