N	2gram	Kanaev_Sov_1	Komedia
1	и в	7	22
2	том что	1	12
3	в том	4	11
4	не только	4	10
5	в то	1	10
6	из них	4	10
7	как и	6	9
8	может быть	12	9
9	таким образом	11	8
10	о том	1	8
11	и его	1	8
12	в одном	3	8
13	и не	6	8
14	в этой	3	7
15	то же	3	6
16	и по	2	6
17	не в	3	6
18	ни в	1	6
19	в конце	3	6
20	одного из	1	6
21	такого рода	2	6
22	а в	4	6
23	в которой	2	6
24	что в	2	6
25	на его	2	5
26	при этом	3	5
27	еще в	1	5
28	и даже	2	5
29	один из	1	5
30	уже в	3	5
31	в его	2	5
32	прежде всего	5	5
33	с другой	1	5
34	все это	3	5
35	но в	3	4
36	в нем	3	4
37	в другом	1	4
38	несмотря на	1	4
39	точки зрения	12	4
40	так как	4	4
41	как мы	2	4
42	же время	1	4
43	так в	1	4
44	ясно что	3	4
45	мы можем	6	4
46	именно в	1	4
47	и особенно	1	4
48	в результате	6	4
49	же в	1	4
50	к этому	1	4
51	новое время	1	3
52	же как	1	3
53	идет о	1	3
54	мы не	9	3
55	с одной	2	3
56	в этом	7	3
57	все же	3	3
58	хотя и	1	3
59	в целом	4	3
60	он не	1	3
61	и еще	1	3
62	его в	1	3
63	вопрос о	4	3
64	не менее	2	3
65	по отношению	1	3
66	ничего не	6	3
67	у нас	3	3
68	могут быть	2	3
69	тот же	2	3
70	одной из	1	3
71	только в	1	3
72	и у	1	3
73	в виде	2	3
74	в начале	1	3
75	у него	2	3
76	к которому	1	3
77	все более	1	3
78	так же	1	3
79	одной стороны	1	3
80	в течение	1	3
81	в любом	1	3
82	здесь в	1	3
83	и все	3	3
84	отношению к	1	3
85	как известно	2	2
86	того же	1	2
87	здесь и	1	2
88	на две	3	2
89	из всех	1	2
90	в и	2	2
91	которую можно	1	2
92	бы то	1	2
93	совсем не	1	2
94	отличие от	2	2
95	чем же	1	2
96	независимо от	1	2
97	для ее	1	2
98	в самом	2	2
99	из нескольких	1	2
100	в известном	1	2
101	в себе	3	2
102	только один	2	2
103	на этом	2	2
104	то ни	2	2
105	было бы	3	2
106	в новое	1	2
107	для них	1	2
108	мы видели	4	2
109	такой же	2	2
110	всяком случае	2	2
111	почти не	1	2
112	тем не	2	2
113	в древней	1	2
114	одна из	3	2
115	в области	3	2
116	ли это	1	2
117	же самое	2	2
118	с ее	1	2
119	поэтому мы	3	2
120	времени и	2	2
121	в споре	1	2
122	аналогии с	1	2
123	и во	2	2
124	еще не	3	2
125	из которых	2	2
126	мы знаем	2	2
127	могли быть	1	2
128	вовсе не	1	2
129	и из	1	2
130	до сих	1	2
131	на которые	1	2
132	то и	2	2
133	не может	17	2
134	вместе с	4	2
135	но не	1	2
136	к нему	1	2
137	сих пор	1	2
138	но это	1	2
139	или в	1	2
140	ни было	1	2
141	в свою	2	2
142	в действительности	1	2
143	в своих	1	2
144	во всяком	2	2
145	все что	1	2
146	и наиболее	1	1
147	можно говорить	1	1
148	в этот	1	1
149	на самом	1	1
150	не что	1	1
151	такое же	1	1
152	тем же	2	1
153	между двумя	1	1
154	от всяких	1	1
155	в зависимости	4	1
156	по его	1	1
157	мы уже	1	1
158	той же	2	1
159	по мнению	2	1
160	для своего	1	1
161	что иное	1	1
162	к началу	1	1
163	зависимости от	4	1
164	в мире	1	1
165	в ней	1	1
166	работы в	1	1
167	иное как	1	1
168	быть в	1	1
169	во всех	1	1
170	но конечно	1	1
171	как у	1	1
172	он может	3	1
173	два основных	1	1
174	друг на	1	1
175	отнюдь не	3	1
176	каждая из	2	1
177	с этим	2	1
178	дает нам	2	1
179	в своем	1	1
180	и к	3	1
181	за все	1	1
182	за собой	1	1
183	жизни к	1	1
184	не приходится	1	1
185	что это	2	1
186	мы получаем	3	1
187	он в	3	1
188	что же	5	1
189	из этих	2	1
190	одном случае	1	1
191	приводит к	2	1
192	только на	1	1
193	остановиться на	1	1
194	и тот	1	1
195	роль в	2	1
196	и те	1	1
197	как он	3	1
198	о принципиальной	2	1
199	к одному	1	1
200	по существу	1	1
201	у читателя	1	1
202	прошлого века	1	1
203	одному и	1	1
204	что она	3	1
205	но все	2	1
206	человека в	1	1
207	что все	2	1
208	в совершенно	1	1
209	конечно в	2	1
210	на этой	3	1
211	обоих случаях	1	1
212	дома и	1	1
213	уже знаем	1	1
214	должен был	1	1
215	нет в	1	1
216	все равно	1	1
217	которой он	2	1
218	всегда и	1	1
219	жизни но	1	1
220	путем и	1	1
221	в эту	1	1
222	но если	1	1
223	именно та	1	1
224	наших дней	1	1
225	те явления	1	1
226	в отличие	2	1
227	что уже	1	1
228	которые в	1	1
229	в первое	1	1
230	и более	1	1
231	таких случаев	1	1
232	по себе	1	1
233	этой области	1	1
234	но они	1	1
235	делится на	1	1
236	в обоих	1	1
237	самого начала	3	1
238	для каждого	1	1
239	если в	1	1
240	с и	1	1
241	а может	1	1
242	он с	1	1
243	не стремится	1	1
244	в науке	2	1
245	к концу	1	1
246	века с	1	1
247	с новой	1	1
248	мы помним	1	1
249	каждый раз	6	1
250	и для	1	1
251	по своим	1	1
252	не могут	2	1
253	хотя конечно	1	1
254	это конечно	1	1
255	для развития	2	1
256	новой силой	1	1
257	его с	1	1
258	уже на	1	1
259	в каждом	8	1
260	в пьесе	1	1
261	и это	1	1
262	это только	1	1
263	данном случае	1	1
264	с самого	3	1
265	говорить о	2	1
266	в дальнейшем	4	1
267	пример такого	1	1
268	по аналогии	1	1
269	можно было	1	1
270	те же	1	1
271	каждого из	2	1
272	когда в	1	1
273	с ним	1	1
274	с человеком	1	1
275	которых по	1	1
276	и что	2	1
277	утверждает что	1	1
278	все его	1	1
279	требует новых	1	1
280	образом все	1	1
281	на ее	1	1
282	отметить что	1	1
283	и только	1	1
284	и следовательно	1	1
285	различия между	1	1
286	три направления	1	1
287	этого можно	1	1
288	природой и	1	1
289	ее конец	1	1
290	до наших	1	1
291	в большинстве	1	1
292	ни одного	1	1
293	не принимает	1	1
294	не дает	2	1
295	в данной	1	1
296	на эту	1	1
297	этот раз	1	1
298	себе в	1	1
299	не случайно	1	1
300	ее на	2	1
301	известных нам	2	1
302	из двух	3	1
303	представление о	1	1
304	на этот	2	1
305	и прежде	1	1
306	на которых	1	1
307	элементов и	1	1
308	вторая половина	2	1
309	первые два	2	1
310	современная наука	1	1
311	иначе его	1	1
312	так называемых	3	1
313	нет никаких	1	1
314	и потому	3	1
315	следует не	1	1
316	в самый	1	1
317	в данном	1	1
318	как бы	4	1
319	а потом	1	1
320	для их	1	1
321	возникновения и	1	1
322	в условиях	5	1
323	не знаем	2	1
324	только одна	6	1
325	термин этот	1	1
326	это уже	1	1
327	на такой	1	1
328	в духе	1	1
329	или нет	1	1
330	в третьем	2	1
331	еще более	2	1
332	с понятием	1	1
333	не знает	1	1
334	сказать что	1	1
335	связей и	1	1
336	совершенно не	2	1
337	развития и	1	1
338	именно к	1	1
339	ли он	1	1
340	на это	1	1
341	жизни и	4	1
342	и эта	1	1
343	в таком	2	1
344	они не	1	1
