N	3gram	Tiupa_Hudo_1	KFilosof
1	по отношению к	9	21
2	не может быть	3	11
3	с точки зрения	3	10
4	отношению к нему	1	4
5	в данный момент	2	3
6	в этом смысле	3	3
7	того или иного	3	3
8	ни к чему	1	2
9	имеем в виду	3	2
10	в соответствии с	1	2
11	она могла бы	1	2
12	бы то ни	1	2
13	во всей его	2	2
14	он ни был	1	2
15	то или иное	1	2
16	то ни было	1	2
17	и не быть	1	2
18	для меня в	1	2
19	то же время	5	2
20	к чему не	1	2
21	той или иной	4	2
22	в то же	5	2
23	тем не менее	3	2
24	в том что	7	2
25	себя в другом	1	1
26	в этом мире	2	1
27	мы говорим о	1	1
28	все с чем	1	1
29	неслиянное и нераздельное	1	1
30	и того же	2	1
31	в настоящее время	1	1
32	если он не	1	1
33	одно из проявлений	1	1
34	смысле можно говорить	1	1
35	не было и	1	1
36	тем или иным	1	1
37	по своей структуре	1	1
38	в которой я	1	1
39	вследствие того что	1	1
40	ведь это не	1	1
41	в основе своей	1	1
42	в противном случае	2	1
43	позицию по отношению	1	1
44	случае мы имеем	1	1
45	в данном контексте	2	1
46	может быть и	2	1
47	и в то	1	1
48	ту или иную	1	1
49	не совпадает с	1	1
50	мира и его	1	1
51	отношении к нему	1	1
52	не содержит в	1	1
53	для меня эта	1	1
54	в известном смысле	1	1
55	и по отношению	1	1
56	в том случае	1	1
57	себя в своих	1	1
58	в одном случае	1	1
59	и это существенно	1	1
60	быть не может	1	1
61	заключать в себе	1	1
62	для того чтобы	2	1
63	своей причастности к	1	1
64	и не субъективно	1	1
65	я в мире	6	1
66	по себе а	1	1
67	в значительной степени	1	1
68	не была бы	1	1
69	в свою очередь	2	1
70	и тем самым	1	1
71	в конечном счете	5	1
72	точки зрения автора	1	1
73	весь мир все	1	1
74	одного и того	2	1
75	однако по своей	1	1
76	но не в	1	1
77	всей его полноте	1	1
78	к тому что	2	1
79	возможна только в	1	1
80	дело не в	1	1
81	в себе в	1	1
82	уже не мыслится	1	1
83	этом смысле можно	1	1
84	то же самое	1	1
85	входит в его	1	1
