N	2gram	Savitsky_E_1	BTomashe
1	у нас	1	3
2	и не	14	2
3	в ней	4	2
4	можно было	3	2
5	лучше и	1	2
6	больше чем	1	2
7	говорить о	1	1
8	во всяком	3	1
9	самом понятии	1	1
10	по нашему	3	1
11	с другой	7	1
12	вопрос о	4	1
13	нашему мнению	2	1
14	в своей	8	1
15	между ними	2	1
16	всяком случае	3	1
17	и о	1	1
18	в области	11	1
19	следовало бы	2	1
20	и ее	1	1
21	сейчас в	1	1
22	и в	37	1
23	так и	10	1
24	то как	1	1
25	за пределы	1	1
26	не о	1	1
27	также что	1	1
28	об этом	1	1
29	что все	2	1
30	пожалуй и	2	1
31	не было	1	1
32	и во	2	1
33	должна быть	2	1
34	кроме того	1	1
35	было бы	8	1
36	отнюдь не	9	1
37	одной из	5	1
38	далеко не	2	1
39	бы только	1	1
40	и потому	5	1
41	то нельзя	2	1
42	в пределах	25	1
43	в значительной	2	1
44	чем на	2	1
45	все же	1	1
46	выходит за	1	1
47	меньше чем	2	1
48	и более	2	1
49	говорить не	1	1
50	прежде всего	9	1
51	творчества и	1	1
52	свести к	1	1
53	что в	21	1
54	таким образом	2	1
55	к ней	4	1
56	всего в	2	1
57	можно в	2	1
58	как будто	2	1
59	не только	18	1
60	в данном	3	1
61	и на	6	1
62	другой стороны	2	1
63	значительной степени	1	1
64	тем более	4	1
65	а не	2	1
