N	2gram	Propp_Isto_4	Problemy
1	и в	26	46
2	и не	9	27
3	может быть	14	23
4	не может	6	19
5	как бы	3	19
6	в нем	2	17
7	в этом	7	16
8	не только	15	14
9	перед нами	3	12
10	как мы	5	12
11	но и	12	12
12	как и	7	12
13	и на	2	11
14	точки зрения	1	11
15	в одном	5	11
16	а не	6	11
17	в пределах	1	10
18	не в	5	10
19	между ними	3	10
20	и к	1	9
21	и все	2	9
22	в его	5	9
23	в том	3	9
24	в большинстве	1	9
25	вовсе не	4	9
26	прежде всего	1	9
27	до сих	5	8
28	конечно не	2	8
29	большинстве случаев	1	8
30	сих пор	5	8
31	или в	3	8
32	еще не	6	7
33	в себе	2	7
34	и с	5	7
35	по себе	2	7
36	как раз	1	7
37	то же	8	6
38	никогда не	2	6
39	и он	3	6
40	хотя и	2	6
41	но в	5	6
42	ни в	2	6
43	что я	2	6
44	но это	3	6
45	на свой	1	6
46	и его	10	6
47	на предмет	1	6
48	о нем	1	6
49	в него	1	6
50	что он	10	6
51	только в	3	6
52	есть в	2	6
53	друг друга	1	6
54	к себе	3	6
55	все это	2	6
56	мы увидим	3	6
57	к другому	1	5
58	в котором	1	5
59	во всех	1	5
60	слова на	1	5
61	при этом	3	5
62	особенно в	1	5
63	это не	5	5
64	в то	1	5
65	это слово	1	5
66	о том	4	5
67	к нему	6	5
68	в тягость	1	5
69	если мы	1	5
70	так как	9	5
71	у него	5	5
72	жизни и	1	5
73	например в	3	4
74	мы не	1	4
75	на себя	4	4
76	но не	5	4
77	как в	7	4
78	все же	9	4
79	все эти	3	4
80	он не	7	4
81	людей и	1	4
82	таким образом	10	4
83	и наконец	1	4
84	он и	1	4
85	том что	3	4
86	в этих	7	4
87	своего рода	1	4
88	этих двух	1	4
89	во всем	3	4
90	потому что	6	4
91	здесь не	4	4
92	приводит к	1	4
93	так и	10	4
94	по мере	1	4
95	в виду	1	4
96	и здесь	5	4
97	и других	3	4
98	можно сказать	1	4
99	уже не	5	4
100	уже в	2	4
101	к ним	2	4
102	мы можем	6	4
103	превращается в	7	4
104	очень часто	1	4
105	на границе	1	4
106	а что	1	4
107	то что	16	4
108	не знает	1	4
109	что в	14	4
110	но эти	1	4
111	том числе	1	4
112	одним из	1	3
113	и это	1	3
114	между двумя	12	3
115	почти всегда	1	3
116	мы уже	5	3
117	той же	1	3
118	мы имеем	7	3
119	так чтобы	1	3
120	мы и	1	3
121	то это	5	3
