N	3gram	Propp_Isto_6	Mirosoze
1	не может быть	3	17
2	вместе с тем	3	5
3	но и в	2	4
4	и вместе с	1	4
5	с тем что	1	3
6	это значит что	1	3
7	по отношению к	2	2
8	до сих пор	4	2
9	и не может	1	2
10	в свою противоположность	1	2
11	к тому чтобы	1	2
12	в том смысле	1	2
13	то время как	3	2
14	не только в	4	2
15	в иной мир	1	2
16	это не значит	1	2
17	в то время	3	2
18	для того чтобы	1	2
19	и только он	1	1
20	на том что	1	1
21	что иное как	1	1
22	потому что он	2	1
23	в ней нет	2	1
24	а иногда и	1	1
25	в которых он	1	1
26	в ином мире	6	1
27	если он не	1	1
28	бежит от нее	1	1
29	и попал в	1	1
30	в зависимости от	1	1
31	но это не	1	1
32	он был и	1	1
33	вообще не существует	1	1
34	это прежде всего	1	1
35	так как они	1	1
36	от нее к	1	1
37	каждый раз когда	1	1
38	во всяком случае	2	1
39	как бы в	1	1
40	тем что в	1	1
41	и это более	1	1
42	и в том	1	1
43	между этими двумя	1	1
44	от того что	1	1
45	том смысле что	1	1
46	для него человек	1	1
47	что и в	2	1
48	потому что мы	1	1
49	мы имеем в	4	1
50	о том что	4	1
51	не значит что	1	1
52	не что иное	1	1
53	можно было бы	2	1
54	в них не	1	1
55	в том что	5	1
56	не потому ли	1	1
57	есть вместе с	1	1
