N	2gram	Berdyaev_N_1	Formalny
1	и в	16	38
2	в этом	7	27
3	может быть	7	23
4	и его	1	21
5	и пр	3	21
6	и не	11	20
7	в самом	1	16
8	не в	6	15
9	прежде всего	4	15
10	не может	16	14
11	в нем	5	13
12	но и	3	13
13	с его	6	11
14	с тем	3	11
15	в том	8	11
16	с другими	1	10
17	в его	1	10
18	не только	5	9
19	и с	2	9
20	как и	7	9
21	так и	2	8
22	тем что	1	8
23	лишь в	6	7
24	по себе	1	7
25	в своей	3	7
26	уже не	2	7
27	не могут	1	7
28	по существу	2	7
29	что в	9	7
30	в ней	5	6
31	в истории	3	6
32	все эти	2	6
33	в этой	1	6
34	было бы	1	6
35	он не	8	6
36	могут быть	2	6
37	все время	2	6
38	только в	1	6
39	то что	4	6
40	не было	4	6
41	вместе с	2	6
42	а не	17	6
43	хотя бы	2	6
44	а в	2	6
45	это и	2	5
46	по преимуществу	1	5
47	должна быть	3	5
48	говорить о	1	5
49	во всех	3	5
50	в то	2	5
51	в основе	3	5
52	и должно	2	5
53	и только	1	5
54	что он	1	5
55	всяком случае	1	5
56	с этим	2	5
57	и для	4	5
58	во всяком	1	5
59	высшей степени	6	4
60	в сущности	1	4
61	как в	3	4
62	и к	5	4
63	в статье	1	4
64	от нее	1	4
65	в высшей	6	4
66	не столько	1	4
67	к тому	3	4
68	но в	2	4
69	в большинстве	1	4
70	что не	1	4
71	из них	1	4
72	так как	1	4
73	лишь для	1	4
74	и даже	2	4
75	другой стороны	2	4
76	мы говорим	2	4
77	оно не	1	4
78	они не	1	4
79	же как	2	3
80	и до	1	3
81	в зависимости	1	3
82	мы не	2	3
83	то это	1	3
84	зависимости от	1	3
85	и на	2	3
86	значение и	1	3
87	хотя и	2	3
88	от этого	1	3
89	из этих	1	3
90	но ведь	1	3
91	роль в	2	3
92	значительной степени	1	3
93	это было	3	3
94	для них	1	3
95	он и	1	3
96	такой же	2	3
97	место в	2	3
98	в области	1	3
99	но все	1	3
100	не есть	3	3
101	того чтобы	2	3
102	в значительной	1	3
103	должно было	2	3
104	к нему	1	3
105	большинстве случаев	1	3
106	менее всего	1	3
107	и их	1	3
108	слова в	1	3
109	для того	1	3
110	с другой	3	3
111	том смысле	1	3
112	все это	5	3
113	и все	4	3
114	жизни и	8	3
115	формы и	2	2
116	в такой	1	2
117	был и	1	2
118	было и	1	2
119	это время	1	2
120	совсем не	12	2
121	но не	2	2
122	отличие от	1	2
123	ни одна	2	2
124	в которой	1	2
125	уже в	1	2
126	он в	1	2
127	своем развитии	1	2
128	не к	2	2
129	и более	1	2
130	в основу	1	2
131	том случае	1	2
132	ни в	6	2
133	должно быть	4	2
134	том что	2	2
135	в этих	1	2
136	в отличие	1	2
137	их в	1	2
138	не могли	2	2
139	для этого	2	2
140	она не	3	2
141	не имеет	4	2
142	не по	1	2
143	никогда не	6	2
144	не останется	1	2
145	есть только	1	2
146	и это	2	2
147	на нем	1	2
148	в ее	3	2
149	и от	2	2
150	приводит к	1	2
151	времени и	2	2
152	мы в	1	2
153	в эпоху	9	2
154	с ним	1	2
155	в виду	1	2
156	только так	1	2
157	это не	4	2
158	этом смысле	2	2
159	не будет	7	2
160	потому что	4	2
161	же и	1	2
162	вопроса о	1	2
163	и нового	1	2
164	в котором	1	2
165	сами по	1	2
166	в конце	1	2
167	говорим о	1	2
168	в каких	1	2
169	превращается в	1	2
170	ничем не	1	2
171	есть лишь	4	2
172	все более	1	2
173	как это	2	2
174	становится в	1	2
175	центр тяжести	2	2
176	в той	1	2
177	как например	1	2
178	но это	6	2
179	в чем	1	2
180	а к	1	2
181	от всякого	2	2
182	сказать что	3	2
183	от всех	1	2
184	равно как	2	2
185	которых не	2	1
186	от этой	1	1
187	и а	1	1
188	и через	1	1
189	связана с	2	1
190	того же	1	1
191	ведь и	2	1
192	к созданию	2	1
193	и этот	1	1
194	от истины	1	1
195	совсем особое	1	1
196	на место	1	1
197	но она	2	1
198	как не	8	1
199	из ее	2	1
200	на их	1	1
201	то он	1	1
202	характерная для	1	1
203	силы и	2	1
204	в эти	1	1
205	в своем	1	1
206	и нет	1	1
207	к новому	7	1
208	каким путем	1	1
209	и есть	10	1
210	глубже чем	1	1
211	всего как	1	1
212	отнесены к	1	1
213	к отрицанию	1	1
214	в этот	1	1
215	духа в	2	1
216	роли какую	1	1
217	бы сказать	1	1
218	думать что	2	1
219	с их	2	1
220	особое место	1	1
221	но он	1	1
222	дальше и	1	1
223	слова новым	1	1
224	не могла	2	1
225	было быть	1	1
226	самая постановка	1	1
227	вера в	1	1
228	и еще	1	1
229	к одному	1	1
230	и которые	1	1
231	том чтобы	2	1
232	всех своих	1	1
233	от других	1	1
234	и заключается	2	1
235	смысле в	1	1
236	значение в	1	1
237	который и	1	1
238	верховной цели	1	1
239	он есть	1	1
240	в новое	3	1
241	человека на	1	1
242	в них	4	1
243	к политической	1	1
244	быть понят	1	1
245	новые формы	1	1
246	в эту	1	1
247	быть признана	1	1
248	но если	1	1
249	дальнейшее развитие	1	1
250	все они	2	1
251	вопрос о	3	1
252	в другие	1	1
253	творчества и	1	1
254	в россии	3	1
255	не должно	1	1
256	возвращается к	2	1
257	не для	1	1
258	и вся	1	1
259	рода в	1	1
260	не менее	4	1
261	она могла	1	1
262	эти формы	3	1
263	бытия и	1	1
264	и имеет	1	1
265	из их	1	1
266	не их	1	1
267	человека во	2	1
268	все свои	1	1
269	явление в	1	1
270	в русском	2	1
271	к ней	1	1
272	во всем	1	1
273	как будто	2	1
274	разложения и	1	1
275	только одна	1	1
276	у нас	1	1
277	и оно	1	1
278	во все	1	1
279	и вполне	1	1
280	а белый	1	1
281	станет более	1	1
282	творчества не	1	1
283	него как	1	1
284	должен быть	5	1
285	для себя	1	1
286	легче чем	1	1
287	же так	1	1
288	характер и	1	1
289	в средневековой	1	1
290	так на	1	1
291	с собой	1	1
292	можно было	2	1
293	во многом	1	1
294	получает все	1	1
295	на них	1	1
296	ней и	1	1
297	по-новому и	1	1
298	стремление к	2	1
299	можно сказать	1	1
300	смысле и	1	1
301	только потому	1	1
302	вот почему	2	1
303	о том	4	1
304	пришли к	1	1
305	более высокой	1	1
306	до сих	1	1
307	с одной	2	1
308	она продолжает	1	1
309	что его	1	1
310	вопросу о	1	1
311	и во	1	1
312	все в	1	1
313	неизбежно будет	1	1
314	лишь к	1	1
315	движения в	1	1
316	может иметь	1	1
317	и мы	4	1
318	борьбы за	1	1
319	в себе	2	1
320	и элементы	1	1
321	их не	1	1
322	для всех	1	1
323	и хочет	1	1
324	конечно не	3	1
325	есть проблема	1	1
326	истории как	1	1
327	бог не	1	1
328	так называемый	1	1
329	всех сферах	3	1
330	французский немецкий	1	1
331	они сами	1	1
332	к ним	3	1
333	осознавать себя	1	1
334	могли не	1	1
335	ориентироваться в	1	1
336	нет в	1	1
337	перейти к	3	1
338	за пределы	3	1
339	к которому	1	1
340	в свою	1	1
341	в природе	2	1
342	социальной жизни	1	1
343	что будет	1	1
344	а на	1	1
345	был в	1	1
346	зависит от	2	1
347	стремится к	3	1
348	не на	1	1
349	ближе к	1	1
350	порядок дня	1	1
351	особого типа	1	1
352	так же	2	1
353	другая сторона	1	1
354	одной стороны	2	1
355	такого рода	2	1
356	не удалось	1	1
357	вступить на	1	1
358	сих пор	1	1
359	но для	2	1
360	в смысле	2	1
361	должны быть	1	1
362	и ярче	1	1
363	к вопросу	1	1
364	в более	1	1
365	не существует	3	1
366	этой системы	1	1
367	чтобы понять	1	1
368	пр в	1	1
369	особого рода	1	1
370	мы должны	1	1
371	или не	1	1
372	групп и	1	1
373	потребность в	1	1
374	и реальном	1	1
375	вступает в	1	1
376	но оно	1	1
377	и начинается	2	1
378	в какие	1	1
379	возможно лишь	1	1
380	жизни а	1	1
381	значение все	1	1
382	в каком	1	1
383	можно назвать	2	1
384	как на	1	1
385	случае если	1	1
386	вот этот	1	1
387	и особенно	1	1
