1	и т п	5	9
2	с точки зрения	2	8
3	до сих пор	6	7
4	сам по себе	1	5
5	по отношению к	4	5
6	в то же	6	5
7	то же время	6	5
8	сама по себе	3	4
9	в отличие от	1	4
10	не может быть	8	4
11	и т д	36	4
12	в самом деле	6	4
13	в той или	1	3
14	никак не может	1	3
15	той или иной	2	3
16	можно было бы	4	3
17	более или менее	1	3
18	но в то	3	3
19	с другой стороны	5	3
20	имеют первостепенное значение	1	2
21	в этом смысле	8	2
22	как если бы	1	2
23	одно и то	1	2
24	тем не менее	8	2
25	может быть и	2	2
26	здесь не место	1	2
27	в том или	1	2
28	на этот вопрос	4	2
29	но все же	3	2
30	в конце концов	2	2
31	в этих случаях	2	2
32	может быть более	1	2
33	которая как мы	1	2
34	в настоящее время	1	2
35	и то же	1	2
36	в каждом своем	1	1
37	но и в	1	1
38	то же самое	2	1
39	дело в том	2	1
40	не есть и	1	1
41	что может быть	3	1
42	хотя бы и	2	1
43	как мы видим	1	1
44	всего того что	1	1
45	то что когда-то	1	1
46	во второй части	1	1
47	в этом пункте	1	1
48	как один из	1	1
49	то ни было	1	1
50	не в содержании	1	1
51	бы оно было	1	1
52	собственном смысле слова	1	1
53	сплошь да рядом	1	1
54	но уже и	1	1
55	и в каждом	1	1
56	не может не	1	1
57	в связи с	2	1
58	и не в	1	1
59	сообщение о том	1	1
60	большей или меньшей	3	1
61	том или ином	1	1
62	также и в	3	1
63	т д но	5	1
64	так как если	1	1
65	все это не	1	1
66	отношению к нему	1	1
67	но в этом	1	1
68	связи между словами	1	1
69	в высшем смысле	1	1
70	по крайней мере	4	1
71	никогда не была	1	1
72	нет он умеет	1	1
73	в сущности лишь	1	1
74	как мы знаем	1	1
75	само по себе	4	1
76	смысле этого слова	2	1
77	в большей или	1	1
78	во всех его	1	1
79	иной степени в	1	1
80	в собственном смысле	3	1
81	в том что	12	1
82	того что могло	1	1
83	в нем не	1	1
84	того о чем	1	1
85	в каждом из	1	1
86	а между тем	1	1
87	как мы уже	2	1
88	т е в	4	1
89	у него в	1	1
90	то что у	1	1
91	на этой почве	2	1
92	можно сказать что	3	1
93	о возможности и	1	1
94	с одной стороны	4	1
95	на самом деле	1	1
96	этой точки зрения	1	1
97	не признать его	1	1
98	и в том	3	1
99	в таком случае	1	1
100	если бы оно	1	1
101	бы то ни	1	1
102	одной стороны и	3	1
103	этом смысле не	1	1
104	о том что	12	1
105	или меньшей степени	1	1
106	крайней мере не	1	1
107	к своему предмету	1	1
108	это еще не	2	1
109	в котором они	1	1
110	прежде всего в	1	1
111	как на свой	1	1
112	между ними и	1	1
113	во всяком случае	4	1
114	что в нем	2	1
115	в его собственной	1	1
116	после того как	1	1
117	оно направлено на	1	1
118	в том же	1	1
119	на тему о	1	1
120	или иной степени	1	1
121	в какой они	1	1
122	уже в первом	1	1
123	так или иначе	4	1
