N	2gram	Tiupa_Lite_2	Vvedenie
1	и т	2	42
2	и в	19	32
3	в том	10	31
4	в этом	9	30
5	том что	7	26
6	может быть	17	26
7	не только	8	22
8	для того	2	21
9	того чтобы	1	20
10	таким образом	1	19
11	то что	7	16
12	потому что	2	15
13	так как	3	15
14	не может	9	14
15	в самом	1	13
16	в нем	3	13
17	о том	2	13
18	со стороны	3	13
19	в их	3	12
20	представляет собой	2	12
21	в его	4	12
22	того что	5	12
23	и не	11	12
24	как на	3	12
25	как мы	1	11
26	в ее	2	11
27	в данном	3	11
28	что в	4	10
29	то же	12	9
30	в истории	2	9
31	и как	3	9
32	но в	2	9
33	этого рода	1	9
34	это не	1	8
35	не в	4	8
36	тем не	2	8
37	не менее	6	8
38	с другой	8	8
39	именно в	1	8
40	самом деле	1	7
41	но не	5	7
42	все же	2	7
43	было бы	2	7
44	точки зрения	4	7
45	можно было	1	7
46	дело с	1	7
47	прежде всего	4	7
48	только как	1	7
49	как он	2	6
50	том чтобы	3	6
51	его в	1	6
52	с тем	2	6
53	как и	10	6
54	вовсе не	2	6
55	в то	9	6
56	в качестве	5	6
57	же время	9	6
58	тем что	4	6
59	не могут	1	6
60	один из	4	6
61	и его	3	6
62	и даже	8	6
63	но и	10	6
64	а именно	3	6
65	хотя бы	2	6
66	культуры как	2	6
67	одним из	3	5
68	в целом	2	5
69	данном случае	3	5
70	в них	2	5
71	могут быть	2	5
72	так что	4	5
73	уже в	2	5
74	т п	2	5
75	что не	2	5
76	а не	20	5
77	как бы	2	5
78	другой стороны	4	5
79	есть и	1	5
80	в какой	2	5
81	вместе с	5	5
82	и то	3	4
83	как это	2	4
84	в первом	1	4
85	той же	2	4
86	мы имеем	1	4
87	по отношению	4	4
88	не просто	1	4
89	как уже	2	4
90	от этого	1	4
91	уже не	2	4
92	в себе	6	4
93	должен был	1	4
94	в своей	1	4
95	по крайней	2	4
96	не имеет	1	4
97	в тексте	1	4
98	в каждом	2	4
99	и т.д	7	4
100	и что	2	4
101	крайней мере	2	4
102	еще не	2	4
103	к делу	1	4
104	что он	3	4
105	с одной	7	4
106	речь в	2	4
107	одно из	2	4
108	как раз	2	4
109	этом отношении	3	4
110	даже и	2	4
111	в особенности	1	4
112	одной стороны	6	4
113	еще и	1	4
114	с этой	2	4
115	этом случае	2	4
116	и для	3	4
117	особого рода	1	4
118	а в	3	4
119	отношению к	3	4
120	что уже	1	3
121	в сущности	3	3
122	не вполне	2	3
123	в виду	2	3
124	памятник а	1	3
125	и этого	1	3
126	и на	6	3
127	он сам	1	3
128	в чем	1	3
129	своего рода	13	3
130	ответ на	1	3
131	стороны и	1	3
132	однако не	1	3
133	и к	2	3
134	за собой	1	3
135	что это	1	3
136	все эти	1	3
137	в этой	3	3
138	в известном	1	3
139	при этом	6	3
140	свое время	2	3
141	на этом	2	3
142	на нее	1	3
143	второй половины	1	3
144	в свое	2	3
145	мы видели	1	3
146	здесь все	1	3
147	со всей	1	3
148	в этих	1	3
149	от себя	1	3
150	и вот	1	3
151	однако в	6	3
152	связи с	1	3
153	в области	4	3
154	языка в	1	3
155	в ней	4	3
156	в собственном	1	3
157	на том	1	3
158	что может	1	3
159	во второй	1	3
160	вот почему	1	3
161	можно сказать	1	3
162	а также	2	3
163	времени в	1	3
164	в конечном	5	3
165	одной из	2	3
166	в начале	3	3
167	и других	4	3
168	из них	2	3
169	в одном	2	3
170	в конце	2	3
171	что и	2	3
172	русский язык	1	3
173	а потому	2	3
174	до конца	2	3
175	говорит о	1	3
176	только по	1	3
177	так же	1	3
178	в строгом	1	3
179	такого рода	9	3
180	что же	1	3
181	в своем	1	3
182	но с	3	3
183	разумеется и	1	3
184	к тому	1	3
185	в результате	2	3
186	культуры в	1	3
187	к этому	1	3
188	в частности	4	3
189	гораздо более	1	3
190	же как	2	2
191	искусство и	1	2
192	и до	2	2
193	должна быть	1	2
194	что мы	1	2
195	есть не	1	2
196	мы не	4	2
197	и прозаиков	1	2
198	жизни как	2	2
199	того же	4	2
200	в каждой	2	2
201	понятия в	1	2
202	при жизни	1	2
203	тогда как	9	2
204	себе и	3	2
205	сам же	1	2
206	в этот	1	2
207	он написан	1	2
208	и те	1	2
209	не следует	1	2
210	о которой	2	2
211	в принципе	5	2
212	не к	2	2
213	подобно тому	2	2
214	не бывает	2	2
215	же касается	1	2
216	в другом	3	2
217	и с	3	2
218	на протяжении	1	2
219	в соответствии	1	2
220	который по	1	2
221	но уже	2	2
222	соответствии с	2	2
223	поэтов и	1	2
224	ни с	1	2
225	не мог	1	2
226	из того	2	2
227	с точки	3	2
228	состоит в	9	2
229	не столько	3	2
230	мысли и	2	2
231	не считал	1	2
232	свое существование	2	2
233	тому что	1	2
234	в отношении	1	2
235	того как	1	2
236	одна из	5	2
237	без остатка	3	2
238	никогда не	3	2
239	казалось бы	1	2
240	в отношениях	1	2
241	ничего не	3	2
242	у нас	5	2
243	той или	1	2
244	рядом с	1	2
245	говоря уже	2	2
246	и сам	2	2
247	так и	7	2
248	не с	3	2
249	мог бы	1	2
250	для этого	2	2
251	же самое	1	2
252	искусства и	1	2
253	еще при	1	2
254	во всех	3	2
255	однако с	1	2
256	во втором	1	2
257	все время	1	2
258	нового типа	1	2
259	здесь не	1	2
260	каждый из	4	2
261	только на	1	2
262	от других	1	2
263	могло бы	2	2
264	или иной	1	2
265	и др	3	2
266	не говоря	2	2
267	по тем	1	2
268	не было	2	2
269	в подлинном	1	2
270	литературное произведение	1	2
271	есть лишь	1	2
272	было сказано	2	2
273	а так	1	2
274	все более	1	2
275	него в	1	2
276	мы говорим	1	2
277	в конкретных	1	2
278	из которых	2	2
279	истории в	1	2
280	целом ряде	1	2
281	а если	2	2
282	на рубеже	1	2
283	тому как	2	2
284	по существу	3	2
285	но это	3	2
286	бы в	1	2
287	конце концов	1	2
288	ни к	1	2
289	но зато	1	2
290	в интересах	1	2
291	нами не	1	2
292	нам не	1	2
293	он и	2	2
294	время не	1	2
295	жизни и	4	2
296	я и	4	1
297	на самом	1	1
298	это и	1	1
299	на деле	1	1
300	традиции как	2	1
301	отношения между	1	1
302	или враждебно	1	1
303	всем что	1	1
304	речь идет	3	1
305	отношения к	1	1
306	и за	2	1
307	нам дан	1	1
308	и трудно	1	1
309	тексте не	1	1
310	исследования в	1	1
311	требует от	1	1
312	мы ее	1	1
313	слово не	2	1
314	к общему	1	1
315	меньшей степени	1	1
316	разумеется не	2	1
317	он был	1	1
318	этот текст	1	1
319	нам представляется	2	1
320	поставив на	1	1
321	более того	1	1
322	иного рода	1	1
323	самих себя	1	1
324	но как	2	1
325	что способно	1	1
326	в противовес	3	1
327	искусство в	1	1
328	очевидно что	2	1
329	как в	1	1
330	в новом	1	1
331	существование в	2	1
332	на которое	1	1
333	отличие от	1	1
334	и будет	1	1
335	нет и	1	1
336	и я	1	1
337	этой системе	1	1
338	пути каким	1	1
339	с веком	1	1
340	общего с	1	1
341	идут в	2	1
342	от содержания	1	1
343	как к	3	1
344	уже о	2	1
345	искусством с	1	1
346	что по	1	1
347	это тоже	1	1
348	до тех	1	1
349	и художественного	1	1
350	себе не	2	1
351	свою деятельность	2	1
352	то в	2	1
353	для которого	1	1
354	с какой	1	1
355	у каждого	1	1
356	во многих	1	1
357	на то	1	1
358	с чем	1	1
359	в статье	1	1
360	был задан	1	1
361	перестает быть	3	1
362	слова а	1	1
363	он должен	1	1
364	же это	1	1
365	кто из	1	1
366	одно и	2	1
367	это конечно	1	1
368	то ни	1	1
369	а затем	2	1
370	бы кажется	1	1
371	пока мы	1	1
372	им как	1	1
373	различие между	1	1
374	с позиций	1	1
375	в глубине	1	1
376	искусства в	1	1
377	он есть	1	1
378	практически не	1	1
379	против этой	1	1
380	в итоге	1	1
381	отрицать того	1	1
382	она и	1	1
383	пути как	2	1
384	в слове	1	1
385	не всегда	1	1
386	место у	1	1
387	от языка	1	1
388	иначе говоря	1	1
389	автора и	1	1
390	т.д и	1	1
391	в ходе	1	1
392	о людях	1	1
393	никак не	1	1
394	в такой	2	1
395	и без	2	1
396	с идеей	2	1
397	ей но	1	1
398	не от	1	1
399	в отличие	1	1
400	от его	1	1
401	образцы этого	1	1
402	но он	1	1
403	в россии	2	1
404	что было	2	1
405	не его	1	1
406	даже к	1	1
407	вещей и	1	1
408	что этот	1	1
409	в духовной	1	1
410	того кто	1	1
411	в историческом	1	1
412	например и	1	1
413	не раз	2	1
414	могло не	1	1
415	в цепи	1	1
416	мышления и	1	1
417	нас и	1	1
418	к новым	1	1
419	не по	2	1
420	и искусство	1	1
421	которых и	1	1
422	не могло	1	1
423	эстетических ценностей	1	1
424	а для	1	1
425	и всегда	1	1
426	не лучше	1	1
427	как такую	1	1
428	что ни	1	1
429	имеем дело	1	1
430	этих двух	1	1
431	именно она	1	1
432	во всем	1	1
433	что на	1	1
434	была с	1	1
435	в действительности	1	1
436	широкого и	1	1
437	сравнении с	2	1
438	человека в	4	1
439	всего в	1	1
440	которым в	1	1
441	не предполагает	1	1
442	общения в	1	1
443	не объект	1	1
444	для себя	2	1
445	приходит к	1	1
446	можно и	1	1
447	и о	1	1
448	свою очередь	1	1
449	создает и	1	1
450	исторической жизни	1	1
451	все прочие	1	1
452	только то	1	1
453	культуры и	1	1
454	во главе	1	1
455	на свой	1	1
456	то как	2	1
457	еще в	4	1
458	их содержание	1	1
459	жизнь и	1	1
460	он нам	1	1
461	в определенной	1	1
462	же автора	1	1
463	в построении	1	1
464	с полным	1	1
465	одного из	1	1
466	бы то	1	1
467	после того	1	1
468	пор пока	1	1
469	должно было	1	1
470	на отдельные	1	1
471	которая сама	1	1
472	таков что	1	1
473	русской литературы	1	1
474	путь к	2	1
475	не чувствует	1	1
476	данного текста	1	1
477	во всей	1	1
478	наконец в	2	1
479	быть сказано	1	1
480	в литературе	1	1
481	тех пор	1	1
482	в новой	1	1
483	неудивительно что	1	1
484	все той	1	1
485	себя в	6	1
486	есть в	1	1
487	история перестает	1	1
488	вопроса о	1	1
489	слова не	1	1
490	таков путь	1	1
491	принципе не	2	1
492	как писал	2	1
493	у того	1	1
494	понятий в	1	1
495	сказано в	1	1
496	признать его	1	1
497	для него	4	1
498	руки и	1	1
499	ведь это	2	1
500	слова в	1	1
501	мы находим	1	1
502	при всей	2	1
503	бытия и	1	1
504	у него	2	1
505	быть названа	1	1
506	деятельности как	1	1
507	деле есть	1	1
508	и т.п	10	1
509	искусством в	1	1
510	все равно	2	1
511	к которому	1	1
512	и прежде	1	1
513	мысль которая	1	1
514	как же	1	1
515	а с	1	1
516	из таких	1	1
517	русской культуры	1	1
518	к человеку	1	1
519	руках у	1	1
520	которые не	1	1
521	что находится	1	1
522	однако и	1	1
523	в руках	2	1
524	среди них	1	1
525	человек в	1	1
526	собой одно	1	1
527	в ряду	1	1
528	именно так	1	1
529	мира в	2	1
530	становится для	1	1
531	для этой	1	1
532	не видит	2	1
533	имея в	1	1
534	все то	1	1
535	по праву	1	1
536	полным основанием	1	1
537	автора с	1	1
538	с первого	1	1
539	и потому	1	1
540	более широкого	1	1
541	к своему	2	1
542	взгляде на	1	1
543	наряду с	1	1
544	которой состоит	1	1
545	быть не	2	1
546	о жизни	1	1
547	слова и	7	1
548	впрочем не	2	1
549	подлинное творчество	1	1
550	сколько о	1	1
551	в культуре	3	1
552	имел в	1	1
553	искусством и	1	1
554	с большой	1	1
555	этот образ	1	1
556	и от	1	1
557	он по	1	1
558	и иного	1	1
559	это как	2	1
560	которая в	1	1
561	а к	2	1
562	для нас	2	1
563	всего что	1	1
564	и все	1	1
565	еще более	1	1
566	как явление	1	1
567	в круг	1	1
568	ни было	2	1
569	же в	2	1
570	отношении к	1	1
571	в системе	1	1
572	культурных явлений	1	1
573	свет с	1	1
574	и прямо	1	1
575	в свою	1	1
576	от своего	1	1
577	своего предмета	1	1
578	впервые в	1	1
579	жизни а	2	1
580	путь не	2	1
581	в сравнении	2	1
582	ко всему	2	1
583	пока не	1	1
584	частности в	1	1
585	также не	1	1
586	ее в	1	1
587	в своих	2	1
588	и эта	1	1
589	можно назвать	1	1
590	в таком	1	1
591	все что	2	1
592	этой точки	1	1
593	они не	1	1
