N	3gram	Berdyaev_N_1	Istorich
1	не может быть	4	7
2	с другой стороны	2	5
3	до сих пор	1	5
4	в большинстве случаев	1	4
5	с одной стороны	2	4
6	в том что	1	4
7	и в ней	1	3
8	то время как	1	3
9	в то время	1	3
10	о том что	1	3
11	можно было бы	1	3
12	в зависимости от	1	2
13	но и в	1	2
14	то что в	1	2
15	вместе с тем	2	2
16	так же как	2	2
17	как будто бы	1	2
18	и должно быть	2	2
19	в отличие от	1	2
20	это конечно не	1	2
21	вопрос о том	2	2
22	что в этом	1	1
23	никогда не было	2	1
24	о природе и	1	1
25	равно как и	2	1
26	должны помнить что	1	1
27	подобно тому как	3	1
28	в этом смысле	2	1
29	в средние века	3	1
30	же как и	1	1
31	также еще не	1	1
32	не было и	1	1
33	в жизни народа	1	1
34	сами по себе	1	1
35	о том чтобы	1	1
36	наряду с этим	1	1
37	может быть только	1	1
38	в том случае	1	1
39	эпохи в которую	1	1
40	в значительной степени	1	1
41	другой же стороны	1	1
42	в том чтобы	1	1
43	не только в	1	1
44	по существу своему	1	1
45	конечно не означает	1	1
46	не в том	1	1
47	не могут быть	1	1
48	это не значит	2	1
49	живем в эпоху	4	1
50	быть не может	1	1
51	в своем развитии	1	1
52	должна быть признана	1	1
53	мы живем в	5	1
54	не значит что	3	1
55	начала xix века	1	1
56	с другой же	1	1
