N	2gram	Bakhtin_Pr_1	Russkaja
1	не может	12	22
2	и не	31	19
3	в том	8	17
4	в этом	22	17
5	и в	29	14
6	с другом	1	14
7	друг с	2	14
8	то что	15	13
9	то же	14	11
10	точки зрения	19	11
11	таким образом	12	11
12	в то	10	10
13	же время	9	10
14	но и	14	10
15	в себе	7	9
16	не только	15	9
17	том что	7	9
18	с точки	13	9
19	может быть	24	9
20	во всяком	5	9
21	того чтобы	1	8
22	прежде всего	7	8
23	как на	3	8
24	самом деле	6	7
25	и если	1	7
26	и с	4	7
27	в данном	2	7
28	к тому	1	7
29	не будет	1	7
30	о том	1	7
31	мы должны	3	7
32	к которой	1	6
33	в своем	8	6
34	и к	2	6
35	в россии	2	6
36	в своих	3	6
37	признать что	1	6
38	если бы	9	6
39	все это	6	6
40	и для	4	6
41	для того	1	6
42	что он	8	6
43	всяком случае	3	6
44	для него	18	6
45	на самом	5	6
46	вопрос о	2	5
47	и на	7	5
48	во всех	1	5
49	в нем	19	5
50	при этом	2	5
51	он не	5	5
52	он должен	1	5
53	было бы	5	5
54	в своей	8	5
55	никогда не	3	5
56	потому что	8	5
57	между тем	5	5
58	а потому	2	5
59	и только	1	5
60	только в	10	5
61	хотя бы	2	5
62	конечно не	2	5
63	до сих	2	5
64	себя и	2	5
65	из которых	2	5
66	по существу	3	5
67	сих пор	2	5
68	а в	7	5
69	бы то	2	4
70	но не	9	4
71	себе и	3	4
72	себя в	1	4
73	все же	9	4
74	более или	1	4
75	не в	7	4
76	в этой	4	4
77	быть самим	1	4
78	то ни	2	4
79	в совершенно	1	4
80	что такой	1	4
81	его в	6	4
82	как и	12	4
83	или менее	1	4
84	в их	3	4
85	точку зрения	6	4
86	а лишь	2	4
87	от того	4	4
88	не могут	6	4
89	приводит к	3	4
90	в мире	6	4
91	можно было	2	4
92	при том	1	4
93	в его	24	4
94	так как	6	4
95	со стороны	1	4
96	что же	4	4
97	как бы	19	4
98	в другое	1	4
99	возможно лишь	1	4
100	жизни и	2	4
101	что в	8	4
102	к этой	1	4
103	все что	3	4
104	и т	4	3
105	то в	1	3
106	так чтобы	4	3
107	еще не	5	3
108	он сам	3	3
109	из этих	1	3
110	что они	1	3
111	во что	2	3
112	в самом	10	3
113	что это	1	3
114	ни одна	1	3
115	и по	1	3
116	в другом	1	3
117	лишь в	1	3
118	для них	1	3
119	несмотря на	6	3
120	должно быть	4	3
121	всех этих	2	3
122	но если	1	3
123	таким же	3	3
124	одна из	3	3
125	связи с	2	3
126	в сознании	2	3
127	то это	1	3
128	точке зрения	3	3
129	что оно	2	3
130	что все	1	3
131	данном случае	2	3
132	ни стало	1	3
133	может только	1	3
134	что может	2	3
135	для этого	1	3
136	и во	2	3
137	что и	4	3
138	а следовательно	1	3
139	что бы	1	3
140	в лучшем	2	3
141	того что	1	3
142	одной из	1	3
143	в качестве	1	3
144	с нею	1	3
145	в большинстве	2	3
146	из них	1	3
147	в конце	6	3
148	друг друга	3	3
149	тем что	4	3
150	именно в	5	3
151	только к	1	3
152	что для	1	3
153	не было	4	3
154	и потому	6	3
155	этом случае	1	3
156	при условии	1	3
157	лучшем случае	2	3
158	том условии	1	3
159	она может	1	3
160	конце концов	5	3
161	и как	7	3
162	ибо в	2	3
163	все они	1	3
164	не есть	2	3
165	собой это	1	3
166	случае если	1	3
167	себя как	2	2
168	от этой	1	2
169	и есть	2	2
170	должна быть	5	2
171	видеть в	1	2
172	из всех	1	2
173	на себя	2	2
174	но даже	1	2
175	мировоззрения в	1	2
176	в ней	2	2
177	в таком	1	2
178	именно на	2	2
179	по отношению	8	2
180	тогда как	1	2
181	сама по	1	2
182	с этим	2	2
183	по соображениям	1	2
184	и наконец	4	2
185	но в	7	2
186	все эти	9	2
187	другом случае	1	2
188	и вот	1	2
189	чтобы в	2	2
190	мы уже	2	2
191	того или	1	2
192	на почве	3	2
193	по себе	8	2
194	ведь в	1	2
195	нисколько не	2	2
196	в котором	2	2
197	место в	1	2
198	ее он	2	2
199	друг другу	2	2
200	их в	4	2
201	не тем	1	2
202	том и	1	2
203	любовь к	1	2
204	тому что	3	2
205	она не	7	2
206	в мировоззрении	3	2
207	у него	5	2
208	следовательно и	2	2
209	на которой	1	2
210	как будто	3	2
211	в области	1	2
212	к себе	2	2
213	отличается от	3	2
214	если же	3	2
215	для себя	2	2
216	и о	5	2
217	и человек	2	2
218	с самим	1	2
219	в борьбе	1	2
220	даже не	1	2
221	настоящее время	1	2
222	и что	2	2
223	были бы	4	2
224	к нему	6	2
225	это в	1	2
226	вся эта	1	2
227	отметить что	1	2
228	быть и	1	2
229	согласиться с	1	2
230	этот вопрос	2	2
231	совершенно не	1	2
232	даже если	1	2
233	бы ни	1	2
234	по этому	1	2
235	так что	2	2
236	уже не	13	2
237	в начале	1	2
238	является не	2	2
239	его и	2	2
240	не так	1	2
241	центр тяжести	1	2
242	ни в	3	2
243	чтобы она	1	2
244	не о	2	2
245	к той	1	2
246	в других	1	2
247	и даже	2	2
248	а с	1	2
249	зависит от	1	2
250	а не	22	2
251	большинстве случаев	2	2
252	в частности	1	2
253	так же	6	2
254	или иного	1	2
255	уже указали	1	2
256	отношения к	3	2
257	есть и	2	2
258	благодаря этому	2	2
259	но это	4	2
260	остается в	1	2
261	если не	1	2
262	и от	2	2
263	в результате	4	2
264	в настоящее	1	2
265	и однако	1	2
266	с ним	5	2
267	отношении к	3	2
268	бы его	1	2
269	ее в	1	2
270	точно так	1	2
271	политическом и	1	1
272	упорно и	1	1
273	не должны	1	1
274	бы именно	1	1
275	и действительно	1	1
276	должен быть	1	1
277	он может	3	1
278	это и	5	1
279	идет о	4	1
280	всякое иное	1	1
281	и друг	1	1
282	можно лишь	1	1
283	исходит из	1	1
284	противном случае	1	1
285	этому пути	1	1
286	с таким	1	1
287	со своей	1	1
288	в зависимости	5	1
289	и за	1	1
290	яркое и	1	1
291	их и	1	1
292	на тех	1	1
293	мы не	1	1
294	же как	1	1
295	не во	3	1
296	самостоятельность и	1	1
297	на эти	1	1
298	не была	1	1
299	в сущности	5	1
300	оно есть	1	1
301	в полной	1	1
302	формы в	1	1
303	и видеть	1	1
304	в создании	1	1
305	но этого	2	1
306	зрения все	2	1
307	именно тем	1	1
308	друг к	1	1
309	к этому	1	1
310	но как	3	1
311	а только	1	1
312	точка зрения	12	1
313	должны были	1	1
314	к творчеству	1	1
315	из таких	1	1
316	и оценку	1	1
317	которые не	1	1
318	в истории	2	1
319	первый взгляд	1	1
320	в одной	6	1
321	каждая из	1	1
322	то чем	3	1
323	сам а	1	1
324	что касается	1	1
325	в противном	1	1
326	перед нами	5	1
327	от этого	1	1
328	тон и	1	1
329	взаимодействия между	1	1
330	в которой	2	1
331	ни один	3	1
332	выражение в	6	1
333	то и	2	1
334	слагающийся из	1	1
335	она отвечает	1	1
336	иначе и	1	1
337	но на	1	1
338	вследствие этого	2	1
339	основным принципам	1	1
340	вообще не	1	1
341	на его	2	1
342	не следует	1	1
343	время и	1	1
344	же это	1	1
345	есть та	1	1
346	к одному	1	1
347	войти в	2	1
348	же остается	1	1
349	его можно	1	1
350	лишь с	1	1
351	находит себе	1	1
352	но все	5	1
353	здесь мы	2	1
354	для всей	1	1
355	могла бы	1	1
356	тем же	1	1
357	об этом	1	1
358	и неизбежно	1	1
359	к другу	1	1
360	всего необходимо	1	1
361	не трудно	1	1
362	полной мере	1	1
363	или даже	2	1
364	входит в	7	1
365	заключается в	1	1
366	с другими	7	1
367	его личности	1	1
368	это не	9	1
369	которая как	1	1
370	и мы	1	1
371	то все	1	1
372	это противоречие	1	1
373	в жизни	2	1
374	и примирения	1	1
375	из нее	1	1
376	этого слова	1	1
377	она и	1	1
378	все равно	1	1
379	со своими	2	1
380	не всегда	1	1
381	всегда и	1	1
382	становится и	1	1
383	нет и	1	1
384	ибо только	1	1
385	такой же	1	1
386	в один	2	1
387	одного и	1	1
388	на первый	1	1
389	другом как	1	1
390	переносится в	1	1
391	все элементы	1	1
392	от своего	1	1
393	своем стремлении	1	1
394	а каждая	1	1
395	отпечаток его	2	1
396	что о	1	1
397	от чисто	1	1
398	бы к	2	1
399	что вся	1	1
400	фактом что	1	1
401	наиболее полное	1	1
402	не столько	1	1
403	на свою	1	1
404	он принимает	1	1
405	в которых	2	1
406	и другого	1	1
407	только такой	1	1
408	далее что	1	1
409	для данного	1	1
410	теми же	1	1
411	жизни является	1	1
412	по крайней	1	1
413	ни было	2	1
414	вовсе не	7	1
415	даже в	4	1
416	между несколькими	1	1
417	же мы	1	1
418	ему как	1	1
419	если и	1	1
420	нею и	1	1
421	его целом	6	1
422	до известной	1	1
423	и другое	1	1
424	самого начала	2	1
425	и всегда	1	1
426	дело в	1	1
427	ее с	1	1
428	на себе	2	1
429	на него	3	1
430	и форм	1	1
431	в основе	4	1
432	он еще	1	1
433	образом в	1	1
434	иметь в	1	1
435	но только	1	1
436	та или	1	1
437	себе самом	9	1
438	только не	1	1
439	ними не	1	1
440	того и	1	1
441	найти в	1	1
442	не всякий	1	1
443	и весь	1	1
444	всего на	1	1
445	с одним	1	1
446	связь и	1	1
447	мы подходим	1	1
448	и сама	1	1
449	было не	1	1
450	этом отношении	3	1
451	или иных	1	1
452	вот в	1	1
453	действительно является	1	1
454	стороны и	1	1
455	в духе	3	1
456	нет ни	2	1
457	самостоятельность как	2	1
458	могут быть	6	1
459	чтобы сделать	1	1
460	человека в	4	1
461	слова но	2	1
462	же самое	1	1
463	должны быть	1	1
464	всего в	1	1
465	одну и	1	1
466	быть назван	1	1
467	и материал	1	1
468	и это	5	1
469	оно может	2	1
470	проявления этой	1	1
471	как мы	4	1
472	как не	8	1
473	свою очередь	1	1
474	но при	1	1
475	людей в	1	1
476	в ее	1	1
477	только при	1	1
478	не могло	1	1
479	суждений и	1	1
480	внутренние противоречия	1	1
481	только то	3	1
482	в себя	3	1
483	идет не	2	1
484	с самого	1	1
485	роль в	1	1
486	до самого	1	1
487	и когда	1	1
488	котором мы	1	1
489	что у	1	1
490	так и	7	1
491	совершенно различных	1	1
492	те же	2	1
493	человека можно	1	1
494	своей организации	1	1
495	остается только	1	1
496	и знаем	1	1
497	по сравнению	1	1
498	из одного	4	1
499	которому принадлежит	1	1
500	быть особенно	1	1
501	вот это	1	1
502	другом месте	1	1
503	то они	2	1
504	никак не	2	1
505	и ставит	1	1
506	можно сказать	1	1
507	с другой	3	1
508	движения то	1	1
509	от них	2	1
510	целиком в	1	1
511	второстепенную роль	2	1
512	крайней мере	1	1
513	быть настоящим	1	1
514	утверждение и	1	1
515	такой человек	1	1
516	земле это	1	1
517	наконец и	1	1
518	он есть	4	1
519	один из	2	1
520	образом как	1	1
521	оно и	1	1
522	этих черт	2	1
523	церковь как	1	1
524	не идет	1	1
525	это стремление	1	1
526	быть глубоко	1	1
527	нею в	1	1
528	они могут	2	1
529	самом и	4	1
530	и истины	1	1
531	же и	2	1
532	и у	3	1
533	если мы	1	1
534	только такое	1	1
535	здесь же	1	1
536	а то	1	1
537	и других	1	1
538	за ним	3	1
539	роль и	1	1
540	если такое	1	1
541	и их	1	1
542	могло бы	1	1
543	не для	1	1
544	подходим к	1	1
545	к ним	1	1
546	бытия и	1	1
547	случае не	1	1
548	принципиально не	1	1
549	превращается в	4	1
550	это свое	1	1
551	но из	1	1
552	бы это	1	1
553	где есть	1	1
554	в свои	1	1
555	не поддается	2	1
556	различны в	1	1
557	хоть и	3	1
558	на ее	1	1
559	по своим	2	1
560	человека а	1	1
