N	3gram	Voloshinov_1	EvropaiE
1	с точки зрения	2	16
2	в то же	1	15
3	то же время	1	14
4	в отношении к	2	12
5	с одной стороны	2	8
6	одной стороны и	2	6
7	в том что	4	6
8	так же как	1	5
9	этой точки зрения	3	5
10	бы то ни	3	4
11	то ни было	3	4
12	и в этом	1	4
13	в этом смысле	1	3
14	же как и	1	3
15	в этом отношении	1	3
16	можно было бы	1	3
17	во всяком случае	1	3
18	и прежде всего	1	3
19	можно сказать что	5	3
20	или хотя бы	1	2
21	нам кажется что	1	2
22	и в частности	1	2
23	в данном случае	2	2
24	но в то	1	2
25	каких бы то	1	2
26	с другой стороны	2	2
27	не может быть	7	2
28	по себе не	1	2
29	в частности в	1	2
30	в свою очередь	1	2
31	мы можем сказать	2	2
32	а не к	1	1
33	следует отметить что	1	1
34	дело в том	4	1
35	хотя бы только	1	1
36	более или менее	1	1
37	мы видели в	1	1
38	в том же	1	1
39	физические и химические	1	1
40	в нем и	1	1
41	и не в	3	1
42	в лучшем случае	1	1
43	но и в	1	1
44	и та же	1	1
45	от того в	1	1
46	поскольку они являются	1	1
47	мы увидим что	1	1
48	в противном случае	1	1
49	может быть и	3	1
50	не нужно думать	1	1
51	и в своем	1	1
52	нужно думать что	1	1
53	как не может	1	1
54	но в процессе	1	1
55	и тот же	1	1
56	в значительной степени	1	1
57	то время как	1	1
58	друг к другу	1	1
59	же время не	1	1
60	одна и та	1	1
61	уже и сейчас	1	1
62	как одно из	1	1
63	на одну доску	1	1
64	один и тот	1	1
65	к которой принадлежит	1	1
66	в то время	1	1
67	и притом с	1	1
68	в пределах этого	1	1
69	тех или иных	1	1
70	к тому же	1	1
