N	2gram	Ircho_Kome_2	Literetu
1	не только	7	24
2	в качестве	5	17
3	но и	10	17
4	в том	11	16
5	а не	1	16
6	в частности	4	15
7	том что	9	14
8	может быть	11	13
9	и не	14	12
10	в этом	10	12
11	в своем	6	11
12	прежде всего	4	11
13	такого рода	1	10
14	то что	6	10
15	или иначе	3	9
16	в целом	4	8
17	так или	3	8
18	не в	2	8
19	и в	26	8
20	только в	4	8
21	как это	4	8
22	как бы	2	7
23	в себе	1	7
24	не менее	4	7
25	в его	4	7
26	и я	2	6
27	в рамках	1	6
28	как и	4	6
29	точки зрения	4	6
30	и сам	3	6
31	связи с	3	6
32	в жизни	1	6
33	себя в	3	6
34	одним из	2	5
35	то же	3	5
36	отличие от	2	5
37	как в	3	5
38	не столько	1	5
39	в отличие	2	5
40	в то	6	5
41	для себя	1	5
42	а также	1	5
43	же время	3	5
44	же в	4	5
45	что он	5	5
46	уже в	4	5
47	не может	3	5
48	с этой	3	5
49	с его	5	5
50	тем самым	1	5
51	в своей	3	4
52	еще не	6	4
53	столь же	9	4
54	но не	3	4
55	конечном счете	1	4
56	в этой	3	4
57	в художественном	1	4
58	все же	4	4
59	представляет собой	1	4
60	в силу	2	4
61	с собой	2	4
62	и его	12	4
63	ведет к	1	4
64	никогда не	1	4
65	так и	12	4
66	еще в	4	4
67	из них	7	4
68	мир в	1	4
69	в конце	2	4
70	друг друга	3	4
71	как раз	1	4
72	о себе	1	4
73	в связи	3	4
74	со стороны	2	4
75	это не	2	4
76	например в	3	3
77	тех же	3	3
78	и есть	2	3
79	тем же	1	3
80	что его	3	3
81	по отношению	3	3
82	более чем	4	3
83	в самом	4	3
84	с их	4	3
85	в принципе	2	3
86	таким образом	6	3
87	исходя из	1	3
88	той же	3	3
89	его в	4	3
90	он и	1	3
91	несмотря на	1	3
92	не мог	1	3
93	в их	3	3
94	но в	3	3
95	том же	1	3
96	на рубеже	1	3
97	одна из	2	3
98	в основе	1	3
99	не должен	1	3
100	в области	1	3
101	к себе	1	3
102	ли не	7	3
103	всего в	2	3
104	в виду	2	3
105	в пределах	1	3
106	приводит к	1	3
107	одного из	1	3
108	сводится к	1	3
109	нуждается в	1	3
110	по своей	1	3
111	один из	5	3
112	потому что	6	3
113	одно из	2	3
114	у него	4	3
115	и даже	1	3
116	с другой	2	3
117	не было	3	3
118	мира в	4	3
119	да и	3	3
120	при всем	3	3
121	жизни и	3	3
122	что в	9	3
123	а в	3	3
124	во всяком	2	3
125	и весьма	1	2
126	того же	3	2
127	самом деле	1	2
128	отношения между	1	2
129	из его	2	2
130	для своего	1	2
131	та же	1	2
132	в сущности	1	2
133	в решении	1	2
134	а для	1	2
135	на себя	7	2
136	х годов	2	2
137	из того	1	2
138	то это	2	2
139	и самого	1	2
140	как правило	3	2
141	то он	1	2
142	нет не	1	2
143	отнюдь не	2	2
144	общего с	1	2
145	и нет	1	2
146	следующим образом	1	2
147	этой цели	1	2
148	все эти	1	2
149	чуть ли	2	2
150	из этих	4	2
151	тому же	11	2
152	как он	3	2
153	в нем	6	2
154	поскольку он	1	2
155	же это	1	2
156	евгения онегина	1	2
157	на этом	2	2
158	самим собой	1	2
159	для нее	1	2
160	было бы	8	2
161	на второй	1	2
162	от своего	1	2
163	всяком случае	2	2
164	с точки	1	2
165	эта мысль	1	2
166	для многих	1	2
167	тем не	1	2
168	однако в	2	2
169	даже в	2	2
170	освободиться от	1	2
171	своего героя	1	2
172	было у	1	2
173	и является	1	2
174	в сознании	1	2
175	как будто	4	2
176	и вполне	1	2
177	к тому	12	2
178	в поле	3	2
179	должен быть	1	2
180	в себя	1	2
181	говоря уже	2	2
182	роль в	2	2
183	обращаясь к	1	2
184	в мире	2	2
185	имеется в	1	2
186	или иной	1	2
187	является по	1	2
188	в другом	1	2
189	о том	6	2
190	с одной	2	2
191	между тем	4	2
192	будь то	1	2
193	хотя бы	2	2
194	по этому	1	2
195	только на	1	2
196	то и	1	2
197	со временем	3	2
198	что не	1	2
199	так называемый	1	2
200	что для	4	2
201	для него	1	2
202	как носитель	1	2
203	тем что	3	2
204	одной стороны	2	2
205	нового времени	2	2
206	этого не	1	2
207	не на	1	2
208	одну из	1	2
209	так называемых	2	2
210	все более	1	2
211	нет ничего	1	2
212	в столь	1	2
213	своего времени	2	2
214	можно было	4	2
215	это уже	1	2
216	не является	2	2
217	в сферу	1	2
218	этого рода	1	2
219	это как	1	2
220	тем более	1	2
221	утверждал что	1	2
222	не говоря	2	2
223	отношению к	3	2
224	ко всему	1	2
225	на это	2	2
226	в искусстве	1	2
227	по поводу	3	2
228	которых не	1	1
229	как известно	2	1
230	переходит к	1	1
231	о любви	1	1
232	времени от	1	1
233	только потому	2	1
234	идет о	2	1
235	общественном сознании	1	1
236	представлял собой	1	1
237	перед лицом	2	1
238	по которым	2	1
239	на две	1	1
240	сам автор	1	1
241	и этот	1	1
242	и за	2	1
243	мы не	2	1
244	до него	1	1
245	вопрос о	3	1
246	нам в	1	1
247	в полной	1	1
248	но даже	1	1
249	ему в	1	1
250	и самой	1	1
251	это время	3	1
252	своего недавнего	1	1
253	он был	2	1
254	бы то	2	1
255	в различных	1	1
256	в чем	1	1
257	только после	1	1
258	во внешнем	1	1
259	позиций в	1	1
260	ответ на	3	1
261	отношение к	2	1
262	бы себя	1	1
263	в наиболее	4	1
264	и будет	1	1
265	тут же	2	1
266	не просто	1	1
267	первых десятилетий	1	1
268	из таких	1	1
269	с жадностью	1	1
270	к достижению	1	1
271	первый взгляд	1	1
272	в одной	2	1
273	внимания будет	1	1
274	для всех	3	1
275	как к	1	1
