N	3gram	Tiupa_Vved_1	Poddanst
1	в то же	4	7
2	то же время	3	7
3	не только в	2	4
4	в том что	3	4
5	сами по себе	1	3
6	с одной стороны	5	3
7	в том числе	1	2
8	одной стороны и	1	2
9	и в то	1	2
10	но и в	2	2
11	заключает в себе	1	2
12	в полной мере	1	2
13	в этом мире	1	1
14	более или менее	2	1
15	в настоящее время	1	1
16	в этом смысле	1	1
17	начала и конца	1	1
18	и в этом	1	1
19	в отличие от	2	1
20	не было бы	1	1
21	если бы мы	1	1
22	не в том	1	1
23	во всяком случае	1	1
24	с другой стороны	1	1
25	не может быть	3	1
26	что происходит и	1	1
27	и не столько	1	1
28	само по себе	1	1
29	и тем самым	2	1
30	в последние годы	1	1
31	в частности в	2	1
32	но в этом	1	1
33	но где в	1	1
34	к единению с	1	1
35	том числе и	1	1
