N	2gram	Vinokur_St_3	Stilisti
1	и в	25	42
2	не только	12	27
3	как бы	6	27
4	прежде всего	10	22
5	и т.д	1	20
6	хотя бы	1	17
7	то же	5	15
8	но и	9	15
9	и не	10	14
10	не может	7	12
11	может быть	19	12
12	как и	4	11
13	точки зрения	7	11
14	в этом	24	10
15	и как	1	10
16	как мы	2	10
17	что мы	3	10
18	мы не	2	9
19	в то	7	9
20	для того	2	9
21	то что	12	9
22	в ней	4	8
23	все же	4	8
24	таким образом	10	8
25	и это	5	8
26	с тем	4	8
27	эти слова	1	8
28	что же	1	8
29	и на	6	7
30	в которой	4	7
31	было бы	7	7
32	и тем	4	7
33	так как	3	7
34	никогда не	2	7
35	же время	3	7
36	потому что	5	7
37	того чтобы	1	7
38	ничего не	4	7
39	с его	3	7
40	только в	6	7
41	и его	3	7
42	а не	5	7
43	во всех	2	6
44	мы будем	1	6
45	точку зрения	2	6
46	в этой	14	6
47	на его	4	6
48	в нем	1	6
49	не в	6	6
50	или как	1	6
51	в области	6	6
52	когда мы	1	6
53	так и	5	6
54	язык и	1	6
55	в форме	2	6
56	язык в	1	6
57	и так	1	6
58	в конце	6	6
59	или иной	2	6
60	речи и	1	6
61	в свою	2	6
62	той же	2	5
63	уже в	3	5
64	в той	1	5
65	независимо от	5	5
66	и наконец	3	5
67	и с	4	5
68	того или	1	5
69	мы видели	1	5
70	с точки	4	5
71	и той	1	5
72	тому что	3	5
73	а в	6	5
74	не является	3	5
75	же самое	1	5
76	те же	1	5
77	в его	12	5
78	и их	1	5
79	слова в	1	5
80	в живом	1	5
81	с помощью	1	5
82	вместе с	2	5
83	у которого	3	5
84	или иного	1	5
85	и то	1	4
86	самом деле	2	4
87	тем же	1	4
88	что именно	2	4
89	и к	4	4
90	но в	5	4
91	в самом	2	4
92	что это	16	4
93	так сказать	2	4
94	уже не	3	4
95	можно было	1	4
96	в каждом	4	4
97	его в	1	4
98	художественного творчества	1	4
99	самого начала	2	4
100	на него	1	4
101	у нас	4	4
102	но все	2	4
103	всего в	4	4
104	к тому	2	4
105	той или	1	4
106	на это	2	4
107	свою очередь	1	4
108	с самого	2	4
109	если бы	4	4
110	в словах	3	4
111	о том	8	4
112	влияние на	1	4
113	можно сказать	4	4
114	все время	2	4
115	того что	5	4
116	один из	2	4
117	мы видим	4	4
118	в обществе	1	4
119	в качестве	4	4
120	точка зрения	4	4
121	связаны с	1	4
122	не просто	2	4
123	а с	2	4
124	и пр	13	4
125	то есть	2	4
126	все это	8	4
127	бы в	1	4
128	того времени	3	4
129	так же	1	4
130	долгое время	1	3
131	вряд ли	1	3
132	отношения к	1	3
133	на самом	1	3
134	еще не	2	3
135	то он	2	3
136	ответ на	5	3
137	нет и	2	3
138	не к	1	3
139	об этом	5	3
140	лишь в	4	3
141	это не	7	3
142	чаще всего	1	3
143	этом мы	1	3
144	не мог	2	3
145	том что	15	3
146	что такое	7	3
147	в разных	1	3
148	слова как	2	3
149	связи с	3	3
150	до того	1	3
151	в виду	2	3
152	в ее	1	3
153	что у	2	3
154	мы в	1	3
155	приближается к	1	3
156	и здесь	3	3
157	должно было	1	3
158	связь между	1	3
159	то мы	1	3
160	жизни и	1	3
161	конечно не	1	3
162	в данной	1	3
163	из них	1	3
164	не так	3	3
165	в котором	5	3
166	в одном	1	3
167	но что	1	3
168	свое выражение	1	3
169	от того	2	3
170	что и	1	3
171	и эта	1	3
172	конце концов	3	3
173	если не	1	3
174	ни на	2	3
175	этого слова	2	3
176	в целом	4	3
177	в начале	4	3
178	но для	1	3
179	и для	4	3
180	для нас	1	3
181	и все	1	3
182	о своем	1	3
183	не знает	1	3
184	сказать что	4	3
185	я и	3	2
186	также и	1	2
187	показаться что	1	2
188	выражения как	2	2
189	мы имели	2	2
190	нас не	2	2
191	что эти	4	2
192	и больше	1	2
193	и этот	1	2
194	его не	2	2
195	мы имеем	5	2
196	вопрос о	1	2
197	ответить на	1	2
198	нам в	1	2
199	на эти	3	2
200	и он	1	2
201	между собой	1	2
202	но не	2	2
203	только тогда	2	2
204	очевидно что	1	2
205	отношение к	4	2
206	в теме	1	2
207	как в	6	2
208	и нет	1	2
209	целый ряд	1	2
210	которая и	1	2
211	материалом и	1	2
212	представляет собой	1	2
213	все эти	3	2
214	бы не	1	2
215	друг другу	1	2
216	человек не	1	2
217	и сам	1	2
218	одной и	1	2
219	связанные с	1	2
220	зрения на	1	2
221	ясно что	1	2
222	общества в	2	2
223	есть не	1	2
224	с этим	7	2
225	в жизни	4	2
226	в этих	11	2
227	и при	1	2
228	в своей	4	2
229	ли он	1	2
230	в отношении	2	2
231	место в	6	2
232	в которых	2	2
233	но эта	1	2
234	которые в	2	2
235	ее с	1	2
236	которого и	1	2
237	смысл его	1	2
238	это слово	3	2
239	был и	1	2
240	этом отношении	4	2
241	в каком	4	2
242	перед ним	1	2
243	от их	1	2
244	все то	1	2
245	здесь не	1	2
246	в пределах	1	2
247	в дальнейшем	1	2
248	как с	1	2
249	и когда	1	2
250	из двух	1	2
251	времени и	2	2
252	и вообще	1	2
253	с ним	1	2
254	по своей	1	2
255	в значительной	1	2
256	к нему	4	2
257	находит свое	3	2
258	в языке	8	2
259	на отдельные	1	2
260	как например	8	2
261	в том	20	2
262	одной из	2	2
263	что он	19	2
264	в какой	3	2
265	как нечто	1	2
266	это же	1	2
267	тот или	1	2
268	для всех	1	2
269	да еще	1	2
270	я считаю	1	2
271	далее но	1	2
272	для него	3	2
273	заметить что	2	2
274	тем что	19	2
275	даже и	1	2
276	перейти к	1	2
277	тот смысл	1	2
278	к которому	3	2
279	еще и	1	2
280	связано с	5	2
281	не было	4	2
282	до конца	3	2
283	на возможность	1	2
284	выражение прежде	1	2
285	должна была	4	2
286	в связи	3	2
287	связь с	4	2
288	нет ничего	1	2
289	из трех	1	2
290	теперь к	1	2
291	в разговоре	1	2
292	из которых	4	2
293	смысле этого	1	2
294	должно быть	1	2
295	эти вопросы	1	2
296	сих пор	2	2
297	но это	4	2
298	это выражение	2	2
299	тем и	1	2
300	или в	2	2
301	а к	1	2
302	у них	1	2
303	и ни	2	2
304	мы как	1	2
305	язык который	1	2
306	что другое	1	2
307	несмотря на	3	2
308	не говоря	1	2
309	в частности	1	2
310	к этому	3	2
311	в своих	8	2
312	гораздо более	2	2
313	значения этого	1	1
314	с новыми	1	1
315	то чему	1	1
316	смысле слова	1	1
317	ту же	1	1
318	одним из	1	1
319	языка с	1	1
320	конструкцию и	1	1
321	по отдельным	1	1
322	чем этот	1	1
323	на выборе	1	1
324	переход от	1	1
325	к своей	2	1
326	перед лицом	1	1
327	и до	1	1
328	собственном смысле	1	1
329	в их	3	1
330	из всех	1	1
331	например в	4	1
332	в историю	1	1
333	если я	2	1
334	для своего	1	1
335	такие стихи	2	1
336	при анализе	1	1
337	этом не	1	1
338	еще до	1	1
339	в сущности	2	1
340	совпадает с	1	1
341	говорить о	3	1
342	х годов	2	1
343	ему в	1	1
344	но то	1	1
345	в числе	1	1
346	того же	2	1
347	в каждой	2	1
348	в сцене	6	1
349	группируются вокруг	1	1
350	быть в	1	1
351	не был	2	1
352	но этого	1	1
353	хочет сказать	2	1
354	в чем	4	1
355	будем знать	1	1
356	б с	1	1
357	именно этот	1	1
358	но как	2	1
359	и другие	1	1
360	внимание именно	1	1
361	в сторону	1	1
362	если в	2	1
363	в общем	4	1
364	какой степени	1	1
365	в новом	2	1
366	иногда и	1	1
367	вышел из	1	1
368	стал бы	2	1
369	к сожалению	2	1
370	относится к	4	1
371	слишком большой	1	1
372	в собственном	1	1
373	там где	1	1
374	в истории	1	1
375	как говорит	1	1
376	в одной	2	1
377	только ее	1	1
378	в своем	1	1
379	и различные	1	1
380	однако не	1	1
381	кроме того	3	1
382	и где	1	1
383	когда он	1	1
384	вопросом о	1	1
385	и внутреннюю	1	1
386	не являются	1	1
387	и художественного	1	1
388	более или	1	1
389	является выражением	1	1
390	от этого	1	1
391	то в	4	1
392	указания на	1	1
393	в литературном	1	1
394	формы в	2	1
395	возможно что	1	1
396	из этих	6	1
397	думать что	1	1
398	еще один	1	1
399	остановиться на	1	1
400	имеем в	2	1
401	все они	3	1
402	и если	3	1
403	это связано	3	1
404	тем не	2	1
405	он не	5	1
406	о которой	2	1
407	всех этих	3	1
408	с нашим	2	1
409	он должен	1	1
410	этого вопроса	1	1
411	не как	2	1
412	на этом	3	1
413	на то	5	1
414	форме а	1	1
415	более часты	1	1
416	вырос и	1	1
417	в другом	3	1
418	конечно в	1	1
419	отметить и	1	1
420	на протяжении	4	1
421	звучат в	2	1
422	в исключительных	1	1
423	должен был	2	1
424	между отдельными	1	1
425	но уже	1	1
426	он является	1	1
427	нет в	3	1
428	к которым	1	1
429	с этой	3	1
430	отражается в	1	1
431	во внимание	1	1
432	язык создавался	1	1
433	ставит глагол	1	1
434	и тогда	2	1
435	и того	1	1
436	форму но	1	1
437	или менее	1	1
438	в г	12	1
439	бы на	1	1
440	взгляд на	2	1
441	наших дней	1	1
442	на месте	1	1
443	стороне этого	1	1
444	приблизительно так	1	1
445	поэтому в	1	1
446	творчества и	1	1
447	но имеет	1	1
448	в прямом	2	1
449	по крайней	4	1
450	даже к	1	1
451	и эти	1	1
452	том же	1	1
453	что этот	3	1
454	в устах	4	1
455	слов о	1	1
456	из одного	1	1
457	т.е на	1	1
458	вместе со	1	1
459	по себе	1	1
460	даже в	1	1
461	в одно	1	1
462	тему которая	1	1
463	произведения и	2	1
464	нет никакого	3	1
465	этих трех	2	1
466	если и	2	1
467	не менее	2	1
468	но они	2	1
469	это чувство	1	1
470	как можно	2	1
471	что эта	2	1
472	с теми	1	1
473	слова вот	1	1
474	в русской	6	1
475	тогда когда	2	1
476	того как	1	1
477	одна из	2	1
478	в развитии	2	1
479	благодаря тому	1	1
480	так чтобы	2	1
481	чтобы стать	1	1
482	иметь в	1	1
483	к такому	2	1
484	о той	1	1
485	только не	1	1
486	и всегда	2	1
487	в общих	2	1
488	внешнего выражения	1	1
489	в самой	1	1
490	с одним	1	1
491	того в	1	1
492	определенную точку	1	1
493	всей жизни	1	1
494	свидетельствуют о	1	1
495	ничто не	1	1
496	в стиле	1	1
497	какой форме	1	1
498	и оно	1	1
499	или только	1	1
500	но там	1	1
501	и другой	1	1
502	и такие	2	1
503	для его	2	1
504	утверждать что	2	1
505	в работах	1	1
506	жизни уже	1	1
507	должен быть	2	1
508	большей части	1	1
509	расположение их	1	1
510	что для	3	1
511	приходит к	1	1
512	не совсем	2	1
513	и о	1	1
514	а затем	1	1
515	говоря уже	1	1
516	без всякого	2	1
517	интонации более	1	1
518	как по	1	1
519	которые звучат	1	1
520	в произведении	1	1
521	тот жанр	1	1
522	самой темы	1	1
523	целым рядом	1	1
524	оно также	1	1
525	но зато	1	1
526	не трудно	1	1
527	здесь как	1	1
528	и среди	1	1
529	здесь нет	2	1
530	показать как	1	1
531	является в	1	1
532	разрыв с	1	1
533	для этого	2	1
534	по мере	1	1
535	образом в	1	1
536	разговорной речи	1	1
537	каждый раз	2	1
538	на вопрос	3	1
539	и что	3	1
540	здесь слово	2	1
541	что его	2	1
542	все его	1	1
543	может не	1	1
544	знает что	1	1
545	и во	2	1
546	жизни он	1	1
547	являются в	1	1
548	между тем	6	1
549	отметить что	5	1
550	крайней мере	4	1
551	языка это	2	1
552	на те	1	1
553	в литературе	1	1
554	хviii веке	1	1
555	выбор того	1	1
556	которым мы	1	1
557	в угоду	1	1
558	бы из	1	1
559	в интересах	2	1
560	он уже	1	1
561	к самим	1	1
562	между этими	1	1
563	русской литературе	1	1
564	же он	1	1
565	где они	1	1
566	до наших	1	1
567	история и	1	1
568	так что	11	1
569	есть в	2	1
570	которому он	1	1
571	не можем	1	1
572	был очень	1	1
573	в виде	3	1
574	его с	1	1
575	время является	1	1
576	является не	1	1
577	здесь же	1	1
578	не из	1	1
579	мочи нет	1	1
580	при помощи	2	1
581	не стал	1	1
582	он принадлежит	1	1
583	цели и	2	1
584	ни в	5	1
585	могло бы	1	1
586	допустил бы	1	1
587	вовсе не	2	1
588	гораздо большей	1	1
589	характерным в	1	1
590	не о	1	1
591	друг друга	1	1
592	у него	9	1
593	социальная структура	1	1
594	к той	1	1
595	не противоречит	1	1
596	из приведенных	1	1
597	в особенности	4	1
598	с общим	1	1
599	связан с	3	1
600	со стороны	3	1
601	пришли к	2	1
602	до сих	2	1
603	имеет и	1	1
604	с другой	5	1
605	за пределы	1	1
606	хiх века	1	1
607	действующих лиц	4	1
608	такое же	2	1
609	по большей	1	1
610	к более	1	1
611	она является	1	1
612	нужно понять	1	1
613	понимать как	1	1
614	именно так	1	1
615	языка не	1	1
616	его как	3	1
617	и принимает	1	1
618	они как	1	1
619	в хviii	1	1
620	человека под	1	1
621	полемизировать с	1	1
622	о чем	1	1
623	речь из	1	1
624	свое отражение	1	1
625	случайным и	1	1
626	здесь только	2	1
627	в речи	4	1
628	именно поэтому	2	1
629	свое особое	1	1
630	как материал	1	1
631	смысл который	1	1
632	здесь является	1	1
633	века был	1	1
634	статье о	1	1
635	он говорит	4	1
636	т.е в	1	1
637	в течение	4	1
638	тому как	1	1
639	д о	1	1
640	которые по	1	1
641	именно в	1	1
642	нужно отметить	2	1
643	является как	2	1
644	как раз	3	1
645	говорить что	1	1
646	которые были	2	1
647	элементы языка	1	1
648	это уже	1	1
649	процесса в	1	1
650	всего с	1	1
651	исключительных случаях	1	1
652	такое сознание	1	1
653	совершается в	1	1
654	что я	3	1
655	в результате	2	1
656	о котором	1	1
657	другое дело	3	1
658	это как	1	1
659	эту историю	1	1
660	в те	1	1
661	что в	19	1
662	собственно говоря	1	1
663	такие слова	1	1
664	с языком	1	1
665	тем более	3	1
666	в поле	1	1
667	и темы	1	1
668	на языке	1	1
669	ее в	2	1
670	укладывается в	1	1
671	а о	1	1
672	слово в	2	1
673	другой стороны	5	1
674	состоит из	1	1
675	была бы	4	1
676	является и	1	1
677	в последнем	2	1
678	самое и	1	1
679	наряду с	1	1
680	которой я	3	1
681	вполне понятно	1	1
682	значение он	2	1
683	только одного	1	1
684	все что	1	1
