N	2gram	Propp_Isto_2	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	11	2
4	в этом	11	2
5	он не	8	2
6	что в	12	2
7	ничего не	7	2
8	бы что	1	2
9	нет есть	1	1
10	все это	3	1
11	этим и	1	1
12	автор не	1	1
13	нисколько не	2	1
14	и др	4	1
15	и тот	1	1
16	как смерть	1	1
17	и в	15	1
18	и о	1	1
19	в эту	2	1
20	я не	2	1
21	них не	1	1
22	а по	1	1
23	то она	1	1
24	как только	1	1
25	многое другое	1	1
26	первого брака	1	1
27	и со	1	1
28	с другой	2	1
29	это было	1	1
30	проф и	1	1
31	а в	12	1
32	вплоть до	1	1
33	и дети	1	1
34	к нам	1	1
35	так то	1	1
36	того что	3	1
37	в руки	2	1
38	свою жену	1	1
39	как о	1	1
40	на котором	2	1
41	а с	2	1
42	другой стороны	2	1
43	в материале	1	1
44	а также	2	1
45	что при	5	1
46	говорить о	1	1
47	могло бы	1	1
48	видит в	2	1
49	отношению к	3	1
50	а если	1	1
51	так и	5	1
52	бы его	1	1
53	от этого	1	1
54	того чтобы	2	1
55	все ясно	1	1
56	ушел от	1	1
57	вероятно на	1	1
58	никогда не	15	1
59	следующим образом	1	1
60	когда его	1	1
61	только для	1	1
62	и очень	1	1
63	и ничего	2	1
64	тем что	4	1
65	в целом	1	1
66	и многое	1	1
67	по отношению	3	1
68	в них	1	1
69	все эти	4	1
70	но когда	1	1
71	по существу	2	1
72	и и	1	1
73	не слишком	1	1
