N	4gram	Vygotskiy__1	Myshleni
1	в то время как	5	5
2	в силу того что	2	5
3	заключается в том что	3	5
4	одного и того же	1	4
5	по самой своей природе	1	4
6	одной и той же	3	3
7	в том что мы	1	2
8	от того что он	1	2
9	состоит в том что	1	2
10	одном и том же	1	2
11	если принять во внимание	1	2
12	несмотря на то что	2	2
13	это все равно что	1	1
14	совершенно так же как	1	1
15	только тогда когда оно	1	1
16	что мы имеем дело	1	1
17	в том числе и	1	1
18	и в конце концов	1	1
19	точно так же как	1	1
20	мы видим в том	1	1
21	не что иное как	1	1
22	в собственном смысле слова	2	1
23	заключается только в том	1	1
24	с этой точки зрения	4	1
25	но вместе с тем	1	1
26	к решению этого вопроса	1	1
27	есть в сущности говоря	1	1
28	с психологической точки зрения	3	1
29	факт заключается в том	1	1
30	же как и в	1	1
31	так же как и	1	1
32	так как мы знаем	1	1
33	один и тот же	1	1
