N	2gram	Potebnia_M_4	PoTuStor
1	может быть	26	17
2	и в	23	16
3	в этом	23	9
4	и проч	18	9
5	таким образом	24	9
6	и только	3	9
7	мы можем	10	9
8	прежде всего	1	9
9	и с	4	8
10	точки зрения	4	8
11	и его	2	8
12	не может	11	8
13	не только	10	7
14	в сознание	2	7
15	сказать что	8	7
16	самом деле	3	6
17	конечно не	2	6
18	при этом	15	6
19	с точки	3	6
20	и это	2	6
21	для него	5	6
22	и к	6	6
23	еще не	3	5
24	в чем	1	5
25	отношение к	2	5
26	все эти	3	5
27	до сознания	1	5
28	что такое	7	5
29	только для	2	5
30	ту сторону	1	5
31	как бы	5	5
32	на самом	3	4
33	и на	3	4
34	но в	8	4
35	в этой	1	4
36	в нем	7	4
37	и может	4	4
38	его в	4	4
39	мысли и	7	4
40	все это	5	4
41	самого начала	2	4
42	как мы	2	4
43	с самого	1	4
44	так и	6	4
45	но мы	2	4
46	можно сказать	4	4
47	в его	5	4
48	а потому	1	4
49	с ними	3	4
50	только в	15	4
51	и их	3	4
52	так как	14	4
53	и даже	2	4
54	но и	11	4
55	и не	18	4
56	и все	4	4
57	хотя бы	4	4
58	все что	2	4
59	если б	4	3
60	и значение	3	3
61	во всех	1	3
62	и есть	3	3
63	и как	2	3
64	и художественного	1	3
65	чувств и	1	3
66	их в	3	3
67	на этом	1	3
68	том что	12	3
69	во время	2	3
70	сих пор	4	3
71	в одном	4	3
72	по крайней	5	3
73	и притом	2	3
74	до сих	4	3
75	те же	3	3
76	мира и	1	3
77	представлений и	2	3
78	с другими	4	3
79	крайней мере	5	3
80	в том	23	3
81	в большинстве	2	3
82	только на	4	3
83	большинстве случаев	2	3
84	всяком случае	3	3
85	даже не	2	3
86	в области	2	3
87	и др	2	3
88	для сознания	1	3
89	вместе с	6	3
90	и потому	10	3
91	как это	1	3
92	могут быть	7	3
93	что в	17	3
94	в этих	3	3
95	а в	5	3
96	то что	29	3
97	между ними	4	3
98	только как	4	3
99	жизни и	1	3
100	во всяком	5	3
101	ту же	3	2
102	нам кажется	2	2
103	в самом	3	2
104	мы уже	3	2
105	мы не	8	2
106	и о	4	2
107	из сказанного	3	2
108	говорить о	5	2
109	что можно	1	2
110	того же	1	2
111	и говорить	2	2
112	на них	1	2
113	на высоте	1	2
114	из этих	2	2
115	но как	1	2
116	нет и	1	2
117	за пределы	1	2
118	меньше всего	1	2
119	с этим	7	2
120	что это	7	2
121	и через	1	2
122	вообще не	1	2
123	он не	2	2
124	нашего времени	3	2
125	и по	3	2
126	то же	14	2
127	по своему	2	2
128	и мы	5	2
129	было бы	8	2
130	почти совершенно	1	2
131	в них	3	2
132	всю жизнь	1	2
133	как и	14	2
134	между собою	4	2
135	на первый	1	2
136	в своей	1	2
137	можем сказать	2	2
138	возникает в	1	2
