N	3gram	Bakhtin_fo_1	slovoVRo
1	и т п	8	23
2	то же время	9	12
3	в то же	6	12
4	в той или	1	9
5	той или иной	2	9
6	или иной степени	1	9
7	с точки зрения	2	8
8	во всех его	1	7
9	и в то	5	5
10	во всяком случае	1	5
11	зрения на мир	1	4
12	и в особенности	2	4
13	как мы сказали	1	4
14	с одной стороны	2	4
15	но в то	1	4
16	быть тем чем	1	3
17	в зависимости от	1	3
18	в нем в	2	3
19	в данном случае	1	3
20	почти вовсе не	1	3
21	так и в	1	3
22	и в сущности	2	2
23	то есть для	1	2
24	точка зрения на	1	2
25	в широком смысле	2	2
26	а вовсе не	1	2
27	мы уже сказали	2	2
28	в этом случае	1	2
29	до сих пор	3	2
30	и во всех	1	2
31	до известной степени	1	2
32	но по существу	2	2
33	может быть только	3	2
34	одно и то	3	2
35	то время как	2	2
36	не только в	2	2
37	в то время	3	2
38	и то же	3	2
39	и в этом	1	2
40	не могут быть	1	2
41	не могло найти	1	2
42	в риторических жанрах	1	2
43	в свою очередь	1	2
44	ничего нового не	1	2
45	или во всяком	1	2
46	не только на	1	2
47	как мы уже	8	2
48	и в том	1	2
49	друг с другом	1	2
50	а следовательно и	1	1
51	да и в	1	1
52	в стороне от	1	1
53	прямо сказать что	2	1
54	между собой в	1	1
55	со всеми его	2	1
56	точки зрения которого	1	1
57	то есть не	2	1
58	прежде всего в	1	1
59	дело в том	2	1
60	как мы видим	2	1
61	в основе ее	1	1
62	имеем в виду	1	1
63	разновидностей европейского романа	1	1
64	то есть к	1	1
65	которых мы говорили	1	1
66	же время он	1	1
67	человека в нем	1	1
68	и это отношение	1	1
69	лишь в плане	1	1
70	не входит в	1	1
71	в отличие от	2	1
72	может иметь место	1	1
73	но и в	2	1
74	в этом отношении	3	1
75	оно ничего не	1	1
76	себе самому и	1	1
77	начале xx века	1	1
78	нет ничего что	1	1
79	всех слоев и	1	1
80	со всех сторон	1	1
81	у него нет	1	1
82	не вносит в	1	1
83	разобранных нами явлениях	1	1
84	слово в указанном	1	1
85	может быть и	2	1
86	и в частности	2	1
87	не могло быть	3	1
88	тем чем они	1	1
89	в значительной степени	1	1
90	в истории романа	1	1
91	все же и	1	1
92	одной из них	1	1
93	в первый раз	1	1
94	так и вне	1	1
95	но и на	1	1
96	в один ряд	1	1
97	и все его	1	1
98	жизни но и	1	1
99	мы имеем в	1	1
100	вовсе не может	1	1
101	а также и	2	1
102	и вне его	1	1
103	но повторяем в	2	1
104	во всех этих	1	1
105	и ничего не	1	1
106	на фоне которого	2	1
107	автора и его	1	1
108	в особенности в	1	1
109	себя в этом	1	1
110	в точном смысле	2	1
111	можно прямо сказать	2	1
112	как в самом	1	1
113	и у него	2	1
114	о которых мы	1	1
115	не может быть	3	1
116	и др не	1	1
117	до наших дней	1	1
118	и до наших	1	1
119	и во всяком	1	1
120	о том что	1	1
121	именно в процессе	1	1
122	узком смысле слова	1	1
123	равно как и	2	1
124	различные формы и	1	1
125	мы остановимся здесь	1	1
126	влияние которого на	1	1
127	на протяжении всего	1	1
128	то есть в	1	1
129	с самого начала	2	1
130	никогда не бывает	1	1
131	все его моменты	1	1
132	оно как мы	1	1
133	но в этом	1	1
134	и непосредственное отношение	1	1
135	громадное значение в	1	1
136	и прежде всего	2	1
137	включает в себя	1	1
138	и вступает в	1	1
139	существенную роль в	2	1
140	по преимуществу в	1	1
141	широком смысле но	1	1
142	лишь там где	1	1
143	таков первый тип	1	1
144	разных эпох и	1	1
145	из них у	1	1
146	чем они были	1	1
147	для того чтобы	5	1
148	в том что	2	1
149	в последнем счете	1	1
150	как и в	2	1
