N	3gram	Berdyaev_N_1	FransuaR
1	в средние века	3	8
2	не только в	1	5
3	в эту эпоху	1	4
4	но и в	1	4
5	до сих пор	1	4
6	не может быть	4	4
7	и во всех	1	3
8	с одной стороны	2	3
9	о том что	1	3
10	с другой стороны	2	3
11	в эпоху ренессанса	1	2
12	в значительной степени	1	2
13	средние века были	1	2
14	во всяком случае	1	2
15	ни в одну	1	2
16	подобно тому как	3	2
17	знает что будет	1	1
18	к себе отношения	1	1
19	но это есть	1	1
20	только потому что	1	1
21	есть лишь в	1	1
22	xiv и xv	1	1
23	и не может	1	1
24	в одну эпоху	1	1
25	то что в	1	1
26	что в нем	2	1
27	в том чтобы	1	1
28	прежде всего как	1	1
29	во всех сферах	3	1
30	не могут быть	1	1
31	в одну из	1	1
32	в наше время	3	1
33	выходит за пределы	1	1
34	в новое время	1	1
35	в большинстве случаев	1	1
36	в том что	1	1
37	как и в	1	1
38	в эпоху когда	2	1
