N	3gram	Ircho_Kome_2	Mirosoze
1	не может быть	1	8
2	там и здесь	1	6
3	для того чтобы	4	4
4	что и в	2	4
5	до сих пор	2	3
6	к тому что	2	3
7	так как он	1	2
8	и та же	1	2
9	одна и та	1	2
10	о том что	4	2
11	по отношению к	3	2
12	что это не	1	2
13	после того как	2	2
14	в том что	5	2
15	как и во	1	2
16	сомневаться в том	2	1
17	потому что в	1	1
18	знать друг друга	1	1
19	никто не был	1	1
20	так и не	1	1
21	в разных ее	1	1
22	с точки зрения	1	1
23	что он не	1	1
24	но и в	1	1
25	а может быть	1	1
26	ни у кого	1	1
27	не раскрывается с	1	1
28	как можно более	1	1
29	о чем они	1	1
30	такой силой как	1	1
31	по сравнению с	1	1
32	с такой силой	1	1
33	так как будто	1	1
34	что у него	2	1
35	мере в какой	1	1
36	сих пор не	1	1
37	на протяжении всего	1	1
38	у него на	1	1
39	хотя бы в	1	1
40	той или иной	1	1
41	один из первых	1	1
42	не означает что	1	1
43	берет на себя	2	1
44	раскрывается с такой	1	1
45	независимо от его	1	1
