N	2gram	Medvedev_S_1	Psycholo
1	и в	3	38
2	то что	2	35
3	в том	5	25
4	что в	2	20
5	может быть	2	19
6	и что	2	18
7	что она	1	16
8	том что	2	14
9	как бы	2	14
10	в этом	5	13
11	в этой	1	13
12	и мы	2	13
13	не только	3	12
14	таким образом	2	12
15	было бы	2	12
16	не в	3	12
17	что он	1	11
18	то же	2	10
19	в сущности	1	10
20	что это	1	10
21	и не	1	10
22	же самое	1	10
23	все же	1	8
24	и как	1	8
25	как и	1	8
26	но только	1	8
27	вовсе не	1	8
28	перед нами	1	8
29	для нас	3	8
30	с другой	1	7
31	не может	1	7
32	все то	1	7
33	никак не	1	7
34	между тем	1	7
35	может служить	1	7
36	а в	1	7
37	в котором	1	6
38	тому что	1	6
39	и его	1	6
40	о том	1	6
41	один из	1	6
42	с одной	1	6
43	он говорит	1	6
44	должна быть	2	5
45	мы не	1	5
46	время в	1	5
47	иначе говоря	1	5
48	в своей	1	5
49	в его	3	5
50	но и	2	5
51	одной стороны	1	5
52	что эти	1	4
53	в целом	1	4
54	все эти	1	4
55	никогда не	1	4
56	как будто	2	4
57	только в	2	4
58	конечно не	1	4
59	у него	1	4
60	полагает что	1	3
61	что все	1	3
62	бы в	1	3
63	его в	1	3
64	в них	1	3
65	далеко не	2	3
66	место в	1	3
67	стоит только	1	3
68	в то	1	3
69	как только	2	3
70	и о	1	3
71	эти два	1	3
72	и только	3	3
73	тем что	1	3
74	только для	1	3
75	все это	7	3
76	она должна	1	3
77	она может	2	3
78	главным образом	2	3
79	между собой	1	2
80	столь же	1	2
81	но как	1	2
82	очевидно что	2	2
83	отнюдь не	1	2
84	и наконец	1	2
85	лучшем случае	1	2
86	что автор	1	2
87	по самому	1	2
88	в силу	1	2
89	и по	1	2
90	жанра и	1	2
91	и более	1	2
92	том и	1	2
93	в этих	1	2
94	дело не	2	2
95	ничего не	1	2
96	когда мы	1	2
97	только то	1	2
98	том как	1	2
99	для этого	1	2
100	с ним	1	2
101	наше время	1	2
102	это же	1	2
103	или не	1	2
104	в виде	1	2
105	всяком случае	1	2
106	в конце	2	2
107	как же	3	2
108	еще и	1	2
109	а с	1	2
110	и затем	1	2
111	хотя бы	1	2
112	в данном	1	2
113	но сам	1	2
114	по существу	2	2
115	быть не	1	2
116	раньше всего	1	2
117	благодаря этому	1	2
118	в наше	1	2
119	развития и	1	2
120	не должна	1	2
121	в лучшем	1	2
122	они не	1	2
123	во всяком	1	2
124	а между	1	1
125	и потому	1	1
126	это и	2	1
127	том именно	1	1
128	и есть	1	1
129	самому существу	1	1
130	еще не	2	1
131	свои права	1	1
132	в чем	1	1
133	сказать и	1	1
134	чтобы сделаться	1	1
135	слишком много	1	1
136	но не	1	1
137	именно на	1	1
138	в свои	1	1
139	они ни	1	1
140	ныне так	1	1
141	что без	1	1
142	собой не	1	1
143	это не	1	1
144	а вот	1	1
145	на основании	1	1
146	эти обобщения	1	1
147	представить себе	1	1
148	и благодаря	1	1
149	литературе мы	1	1
150	не от	1	1
151	тем именно	1	1
152	даже в	1	1
153	в таких	1	1
154	мысли в	1	1
155	поэтической формы	1	1
156	что на	1	1
157	конечно только	1	1
158	и заключается	2	1
159	подвести итоги	1	1
160	бы он	1	1
161	так и	1	1
162	те же	1	1
163	это вовсе	1	1
164	другая отвечает	1	1
165	в результате	2	1
166	от общих	1	1
167	и самым	1	1
168	может не	1	1
169	в конечном	1	1
170	мы понимаем	1	1
171	обобщения которые	1	1
172	какой же	1	1
173	без этого	1	1
174	справляется со	1	1
175	не из	1	1
176	ведь это	2	1
177	потому его	1	1
178	перейти к	1	1
179	не было	1	1
180	именно в	1	1
181	выйдет из	1	1
182	к которому	2	1
183	ни на	1	1
184	зависит от	1	1
185	вступает в	1	1
186	в частности	2	1
187	заключается что	2	1
188	в область	1	1
189	это значит	1	1
190	или нет	1	1
191	мы должны	1	1
192	между ними	1	1
193	только как	2	1
194	в заключение	1	1
