N	3gram	Propp_Morf_1	Problema
1	с точки зрения	2	11
2	тем не менее	4	10
3	в том что	3	8
4	это значит что	1	7
5	с другой стороны	4	6
6	в данном случае	1	5
7	здесь перед нами	1	5
8	во всяком случае	2	4
9	на самом деле	4	3
10	ни в коем	1	3
11	точно так же	1	3
12	и тем не	1	3
13	в коем случае	1	3
14	не в той	1	3
15	тех или иных	1	3
16	в связи с	8	3
17	о том что	1	3
18	и т д	39	3
19	хотя и не	1	2
20	мы не будем	2	2
21	и в других	1	2
22	в другом случае	1	2
23	то время как	3	2
24	в том или	1	2
25	здесь мы имеем	1	2
26	а также и	3	2
27	имеет ничего общего	1	2
28	в одном случае	1	2
29	то перед нами	5	2
30	для того чтобы	2	2
31	нечто иное чем	1	2
32	более или менее	2	2
33	в то время	3	2
34	это и не	2	2
35	и независимо от	1	2
36	дело не в	2	2
37	здесь как и	1	2
38	не имеет ничего	1	2
39	и ни к	1	1
40	во всех случаях	1	1
41	и может быть	1	1
42	но все же	3	1
43	сам он не	1	1
44	которых говорилось выше	1	1
45	иметь в виду	1	1
46	мы имеем в	1	1
47	между прочим и	1	1
48	далеко не все	3	1
49	это было бы	1	1
50	это нисколько не	1	1
51	том что он	1	1
52	о том как	1	1
53	что же касается	1	1
54	о которых говорилось	1	1
55	в результате победы	1	1
56	бы то ни	3	1
57	совершенно ясно что	1	1
58	случае не является	1	1
59	одно и то	1	1
60	в таком случае	1	1
61	до сих пор	1	1
62	можно сказать о	1	1
63	не значит что	2	1
64	то ни было	2	1
65	с одной стороны	1	1
66	на первый взгляд	3	1
67	говорить о том	1	1
68	в чем же	1	1
69	то это значит	1	1
70	исследование не только	1	1
71	на самого себя	1	1
72	это не значит	2	1
73	друг к другу	2	1
74	они превращаются в	1	1
75	а в другом	1	1
76	и как они	1	1
77	что это и	1	1
78	но так как	1	1
79	бросается в глаза	1	1
80	точном смысле слова	1	1
81	то что в	2	1
82	коем случае не	1	1
83	том или другом	1	1
84	то что не	1	1
85	с самого начала	1	1
86	и когда мы	1	1
87	настоящее время уже	1	1
88	в настоящее время	3	1
89	на то что	2	1
90	к тому что	3	1
91	поставить вопрос как	1	1
92	как и в	2	1
93	а если мы	1	1
94	значит что его	1	1
