N	4gram	Voloshinov_2	Psycholo
1	то же самое что	1	2
2	смысле этого слова и	1	2
3	точном смысле этого слова	3	2
4	дело в том что	1	1
5	в том что он	2	1
6	в таком случае это	2	1
7	вступить в противоречие с	1	1
8	какой бы то ни	2	1
9	как это делают некоторые	1	1
10	ни в какой мере	1	1
11	не что иное как	1	1
12	если бы это было	1	1
13	дела в самом деле	1	1
14	бы то ни было	4	1
15	и в свою очередь	1	1
16	в то же время	8	1
17	это было так то	1	1
18	следует ли отсюда что	1	1
19	в точном смысле этого	3	1
