N	3gram	Voloshinov_2	Sovremen
1	с точки зрения	13	5
2	в зависимости от	2	4
3	не может быть	10	4
4	мы видели что	1	3
5	с самого начала	5	3
6	тем не менее	1	2
7	друг с другом	1	2
8	во всяком случае	2	2
9	в отличие от	3	2
10	в свою очередь	5	2
11	с помощью которых	1	2
12	может быть и	5	2
13	мы можем назвать	1	2
14	то же самое	5	2
15	быть и речи	2	1
16	что иное как	1	1
17	одной стороны и	2	1
18	по крайней мере	2	1
19	не могут быть	1	1
20	всегда и всюду	2	1
21	в связи с	7	1
22	ровно ничего не	1	1
23	все более и	2	1
24	какой бы то	2	1
25	в этом направлении	1	1
26	и пр но	2	1
27	дело в том	1	1
28	по отношению к	8	1
29	на самом деле	4	1
30	но ведь это	1	1
31	в этом случае	1	1
32	остается подвести итоги	1	1
33	не было бы	2	1
34	почти у каждого	1	1
35	с и т.д	1	1
36	до сих пор	3	1
37	то же время	8	1
38	тот или иной	1	1
39	они не могут	1	1
40	но тем не	1	1
41	сами по себе	1	1
42	бы то ни	4	1
43	а может быть	1	1
44	в одном направлении	1	1
45	но они не	1	1
46	должен заключать в	1	1
47	но отнюдь не	1	1
48	в конечном счете	1	1
49	более и более	2	1
50	и не может	3	1
51	в самом деле	5	1
52	той или иной	4	1
53	и прежде всего	2	1
54	но все же	1	1
55	одна из них	1	1
56	заключать в себе	1	1
57	точки зрения своего	2	1
58	в то же	8	1
59	лишь там где	2	1
60	не что иное	1	1
61	мы уже знаем	2	1
62	между ним и	1	1
63	в том что	6	1
64	то ни было	4	1
65	же самое что	1	1
66	с одной стороны	3	1
