N	3gram	Tiupa_Hudo_1	KFilosof
1	по отношению к	8	21
2	не может быть	2	11
3	с точки зрения	3	10
4	может быть только	1	6
5	в чем не	1	4
6	ни в чем	1	4
7	на самом деле	1	3
8	в этом смысле	1	3
9	того или иного	2	3
10	и в этом	1	3
11	то что я	1	2
12	дело здесь не	1	2
13	есть на самом	1	2
14	уже не может	1	2
15	то же время	8	2
16	не со стороны	1	2
17	в то же	8	2
18	тем не менее	3	2
19	в том что	6	2
20	себя в другом	1	1
21	на то что	2	1
22	не может не	1	1
23	живет в мире	1	1
24	именно в этой	1	1
25	о нем но	1	1
26	можно говорить об	1	1
27	и в контексте	1	1
28	только в том	2	1
29	вступает в противоречие	1	1
30	и та же	1	1
31	вследствие того что	1	1
32	с ним в	1	1
33	но он должен	1	1
34	не может претендовать	1	1
35	здесь не в	1	1
36	причем все эти	1	1
37	несмотря на то	1	1
38	не сказали о	1	1
39	и в то	1	1
40	ту или иную	2	1
41	не потому что	1	1
42	в первом случае	1	1
43	но в то	3	1
44	в этот момент	1	1
45	в себе момент	2	1
46	в себя и	1	1
47	и по отношению	1	1
48	него и в	1	1
49	в том случае	1	1
50	не в том	2	1
51	в нем не	1	1
52	отношению к другим	1	1
53	во всяком случае	1	1
54	одна и та	1	1
55	ничего не сказали	1	1
56	вместо того чтобы	2	1
57	не растворяется в	1	1
58	помнить и о	1	1
59	в противоречие с	1	1
60	по себе а	1	1
61	в значительной степени	2	1
62	в свою очередь	1	1
63	жизни и смерти	3	1
64	в конечном счете	2	1
65	но в этом	1	1
66	но и от	1	1
67	не было ни	1	1
68	не в этом	1	1
69	если бы не	1	1
70	во второй половине	2	1
71	к тому что	4	1
72	в том смысле	1	1
73	не только от	1	1
74	могло бы быть	1	1
75	герой и героиня	1	1
76	то же самое	1	1
77	на том что	1	1
