N	2gram	Savitsky_E_1	Formalny
1	т е	9	32
2	и не	14	30
3	вовсе не	6	28
4	и в	37	27
5	может быть	6	25
6	не может	9	24
7	так и	10	21
8	и его	1	19
9	в этом	12	18
10	таким образом	2	18
11	а не	2	17
12	точки зрения	23	16
13	то же	15	15
14	в нем	1	15
15	в процессе	4	15
16	между ними	2	15
17	как и	7	14
18	с точки	17	14
19	не в	5	12
20	если бы	2	12
21	и т	1	11
22	в самом	4	11
23	в жизни	1	11
24	и от	3	11
25	не могут	2	10
26	место в	3	10
27	но и	14	10
28	не только	18	9
29	лишь в	1	9
30	как его	1	9
31	так как	7	9
32	так же	9	9
33	отнюдь не	9	8
34	как бы	6	8
35	при этом	1	8
36	входит в	1	8
37	как мы	5	8
38	в пределах	25	8
39	только в	9	8
40	то что	6	8
41	и все	2	8
42	что в	21	8
43	с тем	3	7
44	не менее	1	7
45	же время	14	7
46	потому что	3	7
47	между тем	8	7
48	в его	2	7
49	в том	11	7
50	для них	2	7
51	если мы	1	7
52	там где	3	7
53	в то	16	7
54	но в	14	6
55	все эти	1	6
56	т д	1	6
57	в своей	8	6
58	и ее	1	6
59	всяком случае	3	6
60	и теперь	2	6
61	было бы	8	6
62	с другой	7	6
63	более того	1	6
64	вместе с	2	6
65	в данном	3	6
66	все же	1	6
67	и для	3	6
68	бы в	2	6
69	хотя бы	15	6
70	в своих	2	6
71	во всяком	3	6
72	но не	5	5
73	в истории	2	5
74	в одной	1	5
75	независимо от	4	5
76	войти в	1	5
77	ни было	4	5
78	того чтобы	6	5
79	сводится к	1	5
80	в направлении	4	5
81	в ней	4	5
82	никогда не	3	5
83	в идеологическом	2	5
84	связи с	1	5
85	большинстве случаев	3	5
86	и их	1	5
87	тем что	3	5
88	и потому	5	5
89	что же	2	5
90	не является	3	5
91	в результате	3	5
92	другой стороны	2	5
93	не есть	2	4
94	мы не	4	4
95	бы то	4	4
96	как в	3	4
97	и как	2	4
98	и те	1	4
99	бы ни	3	4
100	в корне	1	4
101	то ни	4	4
102	данном случае	2	4
103	в ее	8	4
104	мы знаем	1	4
105	том что	6	4
