N	2gram	Tiupa_Hudo_2	SlovoVZh
1	не может	4	16
2	может быть	8	14
3	точки зрения	2	14
4	как бы	5	13
5	и его	5	13
6	и в	28	12
7	по отношению	7	11
8	в нашем	2	11
9	отношению к	7	11
10	и не	18	10
11	если бы	6	9
12	так как	1	9
13	прежде всего	3	8
14	нашем примере	1	7
15	сказать что	2	7
16	для нас	3	7
17	в ней	3	6
18	в том	15	6
19	только в	4	6
20	при этом	11	6
21	в нем	3	6
22	слова и	1	6
23	все время	3	6
24	и героя	1	6
25	то же	6	5
26	можно сказать	6	5
27	отнюдь не	2	5
28	как в	5	5
29	но в	2	5
30	в жизни	8	5
31	героя и	3	5
32	а не	14	5
33	как и	11	5
34	том что	19	5
35	никогда не	5	5
36	хотя бы	2	5
37	то что	6	5
38	к нему	3	4
39	за пределы	1	4
40	в этом	13	4
41	все же	2	4
42	в самом	5	4
43	уже не	10	4
44	не только	11	4
45	отношение к	2	4
46	от того	1	4
47	так и	8	4
48	с другой	3	4
49	что не	2	4
50	не в	13	4
51	его в	2	4
52	дело в	1	4
53	и к	2	4
54	жизни и	6	4
55	и на	3	4
56	здесь не	2	3
57	самом деле	3	3
58	в котором	6	3
59	в пределах	1	3
60	еще не	3	3
61	мы не	1	3
62	о том	12	3
63	бы то	1	3
64	но и	9	3
65	между тем	8	3
66	точка зрения	1	3
67	нуждается в	2	3
68	того что	1	3
69	в художественном	4	3
70	быть и	1	3
71	когда он	1	3
72	имеет в	1	3
73	и ее	3	3
74	все эти	1	3
75	только на	5	3
76	в себе	9	3
77	да и	5	3
78	в творчестве	1	3
79	для него	5	3
80	то ни	1	3
81	и с	6	3
82	до сих	2	3
83	в них	3	3
84	и уже	4	3
85	в своей	6	3
86	так же	3	3
87	тем не	4	3
88	как к	1	3
89	и более	1	3
90	из этого	1	3
91	не должна	1	3
92	по себе	1	3
93	произведения и	1	3
94	художественное произведение	1	3
95	сих пор	2	3
96	не менее	5	3
97	все это	3	3
98	но для	1	3
99	с автором	1	3
100	и для	2	3
101	ее и	1	3
102	с ним	7	3
103	отношении к	1	3
104	и то	2	2
105	как это	7	2
106	но тем	2	2
107	в себя	1	2
108	едва ли	3	2
109	те же	2	2
110	на материале	1	2
111	мы имеем	1	2
112	мы в	1	2
113	и здесь	1	2
114	не остается	1	2
