N	3gram	Tiupa_Hudo_1	Freidism
1	с точки зрения	3	11
2	по отношению к	9	8
3	не может быть	3	7
4	и прежде всего	1	5
5	в то же	5	4
6	можно сказать что	3	4
7	то же время	5	4
8	в таком случае	1	3
9	бы то ни	1	3
10	для того чтобы	2	3
11	в конечном счете	5	3
12	в свою очередь	2	3
13	с одной стороны	2	2
14	это и есть	1	2
15	в таких случаях	1	2
16	во внешнем мире	1	2
17	он не только	1	2
18	может быть и	2	2
19	то ни было	1	2
20	может быть это	1	2
21	а с другой	2	2
22	внутренней и внешней	2	2
23	в отличие от	7	2
24	все то что	1	2
25	не могут быть	1	2
26	то же самое	1	2
27	то или иное	1	2
28	тем не менее	3	2
29	и по отношению	1	2
30	о том что	1	1
31	из этих двух	1	1
32	его роли в	1	1
33	себе а в	1	1
34	пределы всего что	1	1
35	ни в коем	2	1
36	из того что	1	1
37	до известной степени	2	1
38	на всех людей	1	1
39	во внутренней речи	1	1
40	таким образом и	1	1
41	имея в виду	1	1
42	отношений внешнего мира	1	1
43	в этом смысле	3	1
44	имеем в виду	3	1
45	обратим внимание на	1	1
46	для искусства в	1	1
47	все что может	1	1
48	можно говорить о	1	1
49	на время в	1	1
50	в том что	7	1
51	в этом случае	1	1
52	является как бы	1	1
53	отличие от обычного	1	1
54	в то время	1	1
55	за пределы всего	1	1
56	той или иной	4	1
57	все без исключения	1	1
58	мы имеем в	3	1
59	это было бы	1	1
60	и для других	1	1
61	в чем состоит	1	1
62	в основе своей	1	1
63	в широком и	1	1
64	мы видим в	1	1
65	но в отличие	1	1
66	таком случае это	1	1
67	коем случае не	2	1
68	он еще не	1	1
69	и его роли	1	1
70	мы нигде не	1	1
71	быть не может	1	1
72	является одним из	1	1
73	только то что	1	1
74	между собой в	1	1
75	и внутренней речи	1	1
76	по крайней мере	1	1
77	как и ее	1	1
78	на первый взгляд	1	1
79	в коем случае	2	1
