N	2gram	Propp_Russ_2	UchenyiS
1	и в	29	14
2	а не	4	10
3	не только	10	10
4	прежде всего	2	8
5	и не	1	8
6	не может	5	7
7	в этом	11	7
8	то что	5	7
9	может быть	13	6
10	то же	4	5
11	все это	10	5
12	с другой	2	4
13	но и	8	4
14	в их	2	4
15	в этой	3	4
16	вряд ли	2	3
17	и то	2	3
18	это не	5	3
19	было бы	3	3
20	как и	11	3
21	для этого	5	3
22	в своей	2	3
23	или точнее	1	3
24	очевидно что	2	3
25	к сожалению	1	3
26	в то	2	3
27	все же	2	3
28	но в	5	3
29	не следует	1	3
30	у нас	4	3
31	другой стороны	1	3
32	для него	1	3
33	что все	1	2
34	а между	1	2
35	одним из	2	2
36	и с	10	2
37	и через	3	2
38	а как	1	2
39	в некоторых	9	2
40	превращается в	1	2
41	мы не	6	2
42	о чем	4	2
43	на эту	2	2
44	если бы	1	2
45	ничего не	1	2
46	не столько	2	2
47	должна была	5	2
48	том что	22	2
49	на первый	3	2
50	сводится к	1	2
51	мы и	1	2
52	нас в	1	2
53	но не	5	2
54	не все	4	2
55	в его	1	2
56	по существу	4	2
57	что и	2	2
58	но это	1	2
59	в противном	1	2
60	в том	22	2
61	и для	2	2
62	что он	1	2
63	в самом	1	2
64	между тем	3	2
65	только в	1	2
66	не в	4	2
67	и является	1	2
68	вопроса о	1	2
69	этом отношении	1	2
70	всех этих	1	2
71	могут быть	2	2
72	в конце	1	2
73	смысле этого	1	2
74	как раз	1	2
75	тем что	3	2
76	что она	3	2
77	таким образом	6	2
78	и это	1	1
79	области в	1	1
80	об этом	2	1
81	же как	4	1
82	в исторической	1	1
83	связанных с	1	1
84	в этот	10	1
85	человека и	1	1
86	даже не	1	1
87	в виду	2	1
88	входит в	1	1
89	первую очередь	1	1
90	данном случае	7	1
91	в период	1	1
92	сюда же	2	1
93	вообще мы	1	1
94	из самых	1	1
95	в пределах	1	1
96	или по	1	1
97	это для	1	1
98	и др	1	1
99	еще одно	1	1
100	из первых	1	1
101	что для	3	1
102	объясняется и	1	1
103	никогда не	2	1
104	как живой	1	1
105	так и	1	1
106	по его	1	1
107	и возвращается	1	1
108	одной стороны	2	1
109	относится к	1	1
110	до конца	3	1
111	оно все	1	1
112	с тем	6	1
113	мы имеем	6	1
114	что никакого	1	1
115	при более	1	1
116	и даже	1	1
117	должно быть	2	1
118	по теории	1	1
119	остается в	1	1
120	можно сказать	1	1
121	состоять в	1	1
122	или менее	1	1
123	в г	2	1
124	один пример	1	1
125	этой же	1	1
126	как на	1	1
127	приводит к	1	1
128	о том	9	1
129	в ней	1	1
130	и потому	1	1
131	относятся к	1	1
132	в котором	3	1
133	только для	1	1
134	и что	5	1
135	она в	1	1
136	он был	1	1
137	в различных	1	1
138	из которых	2	1
139	все в	2	1
140	в течение	2	1
141	пишет в	3	1
142	ее к	2	1
143	он может	1	1
144	в данном	6	1
145	с момента	1	1
146	не входит	1	1
147	того что	3	1
148	в которых	4	1
149	образом на	1	1
150	их в	4	1
151	что этот	1	1
152	нет и	1	1
153	на то	1	1
154	быть не	1	1
155	него не	1	1
156	отнюдь не	1	1
157	она не	3	1
158	этом случае	6	1
159	первый взгляд	1	1
160	полагая что	1	1
161	независимо от	1	1
162	в своем	1	1
163	что с	2	1
164	которой и	1	1
165	и все	4	1
166	того как	2	1
167	тот же	1	1
168	более или	1	1
169	подходят к	1	1
170	есть ли	1	1
171	и действительно	1	1
172	верно и	1	1
173	применение в	1	1
174	в которой	2	1
175	не было	2	1
176	он в	1	1
177	тогда когда	4	1
178	с одной	2	1
179	в качестве	3	1
180	тем более	1	1
181	что по	4	1
182	буквальном смысле	1	1
183	живого человека	2	1
184	уже не	4	1
185	далеко не	4	1
186	ее как	1	1
187	то и	4	1
188	же в	6	1
189	в виде	4	1
190	в нем	1	1
191	связанные с	2	1
192	или даже	3	1
193	или просто	2	1
194	но если	3	1
195	месте в	1	1
196	о которой	1	1
197	сказать что	1	1
198	только как	2	1
199	одно из	2	1
200	в первую	1	1
201	он называет	1	1
202	и так	1	1
203	природе и	1	1
204	религии и	1	1
205	время не	1	1
206	но он	3	1
207	ее в	8	1
208	и эта	1	1
209	это в	2	1
210	а это	1	1
211	что при	2	1
212	к этому	5	1
213	что в	22	1
214	в таком	4	1
215	все что	1	1
