N	3gram	Losev_Prob_5	Hudozhes
1	в том что	8	11
2	по отношению к	2	7
3	о том что	9	7
4	то же время	1	4
5	в то же	1	4
6	в самом деле	1	3
7	не может быть	2	3
8	с одной стороны	3	3
9	для того чтобы	2	3
10	тем не менее	5	3
11	состоит в том	1	2
12	о том как	1	2
13	и в этом	1	2
14	с точки зрения	8	2
15	до сих пор	2	2
16	можно было бы	1	2
17	только тем что	1	2
18	но тем не	1	2
19	в данном случае	2	2
20	как будто бы	3	2
21	не зная что	1	2
22	не только в	1	2
23	к тому же	1	2
24	но еще и	1	2
25	и т д	1	2
26	это уже не	2	1
27	все что угодно	1	1
28	своего мужа при	1	1
29	то что я	1	1
30	но и самого	1	1
31	той или иной	1	1
32	так и остается	1	1
33	то ни стало	1	1
34	дело в том	2	1
35	в себе но	1	1
36	но и о	2	1
37	в настоящее время	3	1
38	во что бы	1	1
39	как раз и	1	1
40	и все же	1	1
41	и людей и	2	1
42	жизни в ее	1	1
43	и то и	1	1
44	человека а не	1	1
45	о том чтобы	1	1
46	бы то ни	2	1
47	своей жизни в	1	1
48	между тем как	1	1
49	в этом отношении	1	1
50	в этом произведении	1	1
51	том числе и	1	1
52	а с другой	3	1
53	точно так же	3	1
54	что хотел сказать	1	1
55	нет у него	1	1
56	себя и людей	1	1
57	то или иное	1	1
58	то и другое	2	1
59	в таком случае	2	1
60	и то что	3	1
61	в это время	2	1
62	что бы то	1	1
63	едва ли не	1	1
64	он вовсе не	1	1
65	не чуждо и	1	1
66	а также и	1	1
67	будто бы даже	1	1
68	то время как	3	1
69	так или иначе	1	1
70	все же не	3	1
71	любви и милосердия	1	1
72	как одно из	1	1
73	с другой стороны	5	1
74	только о том	1	1
75	и в том	1	1
76	мы читаем и	1	1
77	содержит в себе	1	1
78	что несмотря на	1	1
79	никогда и не	1	1
80	в то время	3	1
81	духовном смысле и	1	1
82	с самого начала	1	1
83	дом но и	1	1
84	но все же	2	1
85	можно сказать что	3	1
86	которая не в	1	1
87	после того как	3	1
88	можно судить по	1	1
89	в том числе	2	1
90	в xix в	1	1
91	в себе самом	1	1
92	уже забыл о	1	1
93	здесь не в	1	1
94	говорит о своей	1	1
95	в черном платье	1	1
