N	2gram	Losev_Vesc_1	Istorich
1	и в	21	24
2	не только	36	21
3	что он	1	21
4	и т	19	17
5	т д	19	16
6	т е	55	16
7	может быть	16	14
8	не может	17	14
9	что в	9	13
10	в этих	1	13
11	мы имеем	7	12
12	в этом	4	12
13	и здесь	4	12
14	но и	18	11
15	это не	5	10
16	том что	8	10
17	и что	15	10
18	у него	2	10
19	мы видим	2	10
20	а в	4	10
21	все же	4	9
22	с другой	6	9
23	не в	5	9
24	о том	6	9
25	потому что	16	9
26	и другие	1	9
27	то же	6	8
28	еще не	8	8
29	что и	3	8
30	так как	7	8
31	другой стороны	2	8
32	а не	19	8
33	все это	5	8
34	или в	2	8
35	во всех	2	7
36	то что	27	7
37	таким образом	8	7
38	мы видели	1	7
39	одна из	5	7
40	с собой	2	7
41	к нему	1	7
42	один из	3	7
43	в том	8	7
44	вместе с	1	7
45	что это	13	6
46	но не	5	6
47	в нем	2	6
48	всех этих	1	6
49	об этом	3	6
50	как и	8	6
51	для нас	2	6
52	и все	5	6
53	а именно	1	6
54	того что	8	6
55	только в	14	6
56	тем что	2	6
57	так же	1	6
58	с этой	4	6
59	то это	3	5
60	в чем	6	5
61	с одной	3	5
62	отношение к	1	5
63	но в	5	5
64	что она	15	5
65	здесь мы	1	5
66	не менее	3	5
67	с ним	8	5
68	дело не	2	5
69	ничего не	3	5
70	так и	3	5
71	одной стороны	3	5
72	тот кто	1	5
73	же как	1	4
74	мы уже	3	4
75	мы не	6	4
76	как бы	12	4
77	при этом	1	4
78	мы можем	4	4
79	точки зрения	5	4
80	тем не	3	4
81	по существу	2	4
82	никогда не	2	4
83	со своим	7	4
84	совершенно ясно	2	4
85	так в	1	4
86	что у	5	4
87	на вопрос	1	4
88	то не	4	4
89	ли он	1	4
90	то и	4	4
91	вовсе не	10	4
92	ее на	1	4
93	если не	3	4
94	в данном	5	4
95	и не	29	4
96	мы должны	2	4
97	есть и	4	4
98	не вполне	2	3
99	и он	1	3
100	в различных	1	3
101	с его	1	3
102	тогда как	1	3
103	себе и	1	3
104	что они	6	3
105	этой стороны	1	3
106	кроме того	4	3
107	к себе	4	3
108	хотя и	4	3
109	когда он	1	3
110	и наконец	1	3
111	из этих	1	3
112	в дальнейшем	1	3
113	на то	4	3
114	если он	1	3
115	и если	2	3
116	том чтобы	1	3
117	и по	1	3
118	а его	1	3
119	его в	2	3
120	представление о	1	3
121	вопрос о	1	3
122	в конце	2	3
123	нечто вроде	1	3
124	как мы	4	3
125	тогда когда	5	3
126	не все	1	3
127	видим что	1	3
128	такой случай	1	3
129	и его	2	3
130	должны быть	4	3
131	данном случае	2	3
132	не столько	1	3
133	него и	1	3
134	и она	1	3
135	в качестве	1	3
136	так что	5	3
137	уже в	1	3
138	при помощи	2	3
139	не случайно	2	3
140	между прочим	3	3
141	и даже	6	3
142	превращается в	1	3
143	в свете	7	3
144	этой точки	1	3
145	что мы	14	3
146	сих пор	1	3
147	но это	10	3
148	с ней	2	3
149	магической силы	1	3
150	ее в	1	3
151	с тех	1	2
152	из самых	2	2
153	что эти	1	2
154	время как	1	2
155	на себя	1	2
156	и ее	18	2
157	того же	5	2
158	если в	1	2
159	со стороны	5	2
160	не просто	19	2
161	его на	1	2
162	с этим	3	2
163	стороны и	2	2
164	и нет	1	2
165	перед нами	2	2
166	в действительности	7	2
167	в самом	9	2
168	та же	1	2
169	в которой	1	2
170	все эти	3	2
171	думать что	1	2
172	еще один	1	2
173	ее как	2	2
174	полной ясности	1	2
175	вообще не	2	2
176	прочим и	2	2
177	в силу	3	2
178	не будет	12	2
179	то чтобы	3	2
180	стороны не	1	2
181	было бы	14	2
182	должен был	1	2
183	и тем	3	2
184	ни в	1	2
185	ли эти	1	2
186	сам он	1	2
187	в один	1	2
188	что собственно	1	2
189	нас не	1	2
190	в котором	3	2
191	из анализа	1	2
192	у того	1	2
193	к этому	1	2
194	но он	2	2
195	есть еще	3	2
196	новые и	1	2
197	для нее	2	2
198	нас к	1	2
199	тому что	2	2
200	она не	4	2
201	в то	3	2
202	и другое	4	2
203	что такое	12	2
204	в основе	3	2
205	что вы	3	2
206	к ней	2	2
207	во всем	1	2
208	здесь тоже	1	2
209	меня на	2	2
210	лежит в	1	2
211	это конечно	1	2
212	как только	4	2
213	еще яснее	1	2
214	и это	14	2
215	из всего	1	2
216	без всякого	4	2
217	в ее	7	2
218	то время	1	2
219	они должны	1	2
220	и когда	4	2
221	ли и	1	2
222	имеется в	1	2
223	все дело	1	2
224	другими словами	5	2
225	не содержит	3	2
226	не стоит	1	2
227	если это	2	2
228	тот же	3	2
229	и так	1	2
230	ноги и	1	2
231	этот вопрос	1	2
232	конечно не	1	2
233	уже не	9	2
234	не можем	1	2
235	и у	3	2
236	только на	3	2
237	что не	5	2
238	из них	4	2
239	ни с	6	2
240	мы знаем	1	2
241	не так	1	2
242	прежде всего	9	2
243	у нее	1	2
244	она будет	2	2
245	в особенности	1	2
246	до сих	1	2
247	на этот	1	2
248	иногда это	1	2
249	говорит о	1	2
250	ничем не	3	2
251	и оно	3	2
252	что из	2	2
253	но оно	1	2
254	как это	2	2
255	роли которую	1	2
256	а если	1	2
257	а потом	2	2
258	когда она	4	2
259	это значит	24	2
260	только о	1	2
261	и от	3	2
262	и о	3	2
263	отличается от	7	2
264	но для	2	2
265	е в	7	2
266	сказать что	17	2
267	от всех	4	2
268	в отдельности	4	2
