N	3gram	Tiupa_Disk_1	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	9	7
3	с точки зрения	1	6
4	во всяком случае	1	6
5	более или менее	2	5
6	в том числе	2	5
7	до сих пор	1	5
8	по крайней мере	2	5
9	а с другой	3	5
10	о том что	5	4
11	том числе и	2	4
12	но все же	1	4
13	к тому же	4	4
14	в связи с	1	3
15	тем не менее	1	3
16	в том что	13	3
17	и потому что	1	2
18	то же самое	2	2
19	в этом отношении	1	2
20	так и от	1	2
21	то же время	4	2
22	с самого начала	1	2
23	той или иной	3	2
24	можно сказать что	2	2
25	на то что	1	2
26	к одной из	1	2
27	в то же	3	2
28	и того же	2	1
29	точки зрения представляет	1	1
30	состоит в том	2	1
31	же самое следует	1	1
32	по отношению к	9	1
33	в котором он	1	1
34	одного и того	2	1
35	в соответствии с	2	1
36	свидетельствует о том	1	1
37	о том как	1	1
38	сказать и о	2	1
39	самое следует сказать	1	1
40	но далеко не	1	1
41	в котором они	1	1
42	в таком случае	1	1
43	но и потому	1	1
44	и в то	1	1
45	до известной степени	1	1
46	сами по себе	2	1
47	в первую очередь	1	1
48	том или ином	1	1
49	к мысли о	1	1
50	в xvii веке	1	1
51	в том или	1	1
52	в данном случае	2	1
53	следует сказать и	1	1
54	но при этом	3	1
55	в отличие от	4	1
56	потому что в	1	1
57	не в том	3	1
58	а не как	1	1
59	в этом направлении	1	1
60	к лицу с	1	1
61	тем или иным	1	1
62	до настоящего времени	1	1
63	с другой стороны	3	1
64	речь идет о	1	1
65	лицом к лицу	1	1
66	из одного и	1	1
67	а в том	2	1
68	только то что	1	1
69	не может быть	3	1
70	может и не	1	1
71	к чему не	1	1
72	так и в	1	1
73	в свою очередь	3	1
74	это и есть	1	1
75	в этом последнем	1	1
76	ни к чему	1	1
77	ему в этом	1	1
78	несмотря на все	1	1
79	зрения представляет собой	1	1
80	может быть в	1	1
81	в себе не	1	1
