N	2gram	Vygotskiy__5	UchenyiS
1	и в	16	14
2	а не	10	10
3	не только	16	10
4	прежде всего	3	8
5	и не	12	8
6	не может	18	7
7	вот почему	3	7
8	в этом	25	7
9	то что	26	7
10	может быть	9	6
11	то же	8	5
12	и только	1	5
13	все это	2	5
14	хотя бы	5	5
15	с другой	4	4
16	но и	6	4
17	в их	3	4
18	в этой	6	4
19	и то	4	3
20	это не	4	3
21	было бы	10	3
22	нашему мнению	1	3
23	как и	8	3
24	для этого	1	3
25	в частности	3	3
26	в своей	2	3
27	и т.д	4	3
28	бы то	1	3
29	очевидно что	2	3
30	этой области	1	3
31	в то	5	3
32	все же	3	3
33	но в	6	3
34	формы в	1	3
35	в области	12	3
36	только к	2	3
37	у нас	2	3
38	другой стороны	2	3
39	по нашему	1	3
40	для него	5	3
41	не как	1	3
42	что все	6	2
43	а между	1	2
44	одним из	2	2
45	и с	3	2
46	до сих	3	2
47	это было	1	2
48	самом деле	3	2
49	должна быть	5	2
50	мы не	3	2
51	не приходится	1	2
52	о чем	2	2
53	на эту	1	2
54	если бы	8	2
55	что мы	4	2
56	ничего не	5	2
57	как таковой	1	2
58	не столько	1	2
59	если не	1	2
60	том что	15	2
61	на первый	1	2
62	сводится к	1	2
63	мы и	5	2
64	нам представляется	1	2
65	с его	1	2
66	но не	10	2
67	в его	11	2
68	по существу	3	2
69	что и	3	2
70	по себе	7	2
71	приемов и	1	2
72	более чем	1	2
73	сих пор	3	2
74	но это	3	2
75	этом смысле	1	2
76	могли бы	6	2
77	в том	18	2
78	тех или	1	2
79	с проблемой	2	2
80	и для	1	2
81	что он	25	2
82	в себе	1	2
83	при таком	1	2
84	в самом	4	2
85	между тем	3	2
86	только в	10	2
87	мы получаем	1	2
88	не в	6	2
89	для всех	1	2
90	и является	3	2
91	вопроса о	3	2
92	в системе	4	2
93	не есть	4	2
94	этом отношении	5	2
95	или иных	1	2
96	приходится признать	1	2
97	его и	3	2
98	представляется нам	1	2
99	их и	2	2
100	не могут	4	2
101	могут быть	4	2
102	в конце	1	2
103	смысле этого	1	2
104	же самое	4	2
105	как раз	1	2
106	тем что	5	2
107	что она	2	2
108	таким образом	19	2
109	нас до	1	1
110	он прежде	1	1
111	для себя	1	1
112	и это	1	1
113	об этом	1	1
114	же как	7	1
115	связанных с	1	1
116	существенным для	1	1
117	не делает	1	1
118	в этот	2	1
119	но по	1	1
120	даже не	1	1
121	в виду	2	1
122	сам по	1	1
123	входит в	1	1
124	первую очередь	1	1
125	или иначе	1	1
126	своими собственными	1	1
127	только при	1	1
128	другом не	1	1
129	и прежде	1	1
130	понятие не	1	1
131	из самых	1	1
132	только более	1	1
133	в пределах	4	1
134	или по	1	1
135	что для	2	1
136	ему вообще	1	1
137	никогда не	5	1
138	но прежде	1	1
139	так и	7	1
140	одной стороны	3	1
141	той же	4	1
142	в сфере	5	1
143	относится к	1	1
144	этого не	1	1
145	до конца	3	1
146	часто бывает	1	1
147	с тем	3	1
148	понятий без	1	1
149	мы имеем	1	1
150	обращение к	1	1
151	смысле можно	1	1
152	как всякая	2	1
153	и даже	2	1
154	должно быть	8	1
155	иначе говоря	1	1
156	знает только	1	1
157	можно сказать	5	1
158	восприятия и	3	1
159	или менее	1	1
160	стороны в	1	1
161	материал и	1	1
162	как на	3	1
163	приводит к	7	1
164	о том	8	1
165	в ней	2	1
166	и потому	2	1
167	относятся к	1	1
168	в котором	2	1
169	этого общего	1	1
170	только для	2	1
171	и что	12	1
172	тех и	1	1
173	она в	1	1
174	и этого	1	1
175	он был	1	1
176	первый план	1	1
177	все его	1	1
178	в различных	2	1
179	быть в	2	1
180	из которых	3	1
181	для первого	1	1
182	в пользу	1	1
183	чем то	1	1
184	конечно это	1	1
185	вне которой	1	1
186	строго говоря	1	1
187	не словами	1	1
188	является только	1	1
189	в той	6	1
190	он может	3	1
191	чем к	1	1
192	для изучения	1	1
193	в данном	1	1
194	учителя и	1	1
195	с момента	1	1
196	что же	1	1
197	не то	4	1
198	бы в	4	1
199	того что	16	1
200	для второго	1	1
201	друг другу	2	1
202	речи в	6	1
203	их в	2	1
204	друг с	7	1
205	в наиболее	1	1
206	на его	2	1
207	говорит он	2	1
208	тому чтобы	4	1
209	оно является	3	1
210	это значит	5	1
211	что этот	1	1
212	делает и	1	1
213	язык в	1	1
214	к проблеме	1	1
215	шаг к	1	1
216	за пределы	4	1
217	на то	1	1
218	еще один	1	1
219	она не	1	1
220	этом случае	3	1
221	независимо от	1	1
222	его на	2	1
223	в своем	5	1
224	что с	5	1
225	как нам	1	1
226	они относятся	1	1
227	но для	1	1
228	имеет свою	3	1
229	в большей	1	1
230	которой и	1	1
231	что ему	1	1
232	и все	1	1
233	обе эти	5	1
234	того как	5	1
235	что только	2	1
236	тот же	5	1
237	функции это	1	1
238	более или	1	1
239	самим же	1	1
240	не существует	1	1
241	представляется что	1	1
242	настолько насколько	1	1
243	почему в	2	1
244	в которой	5	1
245	на большую	1	1
246	нам известно	2	1
247	больше чем	3	1
248	на знание	1	1
249	не было	1	1
250	находятся в	2	1
251	закон и	2	1
252	таком понимании	1	1
253	он в	3	1
254	это же	1	1
255	тогда когда	5	1
256	с одной	3	1
257	с которыми	2	1
258	в качестве	4	1
259	без этого	1	1
260	тем более	4	1
261	случае он	1	1
262	в известном	8	1
263	вообще в	1	1
264	имеем в	1	1
265	методических приемов	1	1
266	то и	2	1
267	же в	2	1
268	направлено на	1	1
269	в процессе	13	1
270	в виде	1	1
271	случае все	1	1
272	теории и	2	1
273	только одним	2	1
274	что было	2	1
275	в нем	7	1
276	связанные с	6	1
277	или даже	1	1
278	с другом	7	1
279	но если	6	1
280	он не	8	1
281	сказать что	13	1
282	в первую	1	1
283	природе и	1	1
284	ценность в	1	1
285	только часть	1	1
286	понятий с	6	1
287	и понятий	3	1
288	содержания и	1	1
289	в понятии	1	1
290	нем но	1	1
291	в свое	2	1
292	это верно	1	1
293	с каждым	1	1
294	самое что	2	1
295	но он	7	1
296	но что	3	1
297	у него	6	1
298	является одним	1	1
299	само по	2	1
300	мы можем	6	1
301	о сущности	1	1
302	и независимо	1	1
303	так то	1	1
304	ее в	3	1
305	и делает	1	1
306	это в	1	1
307	а это	1	1
308	что при	1	1
309	к этому	3	1
310	что в	16	1
311	все что	2	1
312	основной проблемой	1	1
313	этот путь	2	1
