N	3gram	Berdyaev_V_1	Marksizm
1	бы то ни	1	8
2	с другой стороны	1	5
3	в конце концов	1	3
4	но все же	1	3
5	в том что	2	3
6	не могут быть	1	2
7	жизни в этом	1	2
8	в нем нет	2	2
9	и в сознании	1	1
10	есть прежде всего	1	1
11	том что он	2	1
12	а между тем	2	1
13	и во всяком	1	1
14	хотя бы и	1	1
15	но и в	2	1
16	лишь в процессе	1	1
17	которым можно было	2	1
18	с ними как	1	1
19	тому что все	1	1
20	не имеет никакой	1	1
21	и не было	1	1
22	вместо того чтобы	2	1
23	так и в	1	1
24	еще не успели	1	1
25	к тому что	3	1
