N	2gram	Tiupa_Lite_1	VerxiiNi
1	и в	8	26
2	таким образом	3	22
3	с тем	1	18
4	в этом	12	15
5	русской культуры	3	15
6	вместе с	1	15
7	точки зрения	6	13
8	как бы	7	12
9	в том	16	11
10	из этих	2	10
11	не только	24	10
12	и с	1	10
13	может быть	13	10
14	связи с	6	9
15	в области	3	9
16	так как	1	9
17	но и	17	9
18	что в	3	9
19	но не	4	8
20	в общем	1	8
21	и у	1	8
22	с другой	3	8
23	и не	12	8
24	но в	3	7
25	но все	1	7
26	из них	4	7
27	том что	14	7
28	потому что	3	7
29	в эпоху	1	7
30	к нему	1	7
31	с одной	2	7
32	то что	10	7
33	а с	1	7
34	одной стороны	2	7
35	того же	2	6
36	все же	4	6
37	все эти	2	6
38	в себе	7	6
39	религиозного сознания	1	6
40	всяком случае	2	6
41	с точки	2	6
42	в отношении	1	6
43	к тому	2	6
44	так и	4	6
45	и т.д	1	6
46	о том	2	6
47	в конце	4	6
48	что и	1	6
49	несмотря на	3	6
50	во всяком	3	6
51	отношение к	1	5
52	сих пор	1	5
53	тому же	2	5
54	в силу	4	5
55	в мире	2	5
56	лишь в	4	5
57	по крайней	1	5
58	не имеет	1	5
59	никогда не	4	5
60	с другом	1	5
61	в его	7	5
62	крайней мере	1	5
63	до сих	1	5
64	а не	16	5
65	к жизни	1	5
66	одной из	1	5
67	том числе	1	5
68	в котором	1	4
69	то же	5	4
70	целый ряд	1	4
71	в самом	3	4
72	в этой	4	4
73	и по	1	4
74	то есть	6	4
75	он не	1	4
76	далеко не	3	4
77	в которых	1	4
78	в то	5	4
79	в нем	2	4
80	а в	3	4
81	и что	1	4
82	и только	2	4
83	только в	8	4
84	не может	5	4
85	из которых	1	4
86	и от	1	4
87	в этих	1	4
88	во время	1	4
89	что он	5	4
90	в виде	1	4
91	же как	1	3
92	в своем	11	3
93	и нет	2	3
94	и как	1	3
95	за собой	1	3
96	в которой	1	3
97	так или	8	3
98	к достижению	1	3
99	и если	1	3
100	при этом	19	3
101	тем не	2	3
102	если бы	1	3
103	не менее	7	3
104	как о	1	3
105	представляет собой	4	3
106	к концу	1	3
107	и о	1	3
108	но по	1	3
109	с самого	1	3
110	культуры и	1	3
111	на нее	1	3
112	можно сказать	1	3
113	в значительной	1	3
114	путь к	1	3
115	того что	6	3
