N	3gram	Ircho_Kome_2	Morfolog
1	в связи с	3	8
2	не может быть	1	8
3	связи с этим	1	5
4	наряду с этим	1	5
5	в тех же	1	4
6	по отношению к	3	4
7	с точки зрения	1	4
8	тем не менее	1	4
9	с другой стороны	1	4
10	независимо от того	2	3
11	но все же	1	3
12	в первом случае	1	3
13	с одной стороны	2	2
14	в большинстве случаев	1	2
15	тех случаях когда	1	2
16	для того чтобы	4	2
17	в том что	5	2
18	в то время	3	2
19	в обоих случаях	2	2
20	более или менее	1	2
21	точно так же	1	2
22	в тех случаях	1	2
23	то время как	2	2
24	действующих лиц не	1	2
25	едой и питьем	1	1
26	то что не	1	1
27	быть сопоставлен с	1	1
28	с собой в	1	1
29	с самого начала	1	1
30	вслед за этим	1	1
31	средств к существованию	1	1
32	но там оно	1	1
33	в то же	3	1
34	в том случае	1	1
35	и вслед за	1	1
36	одна из них	1	1
37	бы то ни	2	1
38	друг с другом	2	1
39	иначе чем это	1	1
40	может быть сопоставлен	1	1
41	различное значение и	1	1
42	еще тем что	1	1
43	к тому что	2	1
44	не означает что	1	1
45	о том что	4	1
46	том случае если	1	1
47	то что он	2	1
48	а в качестве	1	1
49	даже в тех	1	1
50	вместо того чтобы	1	1
51	можно было бы	2	1
52	но в этом	1	1
53	во всех случаях	1	1
54	как это видно	1	1
55	той или иной	1	1
56	сих пор не	1	1
57	то же время	3	1
58	она могла бы	1	1
59	чем это было	1	1
60	для этой цели	1	1
61	в качестве примера	1	1
62	следует остановиться на	1	1
63	качестве примера он	1	1
64	во всяком случае	2	1
65	и не всегда	1	1
66	что и в	2	1
67	так и за	1	1
68	до сих пор	2	1
